DateTime,AddedIPs,RemovedIPs
1548224670,31,0
1548225643,24,54
1548226573,12,0
1548227542,12,0
1548228513,25,92
1548229482,21,0
1548230433,11,0
1548231385,13,0
1548232363,20,0
1548234027,36,94
1548236453,41,0
1548238573,30,52
1548239646,14,179
1548241472,19,0
1548243378,16,0
1548245567,33,0
1548247454,30,0
1548249853,22,0
1548252256,43,135
1548253944,26,0
1548256119,33,0
1548258282,17,0
1548260908,37,54
1548263528,32,64
1548265952,25,0
1548267871,17,31
1548270273,27,0
1548272673,30,41
1548275097,19,0
1548276994,18,133
1548279624,21,0
1548281088,20,0
1548283697,39,49
1548285896,19,0
1548288079,40,71
1548290418,48,0
1548293797,68,79
1548295965,44,0
1548298841,46,66
1548301947,57,0
1548304851,48,72
1548307015,35,0
1548309872,46,25
1548312751,51,61
1548315644,37,0
1548317798,29,38
1548321142,59,60
1548324757,65,64
1548327375,40,0
1548330277,47,69
1548333393,32,0
1548335557,30,65
1548338167,40,0
1548341538,46,500
1548344648,40,0
1548348523,53,0
1548352356,52,0
1548353810,33,0
1548355935,33,0
1548359313,45,0
1548362189,42,0
1548365807,58,0
1548368204,44,0
1548371805,61,0
1548375886,78,0
1548379718,90,0
1548383577,83,0
1548387399,61,0
1548390757,46,0
1548407536,288,0
1548411184,53,116
1548415251,42,49
1548418361,47,44
1548422454,42,73
1548426974,46,51
1548430362,45,50
1548433947,45,178
1548436372,23,0
1548446177,91,0
1548450018,52,75
1548457962,88,479
1548461545,46,0
1548465168,50,0
1548471637,103,0
1548475458,58,0
1548485769,140,500
1548488272,32,0
1548495506,80,0
1548498768,41,0
1548502350,58,0
1548507373,67,0
1548512184,101,0
1548519851,81,227
1548526367,72,0
1548529246,34,0
1548533791,46,156
1548539559,72,0
1548543652,68,0
1548548675,59,435
1548554443,87,0
1548558034,49,0
1548564268,70,0
1548568829,54,0
1548576274,98,134
1548581559,58,0
1548594972,215,102
1548598579,34,24
1548603391,60,69
1548606509,42,124
1548617767,126,0
1548635562,153,120
1548649609,152,297
1548663378,143,0
1548664482,30,0
1548699631,358,450
1548700587,9,18
1548714055,104,165
1548748577,353,447
1548750755,38,39
1548754589,101,27
1548765860,143,148
1548776654,85,86
1548790331,97,198
1548801871,95,168
1548811934,104,286
1548816994,51,0
1548822757,83,0
1548828757,95,43
1548845563,270,278
1548855856,97,144
1548858261,20,26
1548862358,46,50
1548865474,30,37
1548867872,22,32
1548871486,31,42
1548874593,34,27
1548878446,54,49
1548883227,45,39
1548886358,34,59
1548890440,37,19
1548940845,464,862
1548942764,19,0
1548947085,32,86
1548950448,29,53
1548991478,455,680
1548996280,64,334
1548999167,29,0
1549003215,34,0
1549006595,36,0
1549012358,80,53
1549016919,59,42
1549022189,61,47
1549043796,174,292
1549049568,42,0
1549053165,26,52
1549062029,86,88
1549065143,27,46
1549075973,134,153
1549085080,113,198
1549088444,24,0
1549092289,42,32
1549095876,43,80
1549101879,73,41
1549104765,54,58
1549115562,151,168
1549118197,25,81
1549131615,124,106
1549135719,38,46
