DateTime,AddedIPs,RemovedIPs
1548222043,190,1284
1548222996,209,0
1548224671,176,0
1548225644,115,233
1548226575,94,0
1548227544,97,0
1548228514,113,243
1548229484,109,0
1548230434,93,0
1548231387,91,0
1548232364,71,0
1548234029,117,215
1548236455,108,0
1548238574,80,246
1548239647,147,226
1548241474,96,0
1548243379,105,0
1548245568,93,0
1548247456,90,0
1548249855,107,0
1548252257,117,149
1548253945,172,0
1548256120,104,0
1548258283,114,0
1548260910,114,135
1548263530,125,178
1548265954,81,0
1548267872,101,210
1548270274,314,0
1548272674,100,190
1548275099,140,0
1548276996,101,219
1548279625,86,0
1548281090,76,0
1548283698,112,256
1548285897,106,0
1548288080,92,176
1548290419,84,0
1548293799,78,169
1548295966,120,0
1548298842,71,196
1548301949,85,0
1548304852,89,172
1548307016,90,0
1548309874,89,150
1548312753,89,120
1548315646,91,0
1548317800,75,137
1548321144,112,154
1548324759,80,160
1548327377,67,0
1548330279,68,296
1548333395,91,0
1548335558,91,185
1548338168,150,0
1548341540,153,194
1548344650,145,0
1548348524,109,0
1548352359,212,0
1548353812,138,0
1548355936,129,0
1548359314,151,0
1548362191,157,0
1548365809,143,0
1548368205,178,0
1548371807,157,0
1548375887,132,0
1548379719,188,0
1548383578,133,0
1548387401,93,0
1548390758,122,0
1548407537,103,0
1548411185,60,250
1548415252,121,128
1548418362,72,176
1548422455,102,158
1548426976,137,181
1548430363,129,210
1548433948,176,211
1548436373,94,0
1548446178,150,0
1548450020,154,255
1548457964,110,183
1548461546,130,0
1548465169,100,0
1548471638,68,0
1548475459,97,0
1548485770,95,155
1548488273,108,0
1548495507,112,0
1548498769,71,0
1548502351,119,0
1548507374,113,0
1548512185,105,0
1548519852,174,226
1548526369,124,0
1548529247,128,0
1548533793,202,268
1548539560,191,0
1548543653,176,0
1548548676,125,218
1548554444,120,0
1548558035,79,0
1548564270,109,0
1548568831,119,0
1548576275,90,98
1548581560,62,0
1548594974,106,101
1548598580,162,90
1548603392,140,99
1548606510,145,127
1548617768,211,0
1548635564,195,202
1548649611,129,161
1548663380,99,0
1548664483,85,0
1548699633,174,892
1548700588,176,121
1548714056,203,667
1548748578,138,1832
1548750756,127,96
1548754590,135,91
1548765862,125,500
1548776655,161,423
1548790332,176,816
1548801872,177,774
1548811935,162,185
1548816995,179,0
1548822759,147,0
1548828758,170,364
1548845564,97,1340
1548855857,118,525
1548858262,138,115
1548862359,210,293
1548865475,188,123
1548867872,143,127
1548871487,214,210
1548874594,166,115
1548878447,186,421
1548883228,187,242
1548886359,148,187
1548890441,176,124
1548940847,150,1900
1548942765,147,0
1548947086,180,333
1548950449,169,165
1548991480,199,2412
1548996282,161,322
1548999168,191,0
1549003216,158,0
1549006596,126,0
1549012360,110,114
1549016920,155,85
1549022190,121,166
1549043798,144,956
1549049569,256,0
1549053165,232,190
1549062030,173,204
1549065144,124,126
1549075974,125,290
1549085081,148,226
1549088445,170,0
1549092290,155,125
1549095877,147,132
1549101880,153,163
1549104766,129,100
1549115562,137,295
1549118198,221,137
1549131616,185,401
1549135721,245,166
1549139324,189,248
1549142917,206,0
1549147241,172,257
1549164738,147,671
1549168123,155,0
1549172444,97,163
1549176765,116,168
1549180114,102,0
1549183961,89,106
1549188758,108,100
1549191877,112,0
1549196183,121,0
1549200764,169,158
1549204591,170,222
1549211558,219,405
1549225237,169,296
1549228131,180,0
1549231236,206,0
1549235078,124,0
1549238176,111,0
1549241546,97,279
1549254970,106,154
1549259800,95,0
1549263642,112,0
1549266248,134,0
1549270360,89,247
1549277553,92,0
1549295769,144,0
1549298209,166,0
1549301570,163,0
1549305131,136,212
1549309019,184,218
1549323162,136,231
1549325078,193,0
1549330107,167,0
1549333961,191,0
1549338756,120,0
1549342360,95,0
1549356496,127,290
1549360340,161,155
1549363718,94,0
1549386019,138,331
1549386990,134,0
1549403561,138,192
1549405952,224,0
1549410270,159,191
1549452264,180,825
1549457552,140,0
1549461169,164,103
1549463559,141,137
1549467138,147,0
1549471228,198,376
1549475326,211,151
1549478459,178,226
1549481550,156,182
1549540330,132,857
1549542736,135,0
1549557412,152,707
1549559538,159,0
1549566510,184,0
1549574176,217,0
1549580681,156,0
1549585234,152,0
1549588818,140,0
1549610414,147,589
1549611403,179,103
1549617390,142,95
1549622904,127,138
1549639972,166,118
1549641145,130,0
1549646439,144,0
1549651474,107,133
1549693218,166,907
1549785378,102,2516
1549788029,106,0
1549794508,143,192
1549799323,136,115
1549810094,191,517
1549889316,144,1935
1549893642,149,0
1549901062,228,150
1549905132,192,201
1549908975,208,190
1549914757,240,379
1549917869,292,0
1549920296,242,0
1549923871,273,0
1549973565,149,1487
1549977376,209,0
1549981713,175,0
1549985560,184,0
1549990358,195,0
1550058966,237,1170
1550066922,312,331
1550070740,203,172
1550162898,345,1713
1550254334,327,2821
1550345540,362,458
1550356099,376,0
1550359956,360,0
1550376733,388,0
1550377709,277,0
1550383969,323,0
1550417287,292,985
1550421133,327,0
1550479580,263,0
1550488121,238,0
1550489073,325,0
1550507155,232,649
1550512593,347,251
1550515938,358,275
1550519789,342,296
1550569218,230,977
1550574041,234,0
1550574979,216,0
1550575962,198,0
1550577387,219,0
1550578358,304,0
1550579293,271,189
1550580261,249,0
1550581224,234,0
1550585790,224,272
1550587228,245,207
1550590837,269,203
1550632833,275,241
1550638593,244,0
1550642917,280,0
1550644838,196,0
1550647480,209,0
1550654052,191,0
1550662808,232,0
1550664503,217,235
1550667882,186,0
1550671459,250,0
1550673158,214,344
1550680382,203,211
1550739158,285,0
1550747084,255,0
1550761009,236,0
1550830098,271,334
1550857218,242,0
1550884838,195,285
1550976500,191,868
1551035331,255,1419
1551127217,303,1948
1551219114,352,2982
1551222536,366,0
1551249140,277,760
1551263083,322,690
1551354779,315,2490
1551382337,330,355
1551383293,386,0
1551387154,328,0
1551402017,334,0
1551407333,361,0
1551411169,280,0
1551480281,286,620
1551481218,227,0
1551488186,263,0
1551493238,283,277
1551497566,243,0
1551501166,257,0
1551504988,211,0
1551513621,218,0
1551518096,185,0
1551527785,206,0
1551531388,194,0
1551567371,272,0
1551568367,306,0
1551570731,252,0
1551575089,277,0
1551576502,240,0
1551578932,223,0
1551585387,172,229
1551588249,176,0
1551592336,178,0
1551661942,261,276
1551730345,318,0
1551810032,241,299
1551868833,231,1172
1551896170,238,0
1551988817,331,781
1552078954,322,1067
1552128493,308,2016
1552187533,277,2304
1552279474,297,1305
1552284535,308,0
1552318361,283,0
1552344967,314,377
1552425372,309,300
1552427074,318,0
1552434514,267,0
1552440020,300,0
1552480810,227,244
1552497639,280,0
1552500524,254,0
1552504845,246,300
1552510606,204,0
1552530258,242,0
1552532920,205,0
1552536989,204,0
1552540354,215,0
1552545634,205,0
1552548510,216,0
1552552106,178,0
1552555473,199,0
1552559795,171,0
1552563163,186,0
1552567231,159,0
1552588570,183,0
1552589553,185,0
1552592437,156,0
1552599159,217,365
1552602250,179,0
1552606363,152,0
1552628169,196,0
1552638760,216,0
1552641643,193,0
1552645247,168,0
1552648130,179,0
1552651478,151,0
1552655323,203,0
1552659378,170,0
1552663484,188,0
1552666817,184,0
1552684127,210,302
1552690504,181,0
1552696831,174,0
1552700437,197,0
1552711453,178,0
1552733301,188,251
1552734255,164,0
1552737637,187,0
1552742204,160,0
1552745798,162,0
1552748937,192,0
1552751813,176,0
1552756124,197,0
1552760443,186,0
1552801697,198,216
1552804356,169,0
1552821370,176,0
1552826428,166,0
1552830996,167,0
1552835310,183,0
1552842513,200,0
1552845388,170,0
1552867232,155,0
1552873228,160,0
1552876831,153,0
1552894579,152,409
1552901562,165,0
1552909692,148,0
1552944496,183,200
1552978089,195,201
1552979084,153,0
1552981451,159,0
1552984351,159,0
1552987228,163,0
1552997783,158,0
1553006897,170,0
1553010269,164,0
1553014110,144,0
1553041697,162,592
1553048909,163,215
1553082252,183,0
1553083731,154,0
1553089231,157,138
1553094990,153,0
1553103393,157,165
1553194574,173,2501
1553200107,171,146
1553213336,208,518
1553217172,132,0
1553220044,198,0
1553222670,160,0
1553225560,175,0
1553236112,181,165
1553239206,98,0
1553247376,188,314
1553257939,187,448
1553261054,150,201
1553264414,165,174
1553271892,150,367
1553275226,198,0
1553288436,163,0
1553310507,204,645
1553316770,196,181
1553358621,206,1159
1553367368,157,396
1553370272,157,0
1553374594,153,0
1553377210,185,0
1553381078,145,0
1553383959,158,0
1553388986,137,0
1553410834,195,342
1553413713,170,0
1553415639,173,0
1553418522,159,0
1553421150,151,0
1553424031,176,0
1553425975,158,0
1553427873,142,172
1553429531,139,0
1553431955,117,150
1553437717,164,170
1553440603,146,207
1553445739,119,0
1553449955,131,198
1553458123,134,185
1553462199,151,0
1553464861,136,0
1553507552,155,837
1553549303,204,353
1553554835,182,0
1553581711,183,0
1553586040,181,330
1553590844,155,319
1553595162,162,177
1553605729,173,156
1553610526,176,0
1553615317,174,347
1553619401,160,179
1553622999,170,0
1553627534,165,0
1553629962,152,0
1553632361,189,0
1553635237,147,0
1553684913,183,351
