DateTime,Entries,UniqueIPs
1548222043,21682,22446
1548222996,21880,22655
1548224671,22048,22831
1548225644,21940,22713
1548226575,22026,22807
1548227544,22110,22904
1548228514,21985,22774
1548229484,22089,22883
1548230434,22180,22976
1548231387,22264,23067
1548232364,22333,23138
1548234029,22242,23040
1548236455,22346,23148
1548238574,22188,22982
1548239647,22108,22903
1548241474,22201,22999
1548243379,22299,23104
1548245568,22388,23197
1548247456,22477,23287
1548249855,22584,23394
1548252257,22553,23362
1548253945,22722,23534
1548256120,22822,23638
1548258283,22933,23752
1548260910,22910,23731
1548263530,22861,23678
1548265954,22937,23759
1548267872,22831,23650
1548270274,23140,23964
1548272674,23052,23874
1548275099,23189,24014
1548276996,23068,23896
1548279625,23149,23982
1548281090,23224,24058
1548283698,23079,23914
1548285897,23179,24020
1548288080,23096,23936
1548290419,23175,24020
1548293799,23085,23929
1548295966,23203,24049
1548298842,23086,23924
1548301949,23171,24009
1548304852,23095,23926
1548307016,23185,24016
1548309874,23127,23955
1548312753,23096,23924
1548315646,23183,24015
1548317800,23117,23953
1548321144,23088,23911
1548324759,23016,23831
1548327377,23079,23898
1548330279,22867,23670
1548333395,22952,23761
1548335558,22859,23667
1548338168,22999,23817
1548341540,22956,23776
1548344650,23087,23921
1548348524,23192,24030
1548352359,23400,24242
1548353812,23531,24380
1548355936,23655,24509
1548359314,23799,24660
1548362191,23951,24817
1548365809,24083,24960
1548368205,24245,25138
1548371807,24395,25295
1548375887,24521,25427
1548379719,24702,25615
1548383578,24832,25748
1548387401,24919,25841
1548390758,25038,25963
1548407537,25140,26066
1548411185,24963,25876
1548415252,24961,25869
1548418362,24863,25765
1548422455,24808,25709
1548426976,24758,25665
1548430363,24682,25584
1548433948,24649,25549
1548436373,24741,25643
1548446178,24878,25793
1548450020,24787,25692
1548457964,24711,25619
1548461546,24834,25749
1548465169,24933,25849
1548471638,25000,25917
1548475459,25092,26014
1548485770,25039,25954
1548488273,25136,26062
1548495507,25248,26174
1548498769,25319,26245
1548502351,25436,26364
1548507374,25542,26477
1548512185,25645,26582
1548519852,25588,26530
1548526369,25709,26654
1548529247,25829,26782
1548533793,25762,26716
1548539560,25942,26907
1548543653,26111,27083
1548548676,26026,26990
1548554444,26138,27110
1548558035,26217,27189
1548564270,26325,27298
1548568831,26439,27417
1548576275,26427,27409
1548581560,26488,27471
1548594974,26494,27476
1548598580,26566,27548
1548603392,26603,27589
1548606510,26623,27607
1548617768,26826,27818
1548635564,26820,27811
1548649611,26794,27779
1548663380,26886,27878
1548664483,26970,27963
1548699633,26285,27245
1548700588,26338,27300
1548714056,25908,26836
1548748578,24289,25142
1548750756,24324,25173
1548754590,24370,25217
1548765862,24013,24842
1548776655,23772,24580
1548790332,23145,23940
1548801872,22575,23343
1548811935,22545,23320
1548816995,22718,23499
1548822759,22863,23646
1548828758,22668,23452
1548845564,21486,22209
1548855857,21094,21802
1548858262,21119,21825
1548862359,21037,21742
1548865475,21105,21807
1548867872,21120,21823
1548871487,21129,21827
1548874594,21177,21878
1548878447,20933,21643
1548883228,20872,21588
1548886359,20834,21549
1548890441,20888,21601
1548940847,19193,19851
1548942765,19339,19998
1548947086,19195,19845
1548950449,19196,19849
1548991480,17053,17636
1548996282,16905,17475
1548999168,17086,17666
1549003216,17233,17824
1549006596,17354,17950
1549012360,17353,17946
1549016920,17418,18016
1549022190,17370,17971
1549043798,16611,17159
1549049569,16862,17415
1549053165,16896,17457
1549062030,16861,17426
1549065144,16861,17424
1549075974,16691,17259
1549085081,16621,17181
1549088445,16782,17351
1549092290,16809,17381
1549095877,16822,17396
1549101880,16813,17386
1549104766,16833,17415
1549115562,16689,17257
1549118198,16770,17341
1549131616,16567,17125
1549135721,16635,17204
1549139324,16563,17145
1549142917,16765,17351
1549147241,16683,17266
1549164738,16180,16742
1549168123,16330,16897
1549172444,16267,16831
1549176765,16219,16779
1549180114,16314,16881
1549183961,16295,16864
1549188758,16306,16872
1549191877,16412,16984
1549196183,16525,17105
1549200764,16532,17116
1549204591,16476,17064
1549211558,16288,16878
1549225237,16168,16751
1549228131,16341,16931
1549231236,16540,17137
1549235078,16661,17261
1549238176,16760,17372
1549241546,16584,17190
1549254970,16536,17142
1549259800,16623,17237
1549263642,16733,17349
1549266248,16865,17483
1549270360,16711,17325
1549277553,16803,17417
1549295769,16942,17561
1549298209,17102,17727
1549301570,17257,17890
1549305131,17188,17814
1549309019,17163,17780
1549323162,17068,17685
1549325078,17258,17878
1549330107,17412,18045
1549333961,17602,18236
1549338756,17713,18356
1549342360,17804,18451
1549356496,17648,18288
1549360340,17657,18294
1549363718,17745,18388
1549386019,17564,18195
1549386990,17691,18329
1549403561,17638,18275
1549405952,17842,18499
1549410270,17805,18467
1549452264,17197,17822
1549457552,17333,17962
1549461169,17394,18023
1549463559,17396,18027
1549467138,17540,18174
1549471228,17373,17996
1549475326,17430,18056
1549478459,17384,18008
1549481550,17354,17982
1549540330,16659,17257
1549542736,16790,17392
1549557412,16262,16837
1549559538,16416,16996
1549566510,16593,17180
1549574176,16797,17397
1549580681,16950,17553
1549585234,17097,17705
1549588818,17233,17845
1549610414,16810,17403
1549611403,16883,17479
1549617390,16921,17526
1549622904,16907,17515
1549639972,16950,17563
1549641145,17069,17693
1549646439,17205,17837
1549651474,17177,17811
1549693218,16455,17070
1549785378,14163,14656
1549788029,14264,14762
1549794508,14223,14713
1549799323,14244,14734
1549810094,13941,14408
1549889316,12202,12617
1549893642,12345,12766
1549901062,12420,12844
1549905132,12411,12835
1549908975,12426,12853
1549914757,12298,12714
1549917869,12581,13006
1549920296,12814,13248
1549923871,13077,13521
1549973565,11775,12183
1549977376,11973,12392
1549981713,12139,12567
1549985560,12315,12751
