DateTime,AddedIPs,RemovedIPs
1508378644,0,5
1508465770,16,3
1508552883,9,0
1508640004,7,0
1508727363,0,10
1508814723,13,11
1508901843,0,9
1508989203,514,262
1509076322,13,5
1509163443,2,0
1509250804,0,12
1509337924,0,1
1509425043,1034,9
1509512163,0,12
1509686642,19,12
1509773762,3,4
1509860882,0,9
1509948016,21,4
1510035122,0,6
1510122485,5,5
1510209604,4,4
1510296722,11,0
1510383845,9,15
1510470964,0,5
1510558324,12,1867
1510645444,514,4
1510732563,5,259
1510819682,4,3
1510907525,7,3
1510994645,1,0
1511081764,0,6
1511169122,11,4
1511256243,7,4
1511343605,7,3
1511430723,0,6
1511517845,268,0
1511605213,3,6
1511779682,283,74
1511866811,15,3
1511953929,7,8
1512041044,3,9
1512128163,8,264
1512302406,0,4
1512389523,80,3
1512476643,29,7
1512564004,15,1
1512651364,9,256
1512738723,16,1
1512825843,0,5
1512912963,0,6
1513000083,22,10
1513087204,12,0
1513174564,3,0
1513261925,0,3
1513349043,17,0
1513436163,0,5
1513523284,10,3
1513610645,263,1
1513697763,14,3
1513784882,0,6
1513872247,307,0
1514046722,9,0
1514134084,3,14
1514308802,3,0
1514395925,8,0
1514483283,4,0
1514570644,2,0
1514657763,258,6
1514744884,2,13
1514832003,0,4
1514919124,9,6
1515006243,8,0
1515093366,6,3
1515180483,8,0
1515267842,5,263
1515354964,0,9
1515442084,26,6
1515529443,17,1
1515616565,267,0
1515703682,10,16
1515790812,13,4
1515965042,0,134
1516052164,20,3
1516139283,8,0
1516226409,7,2
1516314005,14,1
1516401122,13,2
1516488244,6,0
1516575373,11,4
1516662483,507,0
1516749602,8,259
1516836723,9,7
1516923842,9,257
1517010974,2,0
1517098323,0,265
1517185442,0,9
1517272561,20,777
1517359683,10,2
1517446810,14,7
1517533924,13,3
1517621043,4,0
1517708404,0,12
1517795522,0,2
1517882643,279,0
1517969764,261,261
1518057125,16,268
1518144247,12,3
1518231366,259,5
1518318728,0,7
1518405847,0,7
1518493207,0,5
1518580567,0,3
1518667688,786,2
1518755045,0,6
1518842167,23,3
1519016420,0,7
1519103531,22,3
1519190647,7,7
1519277765,8,12
1519364892,10,0
1519452019,2,0
1519539381,0,8
1519626486,0,260
1519713612,0,6
1519800727,294,1
1519888089,8,7
1519975205,5,1
1520062332,1,7
1520149446,10,5
1520236591,9,2
1520323924,259,6
1520411043,10,4
1520498162,3,4
1520585284,14,1
1520672414,8,18
1520759765,3,7
1520846884,5,1
1520934003,8,7
1521021122,13,4
1521108244,5,0
1521195604,16,1
1521282727,6,0
1521369848,7,14
1521457217,14,7
1521544323,11,6
1521631444,7,7
1521718806,5,5
1521805924,4,0
1521893284,3,6
1521980652,4,5
1522067765,6,7
1522154884,5,3
1522242010,11,5
1522329124,10,6
