DateTime,AddedIPs,RemovedIPs
1551402041,1,1
1551405643,2,1
1551409242,1,2
1551412839,0,1
1551416442,1,2
1551420044,1,0
1551423657,2,0
1551427241,3,2
1551430840,2,0
1551438043,0,1
1551441662,0,1
1551445278,1,1
1551448849,1,0
1551452454,1,1
1551456055,2,0
1551463255,0,2
1551466845,1,18
1551470444,1,1
1551474044,2,2
1551477649,3,3
1551484850,1,0
1551488444,1,1
1551492050,1,0
1551495646,0,2
1551499254,1,0
1551502842,1,0
1551506441,0,1
1551510042,2,0
1551513648,2,0
1551517239,2,0
1551520843,1,0
1551524446,0,2
1551531656,0,2
1551535252,0,1
1551556850,2,0
1551564052,1,2
1551567651,0,2
1551571248,0,1
1551574851,0,3
1551578454,12,0
1551582052,4,1
1551585652,8,0
1551589249,4,0
1551592850,9,3
1551596456,6,0
1551600054,2,0
1551603656,1,0
1551607253,0,1
1551610850,1,1
1551614453,2,1
1551618051,1,0
1551625255,1,3
1551628859,0,1
1551632458,2,2
1551636056,0,3
1551639649,0,1
1551643251,29,1
1551646851,2,1
1551650452,0,2
1551654058,1,4
1551657664,27,0
1551661251,2,1
1551664852,1,3
1551668457,9,1
1551672054,4,1
1551675651,12,0
1551679249,0,2
1551682848,0,1
1551690053,0,1
1551693649,2,0
1551697251,1,1
1551700853,1,3
1551704448,1,0
1551708049,45,0
1551711635,1,0
1551718843,2,1
1551722441,0,1
1551726043,0,27
1551729650,0,1
1551733242,41,3
1551736845,23,1
1551740445,4,1
1551744040,23,2
1551747647,5,1
1551751245,18,1
1551754844,0,1
1551762046,6,1
1551765656,1,3
1551769249,4,0
1551772853,0,2
1551776446,1,1
1551780058,3,1
1551783655,1,0
1551790847,1,0
1551798051,1,2
1551801651,1,2
1551805240,2,0
1551812439,1,1
1551816052,0,1
1551823253,1,5
1551826846,1,0
1551830451,1,6
1551834046,2,3
1551837644,2,4
1551844850,0,1
1551848445,1,4
1551852047,2,3
1551855654,2,6
1551859252,0,2
1551862846,1,0
1551866451,1,1
1551870052,1,0
1551873645,2,0
1551884446,1,0
1551888054,0,3
1551891664,7,0
1551895258,4,0
1551898847,0,1
1551902455,0,2
1551906047,6,0
1551916858,23,0
1551920462,0,2
1551924044,1,1
1551927655,1,2
1551931247,2,2
1551938449,5,0
1551942046,0,1
1551949248,0,2
1551952844,7,2
1551956442,3,0
1551963640,6,0
1551967238,1,0
1551970845,2,2
1551974451,1,0
1551978039,1,1
1551981649,1,0
1551985239,3,4
1551988846,3,33
1551992443,1,0
1551996048,2,6
1551999654,1,5
1552003246,1,4
1552006846,3,2
1552010448,2,1
1552014040,1,1
1552017651,0,1
1552021238,2,1
1552024845,5,0
1552028447,4,1
1552032052,1,3
1552035655,1,1
1552039258,0,2
1552042847,2,0
1552046453,0,1
1552050043,1,2
1552053650,4,0
1552057249,1,2
1552060850,2,3
1552064441,1,0
1552068043,0,1
1552071658,1,0
1552075243,0,3
1552078849,0,3
1552082451,2,1
1552086049,1,1
1552089649,2,0
1552093247,2,2
1552100446,4,2
1552104044,1,6
1552107649,1,1
1552114859,2,2
1552118449,0,3
1552122043,0,1
1552125652,0,2
1552129250,3,0
1552132850,1,1
1552136456,2,0
1552147239,3,5
