DateTime,AddedIPs,RemovedIPs
1537282817,1,0
1537326014,1,0
1537369213,1,0
1537380013,0,1
1537430415,1,0
1537466415,1,0
1537480813,1,0
1537556407,0,1
1537592413,1,0
1537596013,1,0
1537621213,1,0
1537646416,0,1
1537653617,1,0
1537678814,0,1
1537722016,0,1
1537776016,1,0
1537794014,0,1
1537833615,0,1
1537916415,1,0
1537923614,1,0
1537930821,0,1
1537941615,0,1
1537963216,1,0
1537974015,0,1
1538035220,0,1
1538060417,0,1
1538089215,1,1
1538096412,0,1
1538182817,0,2
1538197213,0,1
1538226013,0,1
1538236811,1,1
1538316022,1,0
1538370013,2,0
1538380816,0,1
1538514016,1,0
1538582407,0,1
1538704817,0,1
1538722813,1,0
1538823609,1,0
1538841612,1,1
1538859616,1,0
1538913616,1,0
1538956824,0,1
1538974813,0,2
1538996414,2,0
1539018016,0,1
1539025216,1,0
1539082817,1,0
1539126018,1,0
1539129622,0,1
1539190823,1,0
1539295218,1,0
1539309617,0,1
1539320418,1,0
1539327617,0,1
1539367216,1,0
1539374416,1,0
1539403219,1,0
1539435619,0,1
1539446408,1,1
1539547217,1,0
1539604819,1,0
1539626420,1,0
1539633622,1,0
1539669613,1,0
1539676812,0,1
1539680418,0,1
1539705625,1,0
1539709218,0,1
1539712838,0,1
1539795619,0,1
1539799231,1,0
1539882017,1,0
1539900017,0,1
1539932427,0,1
1539954016,0,1
1539972021,0,1
1539979217,0,1
1539993618,1,0
1540015218,1,0
1540033216,1,0
1540036821,1,0
1540044018,1,0
1540051217,0,1
1540090824,1,0
1540180820,0,1
1540216817,1,0
1540231219,0,1
1540281618,0,1
1540306813,0,1
1540310415,0,1
1540317615,0,1
1540339212,2,1
1540346418,1,0
1540350019,1,0
1540436420,1,0
1540504817,1,1
1540573221,1,0
1540580421,1,0
1540584012,1,0
1540587608,1,0
1540602009,0,1
1540612821,1,0
1540627213,0,1
1540630808,0,1
1540641618,0,1
1540645217,1,1
1540677610,1,0
1540710014,1,0
1540738819,1,0
1540756818,1,0
1540767615,0,1
1540807218,1,0
1540821611,0,1
1540936813,1,0
1540947614,0,2
1540969226,0,1
1540972820,0,1
1540976421,0,1
1540998009,1,0
1541001612,1,0
1541041222,0,1
1541084414,1,0
1541109619,0,1
1541185221,0,2
1541192418,0,1
1541242808,0,1
1541271616,0,1
1541278818,0,1
1541347213,0,1
1541368824,1,1
1541394019,0,1
1541404814,1,0
1541412013,0,1
1541419222,1,0
1541440821,2,0
1541534419,1,0
1541541621,0,1
1541545218,1,0
1541599221,0,1
1541602825,0,1
1541617218,1,0
1541667617,1,0
1541714421,1,0
1541743223,0,1
1541826020,0,1
1541858412,1,0
1541952016,0,1
1541995211,0,1
1542009622,0,1
1542078019,0,1
1542124814,0,1
1542150020,1,0
1542153613,1,0
1542175213,1,0
1542272411,0,1
1542279618,1,0
1542297629,1,1
1542326411,0,1
1542355210,0,1
1542438024,1,0
1542463212,1,0
1542470414,0,1
1542502809,0,1
1542513608,1,0
1542520816,1,0
1542574808,0,1
1542582012,1,0
1542646816,1,0
1542708009,1,0
1542762015,0,1
1542780020,0,1
1542801620,1,0
1542826814,0,1
1542837612,1,0
1542848415,0,1
1542866419,1,0
1542873618,1,0
1542884420,1,1
1542916806,0,1
1543017617,1,0
1543050023,0,1
1543068018,0,1
1543132815,1,0
1543150817,0,1
1543186816,0,1
1543266018,0,1
1543302020,1,0
1543312817,0,1
1543406422,0,1
1543446030,0,1
1543489217,0,1
1543521624,1,0
1543525221,0,1
1543539624,1,0
1543586413,1,0
1543658422,0,1
1543737619,0,1
1543777223,1,0
1543885217,1,0
1543888814,1,0
1543921211,0,1
1543939220,0,1
1543942815,0,1
1543996815,0,1
1544058021,1,0
1544072414,1,0
1544151610,0,1
1544234408,1,0
1544324411,1,0
1544385623,1,0
1544400030,1,0
1544436017,0,1
1544461208,1,0
1544511615,1,0
1544544010,0,1
1544590813,0,1
1544612418,1,0
1544662812,1,0
1544698813,0,1
1544734819,1,0
1544889611,1,0
1544947214,0,1
1544983215,1,0
1545004817,0,1
1545073216,0,1
1545084015,0,1
1545087618,0,1
1545105611,1,0
1545127216,0,1
1545163213,1,0
1545166818,1,0
1545170418,0,1
1545188415,0,1
1545195615,0,1
1545213615,0,1
1545231614,1,0
1545235217,2,0
1545249619,1,0
1545253221,0,1
1545274820,0,1
1545307220,1,0
1545382819,1,0
1545386416,0,1
1545472821,1,0
1545508825,1,0
1545706820,0,1
1545717617,1,0
1545768014,0,1
1545775216,0,1
1545786015,1,0
1545789624,1,0
1545811216,0,1
1545836419,0,1
1545840026,0,2
1545872417,0,1
1545886817,1,0
1545958819,0,1
1545980419,1,0
1546005615,0,1
1546045211,1,0
1546074012,1,0
1546095609,0,1
1546113615,0,1
1546225210,0,1
1546311623,1,0
1546333219,0,1
1546347611,1,0
