DateTime,AddedIPs,RemovedIPs
1550800842,1,2
1550804443,1,1
1550808054,2,2
1550811648,1,0
1550818838,0,2
1550822440,2,2
1550826043,1,0
1550829664,1,0
1550833256,0,1
1550836845,1,0
1550840451,2,0
1550844053,1,1
1550847644,1,0
1550851256,1,0
1550854859,1,2
1550858448,1,1
1550862048,17,1
1550869257,1,0
1550872849,3,0
1550876444,0,1
1550880051,0,3
1550883636,0,1
1550887250,1,1
1550890844,1,0
1550894460,1,0
1550898058,0,1
1550905241,1,1
1550908857,0,3
1550930444,0,2
1550944836,0,11
1550948437,1,9
1550955634,2,0
1550970039,0,1
1550973648,0,4
1550984438,1,2
1550988048,0,2
1550998858,0,5
1551009655,0,3
1551016857,1,0
1551020443,0,1
1551024047,1,0
1551031256,1,0
1551038439,1,1
1551045642,0,1
1551060041,0,1
1551063640,0,1
1551085241,0,1
1551092437,0,1
1551110440,1,0
1551114035,0,2
1551117637,3,1
1551121234,23,2
1551124834,3,0
1551128447,2,0
1551132040,1,1
1551135640,1,0
1551139246,0,2
1551142846,9,0
1551146444,1,0
1551150044,1,1
1551153644,5,0
1551157242,2,2
1551164446,2,0
1551171642,1,1
1551175247,0,1
1551178842,0,1
1551186045,5,1
1551193251,1,0
1551196854,8,0
1551200441,1,1
1551204052,0,6
1551207642,7,12
1551211242,1,1
1551218440,4,1
1551222053,2,0
1551225642,0,1
1551229244,2,1
1551232843,2,2
1551240044,1,1
1551243642,1,1
1551247240,1,0
1551250835,2,0
1551254453,3,0
1551261656,3,1
1551272442,1,0
1551276048,0,1
1551283249,1,0
1551290434,0,1
1551294050,1,0
1551297636,2,0
1551301251,0,2
1551308451,0,1
1551312038,0,1
1551315652,1,0
1551319239,1,0
1551337243,1,0
1551340841,0,1
1551348039,1,0
1551351647,1,0
1551369636,1,1
1551376839,0,1
1551384051,22,1
1551387639,2,0
1551391236,0,2
1551394846,0,1
1551398435,1,0
1551402041,1,1
1551405636,1,1
1551409236,1,1
1551412835,0,1
1551416438,1,2
1551420038,1,0
1551423651,2,0
1551427235,3,2
1551430834,2,0
1551438035,0,1
1551441639,0,1
1551445274,1,1
1551452447,1,1
1551456037,2,0
1551463244,0,1
1551466845,0,17
1551470441,1,0
1551474034,2,1
1551477642,3,3
1551484839,1,0
1551488433,1,1
1551492049,1,0
1551495641,0,2
1551499236,1,0
1551502832,1,0
1551506435,0,1
1551510033,2,0
1551513635,2,0
1551517239,2,0
1551546037,0,1
1551556843,1,0
1551564043,0,2
1551574843,0,1
1551578444,12,0
1551582045,4,0
1551585649,6,0
1551589241,3,0
1551592845,6,2
1551596447,5,0
1551610843,0,1
1551614447,1,0
1551625255,0,2
1551628854,0,1
1551632444,1,0
1551636051,0,1
1551643246,29,0
1551657664,27,0
1551661244,2,0
1551664851,0,3
1551668445,9,0
1551672048,4,0
1551675650,12,0
1551682841,0,1
1551693645,3,0
1551697245,0,1
1551708042,45,0
1551711644,1,0
1551718836,2,1
1551722435,0,1
1551726032,0,27
1551729638,0,1
1551733234,1,2
1551736838,1,1
1551740436,0,1
1551744029,0,2
1551747647,0,1
1551751232,1,1
1551754837,0,1
1551762039,4,1
1551765635,1,3
1551769239,3,0
1551772845,0,1
1551776445,1,0
1551780047,3,0
1551783649,1,0
1551790845,1,0
1551798039,1,2
1551801640,1,1
1551805239,2,0
1551812429,0,1
1551816032,0,1
1551823242,1,5
1551826834,1,0
1551830439,1,0
1551834040,2,3
1551837636,2,2
1551848430,1,3
1551852035,2,0
1551855644,2,0
1551859242,1,2
1551862835,1,0
1551866441,1,1
1551870042,1,0
1551873635,2,0
1551888039,0,2
1551891645,7,0
1551895243,3,0
1551898843,0,1
1551902445,0,2
1551906039,6,0
1551916839,23,0
1551920441,0,1
1551924034,1,1
1551927645,1,2
1551931232,0,1
1551938437,2,0
1551952837,4,1
1551956427,1,0
1551963628,5,0
1551974435,1,0
1551978029,1,0
1551981645,1,0
1551985234,2,0
1551988842,1,33
1551992434,1,0
1551996039,2,1
1551999626,1,0
1552003241,1,3
1552006838,2,2
1552010445,1,1
1552014047,1,1
1552017636,0,1
1552021228,2,1
1552024844,5,0
1552028446,4,1
1552032045,1,3
1552035635,1,1
1552039238,0,2
1552042832,2,0
1552050047,0,2
1552053642,3,0
1552057234,1,2
1552060835,2,3
1552071653,1,0
1552075238,0,3
1552078836,0,3
1552082437,2,1
1552086043,1,1
1552089631,2,0
1552093237,2,2
1552100442,4,2
1552104043,0,6
1552107638,1,1
1552114846,2,2
1552118449,0,3
1552122032,0,1
1552125645,0,2
1552129237,2,0
1552132846,1,0
1552136441,1,0
1552147228,3,5
1552158029,0,5
1552161632,1,0
1552176046,21,1
1552179642,4,0
1552183241,1,6
1552186833,0,2
1552190442,0,6
1552194042,0,5
1552197647,0,8
1552201239,0,9
1552204838,1,0
1552230036,1,0
1552233637,1,0
1552240842,1,0
1552248029,0,20
1552255237,3,0
1552262428,0,23
1552266033,0,2
1552269635,1,0
1552273235,0,1
1552276839,0,1
1552280427,0,7
1552294826,1,0
1552298435,1,1
1552309238,1,1
1552312834,0,45
1552316428,1,2
1552323633,1,0
1552327228,1,2
1552330854,0,2
1552338034,3,1
1552341629,1,0
1552348836,1,0
1552356059,1,3
1552363224,0,2
1552366822,0,5
1552370424,1,1
1552374030,0,3
1552377621,0,1
1552381229,1,0
1552384842,0,5
1552388436,1,0
1552395622,0,2
1552399241,1,1
1552406455,1,2
1552410027,1,2
1552413629,0,1
1552417242,1,1
1552420838,1,2
1552424430,1,0
1552431632,0,1
1552435236,4,0
1552438842,23,1
1552442437,0,2
1552446029,1,2
1552449633,0,1
1552453240,1,1
1552460434,0,2
1552464033,0,1
1552471240,1,1
1552474835,0,1
1552478436,0,6
1552482028,0,1
1552485644,0,1
1552496433,0,1
1552500030,1,9
1552503626,1,0
1552510825,1,2
1552521637,0,25
1552525222,0,2
1552528829,1,1
1552536032,2,1
1552539637,1,0
1552543226,0,1
1552546833,0,1
1552554031,0,1
1552557623,0,3
1552564827,1,0
1552568431,1,1
1552582827,0,1
1552590027,0,1
1552597238,0,1
1552600823,2,0
1552604419,0,1
1552611623,1,0
1552615227,1,0
1552618825,1,1
1552626034,0,1
