DateTime,AddedIPs,RemovedIPs
1546009444,0,1
1546059776,1,0
1546063411,1,0
1546085008,1,0
1546106614,2,0
1546121018,1,0
1546153421,1,0
1546175051,1,0
1546221839,0,1
1546283015,1,0
1546301035,0,1
1546308217,0,1
1546315421,2,0
1546326189,2,0
1546351419,0,1
1546358630,0,1
1546394587,1,0
1546401823,0,1
1546434211,0,1
1546481014,1,0
1546491833,0,2
1546499034,1,0
1546502641,0,1
1546520606,0,1
1546527866,0,1
1546560252,0,1
1546578253,0,1
1546614255,1,0
1546639428,1,0
1546643004,2,0
1546646620,1,0
1546682596,0,1
1546697031,1,0
1546722236,1,0
1546725822,0,1
1546736647,1,0
1546747396,1,0
1546765401,0,1
1546779826,0,1
1546801377,1,0
1546815817,1,0
1546819397,1,0
1546887859,0,1
1546891453,1,0
1546895056,1,1
1546905784,2,0
1546941799,1,1
1546945446,0,3
1546963423,1,0
1546981453,0,1
1546985022,0,1
1546988650,0,2
1546995794,1,0
1547082260,0,1
1547197468,0,1
1547204672,0,1
1547222627,1,0
1547240613,0,1
1547244221,0,1
1547247790,1,1
1547255035,0,1
1547265801,0,1
1547276650,0,1
1547323379,1,0
1547327034,0,1
1547330597,1,0
1547352230,0,1
1547406201,1,1
1547427764,0,2
1547489008,1,0
1547499830,1,0
1547503432,1,0
1547546624,0,1
1547550229,0,1
1547557437,0,1
1547582645,0,1
1547615050,1,0
1547622254,0,1
1547651037,1,1
1547654637,1,0
1547661834,0,1
1547672640,0,2
1547676226,0,1
1547679842,2,1
1547694263,1,0
1547697836,1,0
1547701458,1,0
1547708655,1,0
1547726637,0,1
1547769845,0,1
1547802250,0,1
1547816647,1,0
1547838222,1,1
1547841829,0,1
1547856230,2,0
1547859840,1,0
1547863428,1,0
1547866995,2,0
1547870643,0,1
1547874226,1,0
1547906653,1,0
1547953383,1,0
1547982214,1,0
1547985833,1,0
1548014610,2,0
1548029062,0,1
1548032658,0,1
1548036258,1,1
1548072240,0,1
1548079417,1,0
1548090275,1,0
1548097446,1,0
1548108258,1,1
1548115435,0,1
1548126271,2,0
1548129856,1,0
1548176633,1,1
1548180221,0,1
1548183834,3,0
1548198236,1,0
1548216186,0,1
1548234244,1,0
1548263033,0,1
1548284662,1,0
1548288253,0,2
1548291841,1,0
1548327809,0,1
1548338579,2,0
1548353008,1,0
1548356605,2,0
1548363836,1,0
1548367394,2,0
1548381809,1,0
1548385402,1,0
1548439448,2,0
1548443067,0,1
1548457434,1,0
1548468216,1,0
1548500665,0,1
1548507876,0,1
1548511473,1,1
1548515083,0,1
1548518660,1,0
1548522269,1,0
1548547446,1,0
1548583421,1,0
1548590659,0,1
1548601439,1,0
1548615819,0,1
1548619436,0,1
1548666235,0,1
1548705819,0,2
1548770679,2,0
1548774258,1,0
1548777852,0,2
1548788635,0,1
1548806623,1,0
1548813852,1,0
1548849836,1,0
1548857013,0,1
1548885830,0,1
1548896650,0,1
1548914671,1,0
1548921856,1,0
1548929057,1,0
1548939883,1,0
1548943457,0,1
1548961451,1,0
1548972245,0,1
1548990258,0,1
1549026200,0,1
1549040592,0,1
1549076649,0,1
1549105446,1,0
1549123457,0,2
1549127053,0,1
1549144997,1,0
1549152223,1,1
1549159424,1,0
1549173818,1,0
1549199040,1,0
1549206250,1,1
1549209803,1,1
1549231429,1,0
1549242275,0,1
1549263850,0,1
1549271009,0,1
1549285440,0,1
1549289010,1,1
1549292621,0,1
1549299834,1,1
1549335830,1,0
1549343045,2,0
1549346642,1,0
1549382671,0,5
1549386263,0,1
1549389809,0,1
1549397044,2,0
1549418643,0,1
1549451016,1,0
1549454615,0,1
1549494246,0,1
1549497850,1,0
1549523084,2,0
1549530255,1,0
1549548264,0,1
1549569834,1,0
1549595054,2,0
1549598654,2,0
1549602257,2,0
1549609453,0,1
1549641861,0,1
1549652642,2,0
1549663464,1,0
1549677813,1,0
1549710230,1,0
1549721022,0,1
1549731868,2,0
1549735447,0,2
1549739059,1,0
1549775037,0,2
1549807432,0,1
1549818241,0,1
1549829033,0,1
1549843446,0,1
1549847052,1,0
1549850634,0,1
1549890234,0,1
1549893862,1,2
1549904616,0,1
1549908219,0,1
1549940632,0,1
1549962227,0,4
1549991048,0,1
1550001867,0,1
1550005443,0,1
1550009041,1,0
1550019826,2,0
1550059437,1,0
1550070225,0,1
1550081031,0,1
1550084619,0,1
1550091812,1,0
1550099023,1,0
1550102620,0,1
1550106229,2,1
1550113420,1,0
1550120619,1,0
1550131431,0,1
1550156612,1,0
1550214232,1,0
1550217855,0,1
1550246695,0,1
1550271818,1,0
1550311446,2,0
1550329423,1,0
1550343841,0,1
1550358207,0,1
1550372648,1,0
1550390647,0,1
1550415849,0,1
1550444670,0,2
1550451855,0,2
1550459063,1,0
1550462663,0,1
1550523802,1,0
1550531005,0,1
1550570647,0,1
1550606676,1,0
1550624653,0,1
1550664250,1,0
1550671406,1,0
1550703822,0,1
1550707429,0,1
1550714633,0,4
1550718232,0,2
1550747034,3,0
1550765046,1,2
1550772227,1,0
1550775812,0,1
1550779421,1,1
1550793828,1,1
1550797434,0,1
1550804605,0,1
1550837069,1,0
1550844271,0,1
1550887448,3,1
1550894648,1,0
1550959456,1,0
1550963032,1,0
1550973841,2,0
1550977445,0,1
1550999059,1,0
1551024247,0,1
1551038609,1,0
1551045837,2,0
1551049424,1,0
1551056611,1,0
1551063835,0,1
1551067418,0,1
1551074625,0,1
1551085422,1,0
1551096221,1,0
1551099827,0,1
1551110644,1,0
1551128644,0,1
1551175432,1,0
1551182620,1,0
1551200642,1,0
1551218630,0,1
1551233052,1,0
1551236677,0,1
1551247451,0,2
1551251038,0,1
1551269083,0,1
1551276270,1,0
1551290604,0,1
1551315863,0,1
1551326645,2,0
1551330257,1,0
1551333873,1,0
1551348243,1,0
1551351857,0,2
1551355470,1,0
1551377011,0,1
1551395041,1,0
1551398627,2,0
1551402225,0,1
1551438218,0,1
1551452640,1,0
1551477842,1,0
1551481403,1,0
1551485017,1,0
1551495796,1,0
1551499393,0,1
1551506602,1,0
1551510228,1,0
1551567808,0,1
1551571422,1,0
1551582212,1,0
1551607414,0,1
1551611005,1,0
1551632611,0,1
1551654200,0,1
1551657804,1,0
1551679407,0,1
1551683013,0,1
1551704591,0,2
1551715394,0,1
1551718959,1,0
1551733418,1,0
1551751408,2,0
1551762225,1,0
1551765828,1,0
1551812612,1,2
1551819847,1,2
1551827038,1,0
1551841421,1,0
1551848606,2,0
1551870217,0,1
1551877445,1,0
1551884630,0,1
1551906205,0,1
1551920629,0,1
1551924193,0,1
1551931410,0,3
1551938596,0,1
1551945871,1,0
