DateTime,AddedIPs,RemovedIPs
1551643443,80,1
1551647047,0,1
1551650644,2,2
1551654229,2,0
1551657832,1,1
1551661440,1,1
1551665054,1,1
1551672240,0,2
1551675815,1,0
1551679435,0,1
1551683039,1,2
1551690236,26,1
1551693836,34,1
1551697448,27,1
1551701040,1,0
1551704619,1,2
1551711828,0,1
1551718997,0,1
1551722627,3,1
1551726230,3,2
1551729854,0,1
1551733451,1,3
1551737024,1,0
1551740624,2,1
1551744238,2,0
1551747854,3,3
1551751446,1,0
1551755074,1,0
1551758664,2,1
1551762268,0,1
1551765871,2,1
1551769487,2,0
1551773090,0,2
1551776675,2,1
1551783856,1,0
1551787496,3,0
1551791080,3,1
1551801835,3,0
1551805444,5,2
1551809075,2,0
1551816240,6,3
1551819882,4,1
1551823467,2,0
1551827073,1,4
1551830676,3,1
1551834244,5,2
1551837848,0,1
1551841451,3,1
1551845057,2,2
1551848647,1,1
1551852256,0,1
1551855865,0,1
1551859440,0,2
1551863048,0,1
1551866671,0,3
1551870240,0,1
1551873841,4,2
1551877483,3,1
1551881063,0,3
1551884664,2,2
1551888240,0,2
1551891858,0,2
1551895449,0,1
1551899068,1,1
1551906243,0,3
1551913444,1,1
1551917051,0,5
1551920662,0,2
1551924226,0,2
1551931438,1,1
1551935024,0,1
1551938639,1,0
1551942255,0,1
1551945908,1,0
1551949453,0,1
1551953066,0,1
1551956629,2,2
1551960228,1,2
1551963858,0,2
1551967430,0,1
1551971042,1,2
1551974685,2,2
1551978245,0,4
1551981889,0,2
1551985449,4,3
1551989095,38,5
1551992636,1,3
1551996263,2,2
1551999876,2,3
1552003501,5,5
1552007076,2,2
1552014265,0,1
1552017883,0,2
1552021445,1,1
1552028694,0,1
1552032252,0,1
1552035856,0,4
1552039452,3,1
1552043060,0,3
1552046669,0,1
1552050245,1,2
1552053841,2,85
1552057443,0,4
1552061081,1,3
1552064659,3,0
1552068260,3,2
1552071850,4,1
1552075454,7,2
1552079062,1,1
1552082637,4,1
1552086242,4,1
1552089845,0,1
1552093448,1,0
1552097038,5,0
1552100662,7,2
1552104274,1,1
1552107886,0,2
1552111500,3,2
1552115071,0,3
1552118676,2,0
1552122248,0,1
1552125854,0,2
1552136658,0,1
1552140257,0,1
1552143859,0,1
1552147430,0,1
1552151053,0,4
1552154663,0,3
1552158239,0,2
1552161853,0,1
1552165446,1,1
1552169035,0,2
1552172639,0,3
1552176258,0,6
1552179841,1,4
1552183452,0,1
1552187035,0,2
1552190666,0,1
1552197873,0,1
1552205059,33,1
1552212272,1,0
1552215868,0,2
1552219472,0,1
1552223066,1,0
1552230295,0,1
1552233869,4,1
1552237462,2,3
1552241029,0,5
1552244650,1,5
1552248249,1,79
1552251811,1,1
1552255428,2,3
1552259066,4,2
1552262650,3,4
1552266241,5,2
1552269860,1,1
1552273448,2,0
1552277058,1,1
1552280638,0,3
1552284217,0,4
1552287837,0,5
1552291452,1,2
1552295046,1,19
1552298626,0,30
1552302233,0,38
1552309434,2,1
1552313043,0,3
1552316641,1,0
1552320232,1,1
1552323812,0,1
1552327457,0,3
1552331052,2,2
1552334660,2,3
1552338233,2,0
1552341846,0,2
1552345436,4,2
1552349035,3,3
1552352647,0,2
1552356255,1,3
1552359855,0,2
1552363431,1,2
1552367025,0,3
1552370665,0,1
1552374220,1,4
1552377835,1,5
1552381446,2,1
1552385038,1,0
1552388621,0,1
1552392247,0,2
1552399439,2,1
1552403044,3,1
1552406635,1,1
1552410270,0,13
1552413841,0,6
1552417419,1,1
1552421032,1,4
1552424630,4,1
1552428227,1,0
1552431826,3,1
1552435441,4,1
1552439037,0,3
1552442635,3,3
1552446237,4,2
1552449842,4,0
1552453425,2,0
1552457033,3,1
1552460636,0,2
1552464242,0,2
1552467843,2,1
1552471446,6,0
1552478646,0,4
1552482244,3,2
1552485843,0,1
1552489466,0,2
1552493039,0,1
1552496655,0,1
1552503829,1,0
1552507425,0,7
1552511034,1,4
1552514638,1,2
1552518236,2,4
1552521829,3,0
1552525444,1,1
1552529043,2,2
1552532651,1,4
1552536212,1,3
1552547038,0,1
1552550617,1,0
1552554247,1,0
1552557847,0,1
1552561431,1,2
1552568654,0,1
1552572266,0,2
1552579450,1,1
1552583029,0,1
1552586624,2,2
1552590243,1,2
1552597437,1,1
1552601046,2,1
1552604619,1,1
1552608248,5,0
1552611840,0,1
1552615434,2,2
1552619025,2,1
1552622632,0,1
1552626232,4,1
1552633431,1,0
1552637009,0,1
1552644232,1,3
1552647841,1,1
1552651432,1,1
1552655031,0,5
1552658639,1,1
1552662244,0,3
1552665841,5,3
1552669431,0,1
1552676634,1,4
1552680249,3,5
1552683835,0,5
1552687440,4,4
1552691043,3,1
1552694641,0,3
1552698221,2,1
1552701825,0,4
1552705443,1,6
1552716256,0,1
1552719847,1,2
1552723422,1,2
1552727069,1,1
1552730664,0,1
1552734247,0,1
1552737841,1,5
1552741430,1,0
1552745046,1,0
1552748634,0,1
1552752252,1,3
1552755858,2,0
1552759441,4,1
1552763028,4,7
1552766646,3,1
1552770236,8,1
1552773832,1,3
1552777480,1,3
1552781044,2,0
1552784638,0,2
1552788226,1,0
1552791837,0,2
1552795446,1,1
1552799053,1,0
1552802660,2,0
1552806278,1,0
1552817039,1,2
1552820642,0,1
1552824255,1,0
1552827827,1,0
1552831456,2,0
1552838657,1,3
1552842244,1,1
1552849437,1,0
1552853054,1,0
1552856635,1,0
1552860232,4,2
1552863872,0,1
1552867498,1,1
1552871077,0,1
1552874676,2,4
1552878284,3,4
1552881877,1,1
1552885456,0,1
1552889050,1,0
1552896243,1,1
1552899850,0,1
1552903455,1,0
1552907040,1,1
1552910679,2,0
1552914255,0,1
1552917866,0,5
1552921432,1,0
1552925048,1,0
1552928654,5,0
1552932251,1,0
1552935851,3,2
1552939454,2,1
1552943044,1,0
1552946630,1,2
1552950255,2,0
1552953825,0,5
1552957438,2,3
1552961043,0,1
1552964644,1,1
1552968232,0,2
1552971841,1,1
1552975462,0,1
1552982654,0,1
1552986247,1,2
1552989851,1,3
1552993419,1,0
1552997087,1,0
1553004238,1,1
1553007869,0,2
1553011428,0,2
1553015025,1,1
1553018667,0,1
1553025846,3,0
1553029447,3,1
1553033038,2,3
1553036646,1,0
1553040241,2,2
1553043859,0,1
1553047436,0,3
1553051017,1,1
1553058251,0,2
1553061857,0,1
1553065464,0,1
1553069044,0,3
1553072625,0,2
1553076233,1,8
1553079824,0,1
1553083438,1,4
1553087035,0,1
1553094249,4,0
1553097842,3,1
1553101468,2,0
1553105055,2,2
1553108634,1,0
1553112241,3,0
1553115851,4,0
1553119433,0,1
1553123049,4,0
1553126636,1,3
1553130251,1,0
1553133833,2,3
1553137444,1,1
1553141040,0,3
1553151875,0,1
1553155453,1,2
1553159053,0,2
1553162640,1,1
1553166243,3,1
1553169823,1,0
1553173456,1,1
1553177051,0,1
1553180658,3,0
1553184232,1,1
1553187841,1,0
1553191450,1,3
1553195040,1,0
1553198658,3,0
1553205840,2,0
1553209458,3,1
1553213046,1,4
1553216655,2,1
1553220276,3,1
1553223878,3,0
1553227459,0,1
1553231061,1,4
1553241861,1,0
1553245464,0,2
1553249058,0,2
1553256272,0,1
1553263439,1,1
1553270641,3,2
1553274258,1,0
1553277837,0,2
1553281446,0,2
1553285034,1,1
1553288653,1,1
1553292221,2,2
1553295830,1,1
1553299440,8,1
1553303037,3,1
1553306650,1,0
1553310247,0,1
1553313863,0,1
1553328230,2,3
1553339040,1,0
1553346235,0,1
1553349855,1,2
1553353443,1,1
1553357056,1,0
1553360655,3,2
1553364199,0,2
1553367840,0,1
1553371448,0,3
1553375044,0,2
1553378640,1,0
1553382257,1,0
1553385821,4,0
1553393045,2,1
1553396640,4,0
1553400248,0,4
1553403848,1,1
1553407438,0,1
1553411048,2,1
1553418264,1,3
1553421862,3,1
