DateTime,AddedIPs,RemovedIPs
1547283839,1,0
1547363026,1,0
1547366611,1,1
1547373829,0,2
1547377416,0,1
1547413407,1,0
1547445834,0,1
1547463791,0,3
1547467418,0,1
1547474631,0,1
1547478230,0,1
1547485445,0,1
1547492589,0,1
1547503434,1,0
1547521404,1,0
1547532264,0,1
1547564606,1,0
1547571862,1,0
1547575442,1,0
1547582646,2,0
1547586248,1,0
1547589823,1,0
1547597060,0,1
1547618638,0,1
1547629462,0,1
1547633038,0,1
1547661835,1,0
1547665465,0,1
1547669053,1,0
1547676227,1,0
1547687058,1,0
1547690634,1,0
1547712245,3,0
1547715852,0,1
1547719426,1,0
1547726637,1,0
1547741032,0,1
1547748242,0,2
1547751864,0,1
1547755440,1,0
1547863428,1,1
1547881428,1,0
1547888625,1,1
1547949842,1,0
1547971398,0,1
1547974993,0,1
1548000214,1,0
1548003847,1,0
1548018235,0,1
1548036260,0,1
1548039858,1,0
1548047061,1,0
1548057825,0,1
1548068643,1,0
1548075847,1,0
1548097450,1,0
1548101076,1,0
1548104646,1,1
1548108258,0,1
1548129856,0,1
1548147815,1,0
1548169461,0,1
1548173041,1,0
1548176634,2,0
1548180220,0,1
1548187428,0,1
1548201851,0,1
1548212619,1,1
1548219835,1,0
1548273886,1,0
1548280997,0,1
1548291841,0,1
1548317026,0,2
1548331472,0,1
1548367394,1,0
1548392628,0,1
1548396246,1,0
1548428666,0,1
1548446653,0,1
1548457435,0,1
1548468216,1,0
1548471829,0,1
1548486245,1,0
1548489852,0,1
1548493450,1,0
1548504248,1,0
1548507876,1,0
1548522269,1,0
1548554650,0,1
1548558268,0,1
1548608614,0,1
1548623014,1,0
1548641041,1,0
1548644647,0,1
1548662670,0,1
1548673430,3,0
1548677049,1,0
1548680667,0,1
1548684286,0,2
1548691430,2,0
1548702217,1,2
1548705820,1,1
1548745414,1,0
1548749021,1,0
1548752669,0,1
1548774256,3,1
1548777852,0,1
1548781456,1,2
1548799464,1,0
1548803085,0,1
1548810235,1,0
1548824632,0,1
1548831848,1,0
1548846225,0,1
1548849836,2,0
1548864239,1,0
1548867851,2,0
1548871458,1,0
1548885833,0,1
1548914672,1,0
1548925470,0,1
1548939882,1,0
1548947067,1,0
1548950711,1,0
1548954293,4,0
1548957878,1,0
1548961451,1,0
1548965034,2,0
1548968634,1,1
1548972246,1,1
1548975866,1,0
1548979502,2,1
1548983050,1,0
1548990258,1,0
1548993888,1,0
1548997468,1,0
1549008238,1,0
1549015421,1,0
1549026202,0,1
1549091036,0,1
1549094642,0,1
1549098276,0,1
1549109040,0,1
1549112641,0,1
1549116279,1,0
1549123460,0,1
1549130616,1,0
1549166599,1,0
1549170191,1,0
1549177445,1,0
1549184618,1,0
1549191780,1,1
1549202640,1,0
1549227828,1,2
1549245845,0,1
1549256652,1,0
1549267428,3,0
1549271012,1,0
1549274656,1,0
1549278244,1,2
1549281841,0,1
1549292622,0,1
1549296214,0,1
1549299837,0,1
1549321431,1,0
1549325026,1,0
1549335831,0,1
1549350262,1,1
1549353797,1,0
1549379072,0,2
1549382671,0,1
1549386264,0,1
1549397044,1,0
1549451017,1,0
1549458250,1,0
1549469052,1,1
1549472648,0,2
1549476247,0,1
1549497850,1,0
1549505056,0,1
1549519484,0,1
1549530256,2,0
1549533850,0,1
1549537473,1,0
1549541022,0,1
1549551879,1,1
1549555480,1,0
1549559059,0,1
1549566238,1,0
1549573425,0,1
1549577050,0,1
1549598654,0,2
1549602259,0,1
1549609454,0,1
1549613038,0,2
1549620233,0,2
1549627447,0,6
1549631060,0,3
1549638210,0,1
1549645440,1,0
1549659811,0,1
1549674196,1,0
1549677813,1,0
1549685043,1,0
1549699467,0,1
1549713834,0,1
1549735447,0,1
1549739060,0,1
1549746202,1,0
1549749835,0,1
1549764223,1,0
1549771424,1,0
1549782205,0,1
1549800220,1,0
1549811044,0,1
1549814635,0,1
1549821820,1,0
1549832641,0,1
1549839806,0,1
1549847054,1,0
1549861460,0,1
1549868608,1,0
1549872239,1,3
1549875811,0,1
1549883011,0,1
1549904616,1,0
1549919028,2,0
1549955038,0,1
1549969409,1,0
1549973055,2,0
1549980276,1,0
1549987440,2,0
1550027006,0,1
1550030603,0,1
1550041431,1,0
1550063057,0,1
1550081028,0,1
1550102621,0,1
1550142260,0,1
1550156612,0,1
1550160251,1,1
1550163847,1,0
1550171050,1,1
1550185435,0,1
1550196227,1,0
1550228649,1,1
1550246695,0,1
1550250236,0,1
1550279041,2,0
1550282650,0,1
1550311446,0,1
1550314999,1,0
1550325823,1,0
1550329425,0,1
1550336648,0,1
1550351016,2,0
1550361821,0,1
1550369015,0,1
1550397849,0,2
1550405057,0,1
1550408644,1,0
1550423024,1,0
1550430238,0,1
1550444671,1,0
1550466255,0,1
1550469835,1,0
1550491457,1,0
1550502259,0,1
1550509407,0,1
1550523799,0,1
1550531005,1,0
1550538227,3,0
1550541828,1,0
1550549029,2,0
1550567038,1,0
1550570647,1,0
1550574228,0,1
1550577906,0,1
1550581442,1,0
1550585061,0,1
1550592254,0,2
1550606676,0,1
1550624653,1,0
1550678628,0,1
1550693037,1,0
1550700214,1,0
1550703822,1,0
1550711031,1,0
1550743429,0,1
1550775813,1,2
1550779421,0,1
1550783015,2,0
1550786636,1,0
1550801039,1,0
1550808267,0,1
1550833446,0,1
1550840658,1,0
1550851459,1,0
1550873047,1,0
1550883835,1,0
1550901834,1,1
1550919845,0,1
1550930604,1,0
1550934227,0,1
1550941467,1,0
1550955840,0,1
1551013453,0,1
1551027829,0,2
1551031431,0,1
1551038609,1,0
1551049424,0,1
1551074625,1,0
1551096221,0,1
1551099827,0,1
1551107044,1,0
1551114241,1,0
1551117798,1,0
1551121414,2,0
1551125020,1,0
1551128644,1,0
1551135827,1,1
1551143021,0,1
1551146661,1,0
1551150263,1,0
1551171854,1,1
1551175432,0,1
1551179054,0,2
1551182622,0,2
1551186246,0,2
1551215032,0,1
1551229433,0,1
1551297858,0,1
1551319454,0,1
1551341057,1,0
1551344652,1,0
1551351857,1,0
1551366268,1,0
1551369839,1,0
1551380661,0,1
1551384275,2,0
1551387837,1,0
1551391485,0,1
1551398627,2,0
1551405834,1,0
1551409431,1,0
1551445414,0,1
1551456226,0,1
1551470633,1,0
1551477842,0,1
1551506602,0,1
1551513827,0,1
1551517405,1,0
1551524606,1,0
1551531806,1,0
1551542596,1,0
1551546211,0,1
1551553403,1,0
1551557011,0,1
1551571419,0,1
1551618214,1,0
1551629030,0,1
1551636223,1,0
1551647005,1,0
1551654200,1,0
1551657805,0,1
1551665027,1,0
1551679406,1,0
1551690206,1,0
1551693804,0,1
1551704591,1,0
1551708200,1,0
1551711804,0,1
1551715394,1,0
1551718965,1,2
1551726202,0,3
1551729816,0,1
1551733418,0,2
1551805405,1,0
1551809037,1,0
1551812617,1,0
1551819852,2,0
1551823440,1,0
1551870207,1,0
1551877445,0,1
1551888212,0,1
1551891815,0,1
1551899039,0,1
1551913416,0,1
1551931405,0,1
1551934991,0,2
1551945876,0,1
1551953024,0,3
1551963820,0,1
1551981852,0,1
1551989067,8,2
1551992608,0,1
1551999842,0,1
1552003474,0,2
1552007043,1,0
1552010680,0,1
1552053817,1,0
1552057419,0,2
1552061054,0,1
1552064630,0,1
1552075425,0,1
1552082607,0,1
1552097004,0,1
1552118641,0,1
1552122219,0,1
1552140217,0,1
1552147398,0,1
1552205042,7,0
1552219443,0,1
1552233839,0,1
1552241006,1,0
1552244615,0,1
1552251786,0,2
1552273415,0,1
1552284187,0,1
1552291431,0,1
1552295021,1,0
1552305793,0,1
1552320212,0,1
1552338211,0,1
1552345419,0,1
1552359833,1,1
1552385011,2,0
1552403022,1,0
1552410254,0,1
1552413815,0,1
1552417394,0,2
1552424613,0,1
1552428205,0,1
1552467822,0,1
1552475011,0,3
1552485811,1,0
1552550598,1,0
