DateTime,Entries,UniqueIPs
1547283839,50,50
1547363026,51,51
1547366611,51,51
1547373829,49,49
1547377416,48,48
1547413407,49,49
1547445834,48,48
1547463791,45,45
1547467418,44,44
1547474631,43,43
1547478230,42,42
1547485445,41,41
1547492589,40,40
1547503434,41,41
1547521404,42,42
1547532264,41,41
1547564606,42,42
1547571862,43,43
1547575442,44,44
1547582646,46,46
1547586248,47,47
1547589823,48,48
1547597060,47,47
1547618638,46,46
1547629462,45,45
1547633038,44,44
1547661835,45,45
1547665465,44,44
1547669053,45,45
1547676227,46,46
1547687058,47,47
1547690634,48,48
1547712245,51,51
1547715852,50,50
1547719426,51,51
1547726637,52,52
1547741032,51,51
1547748242,49,49
1547751864,48,48
1547755440,49,49
1547863428,49,49
1547881428,50,50
1547888625,50,50
1547949842,51,51
1547971398,50,50
1547974993,49,49
1548000214,50,50
1548003847,51,51
1548018235,50,50
1548036260,49,49
1548039858,50,50
1548047061,51,51
1548057825,50,50
1548068643,51,51
1548075847,52,52
1548097450,53,53
1548101076,54,54
1548104646,54,54
1548108258,53,53
1548129856,52,52
1548147815,53,53
1548169461,52,52
1548173041,53,53
1548176634,55,55
1548180220,54,54
1548187428,53,53
1548201851,52,52
1548212619,52,52
1548219835,53,53
1548273886,54,54
1548280997,53,53
1548291841,52,52
1548317026,50,50
1548331472,49,49
1548367394,50,50
1548392628,49,49
1548396246,50,50
1548428666,49,49
1548446653,48,48
1548457435,47,47
1548468216,48,48
1548471829,47,47
1548486245,48,48
1548489852,47,47
1548493450,48,48
1548504248,49,49
1548507876,50,50
1548522269,51,51
1548554650,50,50
1548558268,49,49
1548608614,48,48
1548623014,49,49
1548641041,50,50
1548644647,49,49
1548662670,48,48
1548673430,51,51
1548677049,52,52
1548680667,51,51
1548684286,49,49
1548691430,51,51
1548702217,50,50
1548705820,50,50
1548745414,51,51
1548749021,52,52
1548752669,51,51
1548774256,53,53
1548777852,52,52
1548781456,51,51
1548799464,52,52
1548803085,51,51
1548810235,52,52
1548824632,51,51
1548831848,52,52
1548846225,51,51
1548849836,53,53
1548864239,54,54
1548867851,56,56
1548871458,57,57
1548885833,56,56
1548914672,57,57
1548925470,56,56
1548939882,57,57
1548947067,58,58
1548950711,59,59
1548954293,63,63
1548957878,64,64
1548961451,65,65
1548965034,67,67
1548968634,67,67
1548972246,67,67
1548975866,68,68
1548979502,69,69
1548983050,70,70
1548990258,71,71
1548993888,72,72
1548997468,73,73
1549008238,74,74
1549015421,75,75
1549026202,74,74
1549091036,73,73
1549094642,72,72
1549098276,71,71
1549109040,70,70
1549112641,69,69
1549116279,70,70
1549123460,69,69
1549130616,70,70
1549166599,71,71
1549170191,72,72
1549177445,73,73
1549184618,74,74
1549191780,74,74
1549202640,75,75
1549227828,74,74
