DateTime,Entries,UniqueIPs
1551889129,18107,18107
1551892735,18098,18098
1551896338,18090,18090
1551899943,18095,18095
1551903540,18098,18098
1551907140,18089,18089
1551910747,18132,18132
1551914338,18154,18154
1551917927,18172,18172
1551921547,18144,18144
1551925128,18144,18144
1551928726,18127,18127
1551932326,18112,18112
1551935914,18081,18081
1551939512,18039,18039
1551943112,18038,18038
1551946697,18011,18011
1551950295,18000,18000
1551953889,18050,18050
1551957506,18148,18148
1551961102,18220,18220
1551964690,18262,18262
1551968302,18259,18259
1551971933,18232,18232
1551975527,18237,18237
1551979115,18226,18226
1551982696,18198,18198
1551986320,18190,18190
1551989920,18196,18196
1551993535,18192,18192
1551997120,18251,18251
1552000725,18280,18280
1552004322,18308,18308
1552007913,18325,18325
1552011517,18309,18309
1552015128,18313,18313
1552018715,18292,18292
1552022333,18291,18291
1552025929,18251,18251
1552029626,18233,18233
1552033147,18231,18231
1552036741,18234,18234
1552040334,18235,18235
1552043945,18229,18229
1552047533,18227,18227
1552051135,18234,18234
1552054733,18237,18237
1552058347,18239,18239
1552061949,18251,18251
1552065544,18240,18240
1552069141,18224,18224
1552072759,18227,18227
1552076345,18228,18228
1552079953,18246,18246
1552083550,18254,18254
1552087147,18177,18177
1552090731,18174,18174
1552094328,18169,18169
1552097927,18160,18160
1552101528,18156,18156
1552105118,18147,18147
1552108708,18143,18143
1552112307,18120,18120
1552115919,18117,18117
1552119512,18108,18108
1552123124,18092,18092
1552126727,18090,18090
1552130300,18078,18078
1552133919,18078,18078
1552137522,18065,18065
1552141125,18058,18058
1552144729,18063,18063
1552148323,18064,18064
1552151920,18071,18071
1552155543,18077,18077
1552159145,18072,18072
1552162739,18062,18062
1552166348,18061,18061
1552169943,18242,18242
1552173557,18318,18318
1552177153,18348,18348
1552180753,18342,18342
1552184349,18350,18350
1552187952,18334,18334
1552191544,18325,18325
1552195144,18313,18313
1552198740,18304,18304
1552202319,18303,18303
1552205935,18312,18312
1552209534,18307,18307
1552213131,18303,18303
1552216732,18303,18303
1552220358,18289,18289
1552223930,18269,18269
1552227528,18261,18261
1552231142,18249,18249
1552234706,18223,18223
1552238330,18216,18216
1552241944,18185,18185
1552245559,18325,18325
1552249182,18602,18602
1552252772,18708,18708
1552256383,18778,18778
1552259976,18799,18799
1552263579,18814,18814
1552267154,18791,18791
1552270753,18789,18789
1552274398,18792,18792
1552278005,18792,18792
1552281579,18780,18780
1552285217,18760,18760
1552288777,18733,18733
1552292360,18716,18716
1552295964,18698,18698
1552299580,18676,18676
1552303181,18648,18648
1552306753,18648,18648
1552310371,18622,18622
1552313971,18584,18584
1552317541,18552,18552
1552321174,18841,18841
1552324804,19042,19042
1552328424,19168,19168
1552332022,19175,19175
1552335629,19255,19255
1552339242,19300,19300
1552342832,19325,19325
1552346441,19360,19360
1552350020,19363,19363
1552353622,19364,19364
1552357225,19335,19335
1552360813,19328,19328
1552364397,19328,19328
1552367991,19327,19327
1552371600,19317,19317
1552375174,19306,19306
1552378785,19296,19296
1552382406,19281,19281
1552386008,19274,19274
1552389582,19256,19256
1552393187,19239,19239
1552396816,19226,19226
1552400391,19219,19219
1552403969,19210,19210
1552407582,19189,19189
1552411182,19187,19187
1552414805,19249,19249
1552418402,19357,19357
1552422010,19379,19379
1552425626,19454,19454
1552429225,19486,19486
1552432824,19490,19490
1552436435,19492,19492
1552440041,19477,19477
1552443620,19470,19470
1552447205,19470,19470
1552450814,19475,19475
1552454405,19470,19470
1552458006,19454,19454
1552461596,19431,19431
1552465208,19422,19422
1552468803,19414,19414
1552472399,19403,19403
1552475974,19391,19391
1552479588,19393,19393
1552483212,19382,19382
1552486804,19383,19383
1552490386,19367,19367
1552494004,19362,19362
1552497603,19346,19346
1552501214,19363,19363
1552504817,19365,19365
1552508414,19487,19487
1552512025,19521,19521
1552515627,19519,19519
1552519226,19510,19510
1552522808,19512,19512
1552526417,19519,19519
1552530012,19508,19508
1552533601,19508,19508
1552537195,19495,19495
1552540790,19487,19487
1552544405,19494,19494
1552547985,19477,19477
1552551622,19471,19471
1552555216,19471,19471
1552558809,19450,19450
1552562430,19438,19438
1552566006,19408,19408
1552569592,19380,19380
1552573185,19355,19355
1552576799,19345,19345
1552580454,19324,19324
1552583986,19326,19326
1552587607,19316,19316
1552591257,19298,19298
1552594802,19277,19277
1552598416,19340,19340
1552602034,19437,19437
1552605633,19489,19489
1552609228,19504,19504
1552612822,19510,19510
1552616410,19523,19523
1552620013,19510,19510
1552623642,19506,19506
1552627207,19497,19497
1552630835,19503,19503
1552634439,19497,19497
1552638054,19489,19489
1552641637,19478,19478
1552645286,19468,19468
1552648879,19464,19464
1552652427,19455,19455
1552656000,19456,19456
1552659614,19459,19459
1552663206,19458,19458
1552666820,19466,19466
1552670422,19459,19459
1552674023,19464,19464
1552677626,19456,19456
1552681160,19440,19440
1552684821,19485,19485
1552688421,19523,19523
1552692030,19566,19566
