DateTime,AddedIPs,RemovedIPs
1551864119,39,47
1551867714,43,54
1551871335,47,74
1551874914,61,45
1551878511,43,51
1551882110,48,61
1551885685,42,56
1551889345,38,60
1551892928,42,60
1551896585,33,51
1551900191,32,34
1551903805,36,34
1551907406,37,51
1551910990,96,59
1551914557,74,49
1551918139,55,45
1551921712,31,50
1551925300,35,46
1551928919,33,50
1551932492,37,46
1551936112,25,50
1551939677,34,78
1551943263,49,49
1551946845,29,53
1551950425,35,48
1551954022,86,39
1551957630,140,54
1551961213,119,51
1551964819,83,39
1551968415,49,48
1551972051,44,56
1551975701,54,49
1551979251,43,50
1551982856,33,55
1551986475,35,48
1551990076,54,43
1551993678,47,51
1551997274,92,42
1552000868,66,35
1552004472,66,40
1552008071,50,36
1552011670,34,50
1552015277,40,46
1552018879,38,53
1552022480,38,37
1552026090,21,52
1552033370,59,80
1552036887,34,39
1552040522,41,39
1552044105,54,55
1552047715,57,54
1552051282,39,34
1552054909,48,43
1552058508,39,40
1552062115,45,32
1552065703,42,51
1552069343,32,38
1552072962,44,44
1552076547,39,40
1552080157,66,48
1552083744,48,35
1552087341,43,34
1552090912,36,39
1552094497,37,44
1552098096,40,44
1552101700,34,39
1552105277,25,33
1552108851,34,37
1552112477,26,47
1552116069,34,37
1552119685,27,41
1552123290,29,46
1552126871,31,40
1552130477,30,39
1552134082,45,44
1552137706,33,43
1552141311,34,38
1552144897,31,33
1552148470,43,47
1552152127,36,31
1552155749,38,36
1552159368,34,44
1552162959,32,35
1552166593,34,31
1552170159,187,35
1552173738,109,27
1552177330,75,38
1552180940,43,44
1552184546,48,33
1552188135,31,39
1552191730,24,33
1552195322,30,45
1552198901,25,34
1552202490,37,43
1552206099,39,29
1552209720,35,36
1552213276,27,26
1552216894,31,34
1552220520,32,47
1552224109,28,48
1552227676,34,47
1552231270,34,39
1552234845,27,51
1552238490,32,44
1552242136,29,52
1552245759,164,32
1552249381,292,39
1552252995,168,51
1552256593,105,31
1552260169,71,49
1552263754,61,43
1552267342,36,45
1552270931,33,34
1552274619,41,35
1552278221,44,46
1552281815,39,51
1552285387,36,54
1552288994,37,64
1552292575,32,50
1552296175,39,49
1552299826,27,50
1552303417,34,60
1552306953,46,49
1552310599,43,65
1552314168,38,73
1552317726,32,58
1552321371,205,47
1552325002,192,40
1552328791,144,43
1552332304,68,54
1552335974,128,46
1552339597,78,45
1552343086,58,41
1552346734,63,30
1552350298,41,36
1552353849,34,43
1552357457,36,51
1552361022,25,38
1552364654,38,36
1552368150,44,49
1552371735,41,49
1552375305,42,51
1552378955,46,45
1552386278,81,101
1552389820,42,57
1552393375,52,60
1552397023,45,57
1552400619,43,51
1552404145,41,49
1552407742,36,51
1552411336,48,54
1552415041,105,47
1552418683,148,60
1552422394,76,65
1552425946,119,55
1552429534,91,42
1552433143,61,43
1552436697,57,53
1552440281,40,55
1552443879,42,52
1552447391,38,38
1552451027,57,56
1552454598,38,40
1552458165,30,46
1552461757,36,59
1552465404,35,51
1552468983,37,49
1552472576,40,43
1552476160,34,49
1552479761,58,53
1552483398,49,64
1552486979,41,44
1552490575,43,58
1552494195,43,47
1552497827,46,60
1552501436,48,34
1552505067,51,40
1552508678,152,37
1552512260,98,54
1552515875,71,63
1552519466,39,41
1552523009,47,49
1552526628,40,35
1552530234,47,59
1552533781,48,45
1552537369,39,42
1552540950,35,40
1552544562,44,37
1552548165,35,52
1552551828,37,44
1552555426,40,44
1552558998,30,43
1552562685,38,49
1552566212,34,65
1552569776,35,53
1552573352,22,51
1552576970,33,52
1552584269,80,107
1552587839,40,47
1552591619,36,48
1552595025,27,48
1552598663,113,65
1552602296,137,40
1552605957,89,33
1552609451,63,50
1552613057,46,40
1552616623,44,29
1552620227,35,42
1552623946,40,40
1552627407,37,47
1552631078,39,41
1552634786,32,39
1552638339,38,35
1552641909,31,41
1552645616,38,54
1552649154,31,42
1552652632,33,51
1552656201,32,40
1552659811,37,30
1552663397,47,43
1552667018,47,45
1552670658,35,43
1552674244,33,33
1552677863,39,41
1552681498,30,42
1552685052,76,34
1552688620,69,36
1552692234,65,35
1552695839,39,38
1552699410,42,35
1552702996,30,46
1552706593,35,27
1552710162,36,33
1552713781,31,34
1552717378,33,34
1552720971,54,49
1552724560,58,41
1552728165,50,46
1552731765,30,37
1552735341,31,36
1552738949,35,38
1552742564,43,46
1552746184,29,34
1552749781,38,34
1552753371,30,37
1552756962,72,41
1552760628,71,30
1552764232,52,30
1552767844,49,41
1552771435,42,29
1552775030,37,51
1552778623,29,44
1552782229,32,34
1552785827,46,33
1552789405,30,32
1552793010,28,34
1552796594,28,34
1552800158,39,34
1552803783,23,42
1552807350,42,42
1552810968,28,44
1552814610,32,44
1552818191,32,45
1552821776,31,42
1552825389,35,47
1552829017,28,61
1552832574,28,59
1552836167,47,47
1552839869,4,199
1552843400,270,82
1552847030,105,38
1552850635,129,52
1552854113,146,45
1552857719,78,37
1552861316,63,53
1552864915,48,45
1552868525,40,61
1552872138,46,52
1552875704,36,50
1552879326,32,55
1552882948,31,42
1552886577,39,60
1552890192,39,63
1552893819,35,54
1552897410,31,59
1552901026,32,70
1552904667,31,47
1552908222,45,48
1552911806,31,61
1552915394,43,64
1552919004,38,48
1552922630,54,56
1552926212,72,141
1552929928,149,150
1552933552,93,122
1552937136,56,63
1552940752,108,56
1552944384,74,49
1552947940,46,40
1552951535,56,40
1552955135,35,39
1552958739,38,63
1552962310,27,44
1552965873,27,40
