DateTime,AddedIPs,RemovedIPs
1551881279,6,6
1551884859,9,6
1551888491,7,8
1551892075,3,11
1551895675,3,10
1551899284,39,18
1551902892,36,7
1551906503,5,16
1551910086,3,5
1551913678,7,4
1551917283,3,5
1551920884,7,3
1551924464,0,2
1551928065,13,3
1551931664,4,4
1551935273,2,7
1551938868,8,7
1551942460,4,4
1551946064,9,4
1551949648,8,7
1551953265,7,7
1551956857,5,8
1551960438,2,6
1551964039,5,5
1551967643,4,4
1551971258,3,7
1551974883,6,3
1551978459,9,6
1551982074,2,11
1551985670,5,7
1551989259,1,8
1551992878,5,5
1551996461,4,3
1552000057,18,4
1552003659,7,2
1552007257,3,3
1552010873,1,1
1552014474,3,1
1552018067,1,4
1552021684,3,2
1552025267,1,4
1552028989,0,4
1552032513,1,2
1552036080,9,6
1552039689,4,5
1552043281,2,8
1552046895,1,4
1552050473,3,8
1552054075,1,5
1552057681,3,6
1552061292,1,6
1552064884,3,5
1552068501,3,7
1552072100,5,7
1552075692,2,8
1552079297,2,5
1552082878,0,10
1552086492,3,3
1552090077,1,2
1552093678,0,1
1552097275,1,7
1552100888,3,3
1552104470,1,3
1552108063,2,3
1552111662,6,4
1552115265,5,8
1552118873,3,5
1552122467,2,7
1552126062,3,7
1552129662,2,2
1552133281,8,12
1552136859,6,5
1552140481,2,7
1552144076,7,2
1552147669,3,10
1552151271,3,7
1552154897,3,7
1552158485,1,7
1552162087,3,2
1552165694,2,6
1552169295,0,1
1552172896,2,5
1552176477,2,4
1552180079,2,4
1552183679,0,5
1552187272,4,0
1552190871,1,5
1552194486,2,2
1552198095,2,5
1552201667,3,5
1552205295,4,10
1552208882,1,8
1552212451,1,14
1552216067,7,8
1552219679,1,12
1552223272,4,24
1552226870,3,5
1552230453,4,2
1552234036,3,12
1552237665,2,7
1552241282,1,7
1552244883,1,9
1552248495,2,4
1552252084,3,10
1552255682,1,7
1552259291,1,1
1552262877,3,9
1552266484,4,2
1552270072,2,2
1552273719,6,7
1552277312,2,130
1552280883,5,66
1552284473,23,75
1552288079,7,145
1552291661,12,70
1552295261,8,33
1552298872,8,50
1552302475,1,32
1552306048,3,147
1552309672,6,103
1552316813,7,323
1552320420,5,81
1552324020,2,41
1552327672,4,63
1552331251,3,50
1552334864,4,78
1552338446,5,6
1552342044,1,10
1552345670,1,7
1552349251,1,9
1552352868,2,8
1552356468,1,13
1552360069,1,2
1552363664,0,5
1552367220,2,1
1552370816,3,6
1552374392,6,9
1552378012,2,6
1552381623,0,3
1552385243,3,7
1552388807,2,5
1552392407,2,4
1552396035,4,14
1552399636,4,8
1552403261,3,6
1552406798,8,3
1552410401,4,11
1552414027,0,19
1552417624,5,7
1552421236,18,4
1552424829,3,9
1552428422,2,2
1552432021,2,4
1552435630,1,4
1552439246,1,3
1552442819,0,5
1552446422,3,2
1552450020,0,7
1552453614,3,12
1552457199,6,5
1552460792,6,9
1552464416,2,7
1552468007,5,7
1552471610,3,5
1552475187,0,6
1552478805,6,9
1552482419,4,5
1552485998,3,6
1552489616,1,7
1552493224,6,3
1552496823,6,6
1552500421,3,4
1552504015,4,18
1552507624,2,28
1552511219,1,27
1552514820,4,9
1552518420,2,6
1552522016,0,3
1552525615,1,5
1552529220,0,3
1552532803,0,4
1552536394,15,12
1552539997,27,4
1552543588,25,6
1552547201,34,8
1552550827,44,7
1552554414,43,7
1552558019,43,5
1552561663,32,8
1552565239,29,2
1552568823,26,4
1552572410,13,2
1552576018,22,4
1552579703,20,4
1552583233,12,5
1552586835,15,8
1552590490,14,7
1552594039,20,1
1552597642,11,6
1552601290,10,3
1552604869,11,15
1552608449,9,3
1552612039,10,6
1552615641,20,1
1552619249,19,2
1552622884,20,2
1552626429,29,2
1552630069,29,4
1552633662,40,0
1552637272,53,2
1552640889,39,9
1552644547,35,2
1552648142,24,3
1552651660,26,3
1552655234,26,3
1552658849,15,2
1552662442,16,3
1552666055,10,2
1552669661,14,1
1552673259,10,1
1552676859,9,4
1552680451,7,1
1552684065,10,4
1552687657,6,1
1552691260,11,2
1552694866,9,1
1552698460,5,0
1552702049,13,1
1552705644,7,3
1552709233,17,2
1552712844,19,3
1552716454,34,4
1552720040,28,3
1552723657,31,3
1552727253,12,2
1552730872,18,2
1552734438,31,2
1552738049,25,10
1552741648,11,5
1552745263,19,2
1552748853,22,7
1552752457,31,4
1552756053,18,5
1552759696,18,2
1552763268,14,2
1552766875,16,2
1552770480,10,1
1552774083,4,1
1552777675,4,3
1552781269,4,2
1552784876,3,1
1552788464,8,0
1552792077,5,2
1552795675,11,0
1552799255,9,2
1552802884,10,4
1552806461,13,1
1552810074,13,3
1552813731,25,2
1552817265,36,2
1552820873,35,6
1552824471,18,2
1552828084,22,5
1552831668,30,5
1552835272,26,4
1552838936,35,5
1552842481,20,1
1552846097,14,1
1552849689,10,0
1552853247,16,3
1552856846,26,5
1552860445,12,1
1552864063,6,1
1552867666,5,4
1552871259,5,3
1552874848,26,3
1552878458,27,5
1552882069,17,3
1552885684,37,2
1552889285,25,7
1552892897,42,6
1552896513,25,6
1552900115,28,7
1552903713,27,10
1552907305,14,7
1552910897,16,6
1552914511,14,11
1552918109,12,6
1552921700,5,4
1552925317,3,3
1552928920,3,7
1552932518,2,3
1552936119,3,4
1552939727,1,3
1552943327,2,7
1552946925,3,3
1552950519,6,2
1552954117,2,2
1552957718,4,1
1552961328,9,2
1552964921,11,0
1552968516,12,7
1552972112,30,2
1552975701,36,4
1552979305,39,2
1552982924,21,4
1552986497,26,1
1552990108,32,3
1552993687,48,2
1552997301,48,1
1553000896,30,2
1553004501,26,5
1553008127,21,2
1553011694,16,8
1553015306,27,6
1553018906,14,1
1553022503,21,2
1553026109,12,3
1553029727,9,2
1553033327,4,1
1553036952,19,3
1553040540,2,0
1553044138,3,1
1553047726,12,0
1553051321,10,2
1553054911,11,1
1553058582,25,2
1553062176,24,2
1553065793,27,0
1553069386,31,2
1553072987,27,3
1553076536,33,5
1553080149,26,0
1553083754,21,5
1553087340,27,4
1553090934,24,2
1553094664,29,1
1553098249,30,1
1553101860,27,8
1553105383,21,5
1553108955,10,3
1553112559,10,4
1553116159,6,2
1553119761,9,4
1553123351,10,5
1553126969,17,0
1553130560,11,2
1553134174,9,2
1553137762,10,1
1553141331,11,10
1553144946,15,22
1553148558,18,26
1553152151,15,32
1553155713,16,35
1553159333,273,43
1553162918,16,36
1553166517,5,33
1553170133,6,27
1553173743,8,25
1553177324,5,9
1553180926,10,17
1553184539,3,21
1553188144,2,11
1553191741,3,15
1553195333,5,13
1553198965,2,22
1553202558,2,10
1553206171,3,13
1553209753,2,6
1553213349,2,13
1553216964,0,10
1553220536,0,14
1553224157,2,17
1553227742,0,19
1553231326,1,17
1553234921,14,35
1553238515,2,33
1553242125,1,51
1553245743,3,43
1553249313,1,33
1553252908,3,22
1553256532,3,27
1553260129,3,27
1553263732,0,14
1553267313,1,14
1553270951,1,11
1553274577,3,11
1553278147,5,11
1553281749,2,10
1553285342,3,10
1553288945,0,8
1553292541,1,7
1553296137,2,14
1553299727,1,11
1553303340,1,4
1553306927,1,14
1553314130,2,27
1553317709,1,17
1553321305,1,29
1553324891,1,33
1553328478,2,27
1553332086,3,17
1553335670,2,12
1553339272,3,32
1553342927,1,21
1553346490,2,15
1553350098,5,15
1553353708,2,22
1553357319,1,28
1553360927,1,23
1553364519,6,13
1553368122,1,13
1553371730,2,18
1553375320,3,9
1553378929,1,3
1553382542,0,2
1553386132,3,5
1553389718,0,2
1553393316,0,7
1553396913,0,5
1553400561,0,11
1553404085,2,12
1553407686,3,9
1553411273,4,19
1553414875,0,12
1553418473,4,18
1553422081,2,33
1553425666,0,40
