DateTime,AddedIPs,RemovedIPs
1551922304,82,77
1551927706,123,149
1551933065,98,111
1551936668,82,93
1551940263,109,68
1551942077,80,62
1551949264,70,61
1551951070,82,76
1551954711,79,65
1551958272,80,54
1551961896,54,80
1551963669,135,83
1551967264,124,134
1551972675,84,86
1551978114,74,76
1551979875,96,66
1551983465,98,90
1551987070,116,78
1551990666,101,117
1551994279,86,88
1551997872,76,130
1552001478,71,117
1552003264,79,93
1552006879,81,91
1552014065,114,154
1552019470,91,97
1552023087,84,98
1552026673,94,70
1552030273,76,60
1552032142,78,61
1552037468,93,64
1552041076,78,67
1552044675,72,64
1552050087,76,72
1552051869,93,91
1552055482,96,72
1552059076,74,84
1552062674,83,67
1552068074,105,76
1552069868,76,91
1552073497,97,72
1552077072,73,77
1552080702,84,81
1552084272,57,94
1552089675,55,103
1552091495,88,91
1552095069,81,82
1552098706,43,62
1552102273,62,113
1552105905,80,121
1552109481,82,102
1552113102,105,73
1552118467,75,60
1552120288,75,63
1552122135,100,56
1552123867,56,100
1552125692,100,56
1552127478,69,79
1552131069,107,68
1552134682,82,47
1552140065,107,60
1552141865,62,96
1552147276,68,93
1552150886,89,72
1552152669,104,83
1552156288,85,88
1552159913,91,84
1552163502,79,84
1552168876,85,87
1552170684,66,100
1552174272,47,103
1552177869,98,101
1552183271,81,73
1552185070,57,75
1552188728,60,103
1552194095,86,105
1552195900,82,89
1552199488,91,80
1552201267,75,57
1552206701,79,50
1552210277,80,88
1552213887,93,76
1552217469,98,81
1552222889,91,80
1552224680,92,76
1552230072,89,84
1552231864,87,69
1552235468,87,72
1552237281,117,83
1552244488,102,78
1552246271,101,88
1552249867,83,122
1552253523,92,95
1552257068,77,107
1552260674,78,110
1552264285,102,117
1552269745,85,90
1552271513,59,73
1552275068,57,94
1552278669,79,102
1552282272,77,84
1552285887,83,82
1552289465,77,60
1552293064,72,70
1552296664,88,62
1552300289,77,76
1552303922,74,74
1552309270,98,81
1552311072,90,72
1552314674,76,78
1552320096,73,71
1552321897,101,59
1552325469,82,77
1552329091,104,100
1552331008,89,89
1552336286,99,91
1552341677,86,94
1552345270,87,102
1552347071,102,126
1552350676,97,107
1552354264,83,78
1552357875,67,78
1552361463,60,107
1552363293,94,106
1552366915,105,103
1552372266,81,87
1552375881,74,60
1552379465,68,71
1552381267,72,85
1552384864,73,52
1552390307,79,53
1552393897,78,88
1552399267,71,77
1552401072,80,79
1552404670,83,68
1552408267,80,73
1552410095,82,57
1552417270,136,87
1552419074,84,96
1552422709,95,112
1552428104,89,95
1552429876,84,105
1552433472,80,124
1552437068,111,100
1552442465,91,88
1552444280,66,91
1552447886,84,113
1552451473,96,103
1552455066,106,105
1552460465,102,84
1552464088,76,66
1552465887,81,71
1552469468,70,72
1552474865,76,59
1552476666,67,62
1552480313,79,73
1552485683,80,75
1552487478,81,77
1552491075,88,83
1552496469,85,78
1552498269,87,69
1552501865,95,82
1552503681,115,79
1552509087,108,110
1552512664,76,103
1552516271,99,109
1552519895,69,139
1552523478,106,79
1552528871,90,84
1552530682,51,89
1552534273,71,101
1552537874,91,98
1552543277,98,95
1552545075,81,77
1552550469,74,67
1552552310,79,52
1552554071,73,86
1552559469,86,66
1552563083,87,61
1552566693,82,77
1552570282,78,66
1552573886,78,84
1552577495,91,72
1552582937,96,70
1552584813,83,82
1552588281,95,80
1552593679,108,101
1552595470,108,97
1552599065,78,117
1552600885,6,0
1552602667,77,100
1552606270,75,110
1552609869,104,105
1552611717,96,89
1552617079,48,74
1552622480,92,112
1552626068,93,118
1552627879,91,92
1552631476,75,71
1552635103,79,44
1552638675,90,71
1552640475,82,67
1552645871,68,58
1552651277,63,67
1552653111,67,62
1552654947,74,74
1552660279,74,74
1552663875,926,856
1552665719,846,921
1552667480,101,72
1552671083,80,75
1552676467,94,70
1552678292,85,102
1552681865,89,82
1552685468,68,82
1552689078,76,102
1552690864,241,215
1552692668,222,281
1552694486,92,105
1552701753,80,85
1552703474,50,62
1552707073,82,93
1552710679,83,109
1552716075,78,84
1552719677,66,68
1552721485,83,40
1552723265,76,69
1552726878,77,65
1552732291,69,70
1552734103,83,55
1552739509,76,66
1552743112,85,65
1552748482,69,62
1552750274,83,76
1552753892,95,77
1552757496,94,78
1552762864,99,73
1552764679,82,91
1552768277,86,90
1552771863,67,83
1552775495,57,93
1552780987,45,102
1552782686,83,81
1552788145,73,79
1552789863,46,74
1552793479,278,317
1552795265,339,309
1552797092,84,132
1552800666,95,76
1552806069,73,62
1552807865,59,35
1552811501,81,64
1552813301,76,55
1552816878,85,60
1552822266,90,64
1552827687,72,72
1552831275,158,109
1552836682,71,72
1552842073,81,75
1552843871,90,71
1552847465,93,91
1552851065,97,89
1552854665,117,105
1552856471,80,105
1552858290,105,80
1552860074,80,105
1552863663,67,109
1552865468,70,109
1552867343,81,93
1552869077,93,81
1552870870,81,93
1552872703,82,89
1552876287,54,79
1552878083,81,99
1552881670,106,122
1552887079,92,93
1552890669,87,79
1552894267,78,62
1552897868,89,67
1552901503,73,61
1552903279,73,49
1552908681,72,72
1552912264,91,64
1552915977,78,69
1552919467,75,70
1552921281,73,69
1552926674,66,68
1552932087,75,62
1552933865,99,74
1552937485,92,71
1552941068,110,100
1552944672,74,102
1552948270,74,112
1552951873,70,95
1552955472,86,98
1552960872,73,76
1552962684,67,87
1552964473,89,107
1552966270,107,89
1552968072,89,107
1552969867,102,109
1552973478,92,103
1552977080,83,77
1552980691,82,55
1552984265,79,68
1552987865,75,62
1552993280,72,68
1552995087,58,69
1552996867,69,58
1552998690,138,117
1553002272,73,56
1553005888,65,80
1553009492,71,72
1553013075,83,56
1553016671,81,66
1553020283,85,72
1553022088,101,96
1553027473,83,74
1553031074,73,100
1553034692,75,129
1553040084,60,94
1553041874,95,114
1553045465,93,76
1553049104,70,95
1553052683,64,90
1553056274,112,136
1553059879,89,95
1553063471,86,74
1553067074,74,63
1553068882,54,2944
1553072471,2931,0
1553074275,65,69
1553077906,94,62
1553081496,73,61
1553083318,79,77
1553086878,79,75
1553092293,70,78
1553097707,85,77
1553099495,84,96
1553103093,88,89
1553106669,115,74
1553110285,103,96
1553115713,93,93
1553117470,98,102
1553122873,71,115
1553126499,83,103
1553128290,94,97
1553130146,247,180
1553131891,214,298
1553135473,61,83
1553139062,65,105
1553144469,97,118
1553146287,94,75
1553149907,86,82
1553153467,68,62
1553157091,88,62
1553160668,76,60
1553164285,65,60
1553166080,60,55
1553173301,71,56
1553175071,70,76
1553178688,84,82
1553180467,71,69
1553187703,92,57
1553191270,74,72
1553193153,82,69
1553194869,87,86
1553202080,89,93
1553203900,104,90
1553209302,220,246
1553212911,237,310
1553214675,94,99
1553218287,82,82
1553223683,54,72
1553225472,63,99
1553229068,101,127
1553232674,100,86
1553236287,68,71
1553239881,69,53
1553245271,79,56
1553248885,83,66
1553250668,79,62
1553256080,70,74
1553257888,73,69
1553261478,69,71
1553265151,82,59
1553268695,76,80
1553272287,81,76
1553275864,76,75
1553279464,91,55
1553283087,90,79
1553288503,118,128
1553293914,59,100
1553299273,71,108
1553301068,101,98
1553304679,81,83
1553308270,52,82
1553310079,77,90
1553315469,87,114
1553319079,74,84
1553324467,113,85
1553329882,79,46
1553333492,90,75
1553338875,71,72
1553340672,72,52
1553342480,81,77
1553347878,89,77
1553351464,84,72
1553355064,90,70
1553358676,73,78
1553362304,82,76
1553365873,70,84
1553369467,75,76
1553374865,123,113
1553380264,52,89
1553382070,89,52
1553383893,90,178
1553387467,84,78
1553391073,65,85
1553394683,53,73
1553398263,65,76
1553401866,86,102
1553403729,80,80
1553409087,89,76
1553412677,61,51
1553414483,68,52
1553418071,76,55
1553423470,92,56
1553427105,80,65
1553432479,73,71
1553434288,89,82
1553437915,86,62
1553441465,74,81
1553445077,92,70
1553448665,91,77
1553454074,111,85
1553455892,98,89
1553459502,73,110
1553463098,76,87
1553466664,61,111
1553468526,59,105
1553472086,80,90
1553477466,79,74
1553481067,58,94
1553482919,65,91
1553484668,91,65
1553488268,154,173
1553491869,90,93
1553495509,75,80
1553499065,70,46
1553502697,76,59
1553506278,80,60
1553509914,80,70
1553513465,65,61
1553517089,80,61
1553520686,73,78
1553524273,84,84
1553529706,75,72
1553533271,116,116
1553538709,102,70
1553542282,108,89
1553547692,146,145
1553553172,77,118
1553558471,73,112
1553562089,91,87
1553563892,77,83
1553567474,55,96
1553571106,80,85
1553572869,91,134
1553578267,92,81
1553581863,111,80
1553587273,79,67
1553589063,92,69
1553592680,90,60
1553596274,78,57
1553599890,82,61
1553601691,51,83
1553608913,76,63
1553610676,89,70
1553616100,86,79
1553617865,75,76
1553621552,86,91
1553626879,153,134
1553632267,74,90
1553634097,4,0
1553635880,82,97
1553639482,101,125
1553643066,57,114
1553646670,109,93
1553650282,81,83
1553653867,70,82
1553657493,65,116
1553661081,116,65
1553662879,148,215
1553664663,105,88
1553670074,77,81
1553671896,79,57
1553675475,63,102
1553679073,115,55
1553682709,86,64
