DateTime,Entries,UniqueIPs
1551922304,6384,6384
1551927706,6358,6358
1551933065,6345,6345
1551936668,6334,6334
1551940263,6375,6375
1551942077,6393,6393
1551949264,6402,6402
1551951070,6408,6408
1551954711,6422,6422
1551958272,6448,6448
1551961896,6422,6422
1551963669,6474,6474
1551967264,6464,6464
1551972675,6462,6462
1551978114,6460,6460
1551979875,6490,6490
1551983465,6498,6498
1551987070,6536,6536
1551990666,6520,6520
1551994279,6518,6518
1551997872,6464,6464
1552001478,6418,6418
1552003264,6404,6404
1552006879,6394,6394
1552014065,6354,6354
1552019470,6348,6348
1552023087,6334,6334
1552026673,6358,6358
1552030273,6374,6374
1552032142,6391,6391
1552037468,6420,6420
1552041076,6431,6431
1552044675,6439,6439
1552050087,6443,6443
1552051869,6445,6445
1552055482,6469,6469
1552059076,6459,6459
1552062674,6475,6475
1552068074,6504,6504
1552069868,6489,6489
1552073497,6514,6514
1552077072,6510,6510
1552080702,6513,6513
1552084272,6476,6476
1552089675,6428,6428
1552091495,6425,6425
1552095069,6424,6424
1552098706,6405,6405
1552102273,6354,6354
1552105905,6313,6313
1552109481,6293,6293
1552113102,6325,6325
1552118467,6340,6340
1552120288,6352,6352
1552122135,6396,6396
1552123867,6352,6352
1552125692,6396,6396
1552127478,6386,6386
1552131069,6425,6425
1552134682,6460,6460
1552140065,6507,6507
1552141865,6473,6473
1552147276,6448,6448
1552150886,6465,6465
1552152669,6486,6486
1552156288,6483,6483
1552159913,6490,6490
1552163502,6485,6485
1552168876,6483,6483
1552170684,6449,6449
1552174272,6393,6393
1552177869,6390,6390
1552183271,6398,6398
1552185070,6380,6380
1552188728,6337,6337
1552194095,6318,6318
1552195900,6311,6311
1552199488,6322,6322
1552201267,6340,6340
1552206701,6369,6369
1552210277,6361,6361
1552213887,6378,6378
1552217469,6395,6395
1552222889,6406,6406
1552224680,6422,6422
1552230072,6427,6427
1552231864,6445,6445
1552235468,6460,6460
1552237281,6494,6494
1552244488,6518,6518
1552246271,6531,6531
1552249867,6492,6492
1552253523,6489,6489
1552257068,6459,6459
1552260674,6427,6427
1552264285,6412,6412
1552269745,6407,6407
1552271513,6393,6393
1552275068,6356,6356
1552278669,6333,6333
1552282272,6326,6326
1552285887,6327,6327
1552289465,6344,6344
1552293064,6346,6346
1552296664,6372,6372
1552300289,6373,6373
1552303922,6373,6373
1552309270,6390,6390
1552311072,6408,6408
1552314674,6406,6406
1552320096,6408,6408
1552321897,6450,6450
1552325469,6455,6455
1552329091,6459,6459
1552331008,6459,6459
1552336286,6467,6467
1552341677,6459,6459
1552345270,6444,6444
1552347071,6420,6420
1552350676,6410,6410
1552354264,6415,6415
1552357875,6404,6404
1552361463,6357,6357
1552363293,6345,6345
1552366915,6347,6347
1552372266,6341,6341
1552375881,6355,6355
1552379465,6352,6352
1552381267,6339,6339
1552384864,6360,6360
1552390307,6386,6386
1552393897,6376,6376
1552399267,6370,6370
1552401072,6371,6371
1552404670,6386,6386
1552408267,6393,6393
1552410095,6418,6418
1552417270,6467,6467
1552419074,6455,6455
1552422709,6438,6438
1552428104,6432,6432
1552429876,6411,6411
1552433472,6367,6367
1552437068,6378,6378
1552442465,6381,6381
1552444280,6356,6356
1552447886,6327,6327
1552451473,6320,6320
1552455066,6321,6321
1552460465,6339,6339
1552464088,6349,6349
1552465887,6359,6359
1552469468,6357,6357
1552474865,6374,6374
1552476666,6379,6379
1552480313,6385,6385
1552485683,6390,6390
1552487478,6394,6394
1552491075,6399,6399
1552496469,6406,6406
1552498269,6424,6424
1552501865,6437,6437
1552503681,6473,6473
1552509087,6471,6471
1552512664,6444,6444
1552516271,6434,6434
1552519895,6364,6364
1552523478,6391,6391
1552528871,6397,6397
1552530682,6359,6359
1552534273,6329,6329
1552537874,6322,6322
1552543277,6325,6325
1552545075,6329,6329
1552550469,6336,6336
1552552310,6363,6363
1552554071,6350,6350
1552559469,6370,6370
1552563083,6396,6396
1552566693,6401,6401
1552570282,6413,6413
1552573886,6407,6407
1552577495,6426,6426
1552582937,6452,6452
1552584813,6453,6453
1552588281,6468,6468
1552593679,6475,6475
1552595470,6486,6486
1552599065,6447,6447
1552600885,6453,6453
1552602667,6430,6430
1552606270,6395,6395
1552609869,6394,6394
1552611717,6401,6401
1552617079,6375,6375
1552622480,6355,6355
1552626068,6330,6330
1552627879,6329,6329
1552631476,6333,6333
1552635103,6368,6368
1552638675,6387,6387
