DateTime,AddedIPs,RemovedIPs
1552592717,9,0
1552594817,1,0
1552595717,1,0
1552597218,487,0
1552597517,63,0
1552598718,5,0
1552602618,0,15
1552602916,0,3
1552603216,0,3
1552603517,0,1
1552607418,63,0
1552614916,1,0
1552615218,0,2
1552617316,35,0
1552617617,79,0
1552622718,1,0
1552624515,1,0
1552625418,13,0
1552628418,62,0
1552633217,1,0
1552634417,1,0
1552637117,0,1
1552638016,1,0
1552639217,38,0
1552641617,1,0
1552644317,0,1
1552644617,0,1
1552647917,1,0
1552650018,160,0
1552658116,0,1
1552660218,193,0
1552661418,893,0
1552661716,173,0
1552662019,66,0
1552662317,15,0
1552663817,0,1
1552665316,53,0
1552667717,2,0
1552669218,105,0
1552669516,6,0
1552670717,145,2
1552671618,0,3
1552671918,0,1
1552672218,0,3
1552674317,9,0
1552676717,1,0
1552677617,2,0
1552678518,1,0
1552682117,0,1
1552683316,11,0
1552686017,0,1
1552692916,1,0
1552694716,54,0
1552701018,47,0
1552701316,34,0
1552702516,83,0
1552704915,1,0
1552708516,1,0
1552709117,44,0
1552710616,0,1
1552715419,70,0
1552720217,1,0
1552722017,1,0
1552722618,16,0
1552724117,46,0
1552727116,1,0
1552728916,3,0
1552734018,3,0
1552737018,62,0
1552737917,0,1
1552738517,7,0
1552742117,1,0
1552742417,90,0
1552742717,1,0
1552743617,404,0
1552743918,104,0
1552744216,2,0
1552750218,0,1
1552750517,6,0
1552754417,1,0
1552758018,15,0
1552764017,17,0
1552764317,101,0
1552765218,5,0
1552765817,37,0
1552769418,0,2
1552772117,1,0
1552773017,25,0
1552774816,23,0
1552790116,1,0
1552791316,118,0
1552794017,1,0
1552799116,62,0
1552803617,78,0
1552807217,3,0
1552808417,93,0
1552809018,24,0
1552815018,1,0
1552816219,25,0
1552818317,22,0
1552818617,4,0
1552820116,0,1
1552822817,2,0
1552823118,3,0
1552824019,1,1
1552827018,0,1
1552828220,85,0
1552830318,656,0
1552831518,24,0
1552832417,7,0
1552834216,9,0
1552839017,1,0
1552840218,7,0
1552840818,28,0
1552841716,4,0
1552846817,99,0
1552847118,4,0
1552850416,4,0
1552854618,184,0
1552855218,1,0
1552857017,33,0
1552860018,1,0
1552866316,1,0
1552867516,32,0
1552869316,0,1
1552873818,1,0
1552880116,2,0
1552881018,6,0
1552882517,2,0
1552882817,6,0
1552884017,0,1
1552886117,30,0
1552889418,38,0
1552893017,0,2
1552895118,0,1
1552896617,24,0
1552897819,0,1
1552901119,29,1
1552908018,0,1
1552910117,1,0
1552912517,0,1
1552912818,65,0
1552914317,102,0
1552914618,47,0
1552915819,352,0
1552916417,0,1
1552917316,0,1
1552917620,0,10
1552917917,0,3
1552918217,0,1
1552919419,12,0
1552919716,1,0
1552920917,6,0
1552922118,0,2
1552923619,0,1
1552924517,6,1
1552927218,7,0
1552932018,0,1
1552932618,0,1
1552933217,2,0
1552933519,0,1
1552934117,2,0
1552939518,1,0
1552940417,1,0
1552942517,209,1
1552949417,1,0
1552952418,8,0
1552972517,93,0
1552982719,0,1
1552985718,0,1
1552992019,0,1
1552993818,98,0
1552997117,0,1
1553003717,0,1
1553005518,282,0
1553005818,1,0
1553006118,14,0
1553007316,72,0
1553008818,13,0
1553009418,0,1
1553010619,508,0
1553012720,25,0
1553014517,5,0
1553018418,11,0
1553018718,0,2
1553020219,1,0
1553020518,30,0
1553023218,0,1
1553024418,11,1
1553027717,1,0
1553028917,52,0
1553030717,46,0
1553033119,1,1
1553038818,0,1
1553039419,31,0
1553039717,0,1
1553042116,1,0
1553043019,6,0
1553043917,41,0
1553046619,1,0
1553047818,2,0
1553050517,44,0
1553051117,2,0
1553057117,0,3
1553057420,35,0
1553058318,2,0
1553058920,29,0
1553064917,1,0
1553067316,2,0
1553068516,59,0
1553069117,22,0
1553071217,1,0
1553071819,1,0
1553073918,0,1
1553075118,0,1
1553076319,1,0
1553076618,0,1
1553077218,18,0
1553078117,38,0
1553083220,0,2
1553085918,0,1
1553091618,62,0
1553092217,127,0
1553095217,1,0
1553095819,1,0
1553096417,0,1
1553098518,0,1
1553099716,1,0
1553100617,195,0
1553101817,23,0
1553103617,1,0
1553105117,1,0
1553106017,558,0
1553106318,313,0
1553107818,0,2
1553108419,25,0
1553108718,4,0
1553116819,2,0
1553118018,17,0
1553118916,62,0
1553119516,1,0
1553124318,0,1
1553124917,15,0
1553126117,1,0
1553127617,1,0
1553128817,0,1
1553129417,1,0
1553136916,1,0
1553137518,23,0
1553138719,167,0
1553141417,0,1
1553142320,0,1
1553143817,2,0
1553145318,0,1
1553145617,53,0
1553145920,14,0
1553146217,0,1
1553146516,1,0
1553147717,83,0
1553154618,3,1
1553155817,39,0
1553163617,2,0
1553163919,0,2
1553164818,1,0
1553165418,33,0
1553171418,0,1
1553173817,5,0
1553174419,56,0
1553175019,97,0
1553175317,1,0
1553176217,2,0
1553177119,0,1
1553178319,0,3
1553181619,39,0
1553184019,1,0
1553187318,91,0
1553189717,0,1
1553190917,579,0
1553195117,1,0
1553195417,0,1
1553195718,12,0
1553196017,11,0
1553196318,0,1
1553199017,1,0
1553204116,45,0
1553217620,41,0
1553231419,86,0
