DateTime,AddedIPs,RemovedIPs
1551640817,28,0
1551641118,33,0
1551641420,249,0
1551641716,33,0
1551642018,18,0
1551642619,60,0
1551642916,24,0
1551643218,7,0
1551643517,23,0
1551643818,12,0
1551644117,20,0
1551644416,6,0
1551644718,35,0
1551645018,16,0
1551645318,43,0
1551645618,18,0
1551645919,15,0
1551646220,12,0
1551646518,24,0
1551646820,6,0
1551647118,17,0
1551647418,7,0
1551648017,62,0
1551648317,41,0
1551648617,33,0
1551648917,44,0
1551649218,21,0
1551649818,32,0
1551650118,24,0
1551650423,184,0
1551651018,177,0
1551651619,43,0
1551651918,17,0
1551652217,10,0
1551652519,21,0
1551652818,7,0
1551653418,41,0
1551653717,28,0
1551654020,11,0
1551654318,25,0
1551654619,8,0
1551655219,67,0
1551655820,64,0
1551656118,34,0
1551656419,19,0
1551656719,28,0
1551657019,15,0
1551657317,28,0
1551657621,17,0
1551657918,29,0
1551658218,17,0
1551658817,168,0
1551659418,45,0
1551659718,799,0
1551660017,12,0
1551660317,22,0
1551660620,12,0
1551660916,30,0
1551661218,18,0
1551661520,41,0
1551661819,17,0
1551662418,41,0
1551662718,38,0
1551663017,30,0
1551663317,41,0
1551663617,26,0
1551663918,25,0
1551664218,13,0
1551664517,33,0
1551664819,11,0
1551665117,32,0
1551665419,57,0
1551665718,47,0
1551666018,14,0
1551666617,45,0
1551666918,33,0
1551667218,14,0
1551667518,31,0
1551667818,15,0
1551668117,33,0
1551668420,9,0
1551668718,33,0
1551669017,19,0
1551669318,25,0
1551669618,20,0
1551669920,125,0
1551670219,61,0
1551670516,89,0
1551670817,33,0
1551671118,45,0
1551671419,26,0
1551671716,50,0
1551672019,15,0
1551672317,42,0
1551672617,12,0
1551672921,33,0
1551673219,9,0
1551673818,41,0
1551674117,29,0
1551674417,4,0
1551674718,30,0
1551675020,27,0
1551675317,384,0
1551675618,619,0
1551675917,804,0
1551676217,932,0
1551676518,558,0
1551676817,560,0
1551677418,1177,0
1551677717,739,0
1551678019,464,0
1551678320,983,0
1551678621,826,0
1551678918,489,0
1551679219,531,1
1551679518,592,0
1551679818,262,0
1551680120,450,0
1551680418,850,0
1551680722,1398,0
1551681019,409,0
1551681317,158,0
1551681618,14,0
1551682220,457,0
1551682819,327,0
1551683118,95,0
1551683419,21,0
1551683719,28,0
1551684019,76,0
1551684319,24,0
1551684622,43,0
1551685218,66,0
1551685521,47,0
1551685818,32,0
1551686119,102,0
1551686419,99,0
1551687017,80,1
1551687318,41,0
1551687618,27,0
1551687920,29,0
1551688517,50,0
1551688817,28,0
1551689119,28,0
1551689422,23,0
1551689720,28,0
1551690020,19,0
1551690318,40,0
1551690919,53,0
1551691217,70,0
1551691519,24,0
1551691820,14,0
1551692118,44,0
1551692419,35,0
1551693019,107,0
1551693319,51,0
1551693620,37,0
1551693918,29,0
1551694217,16,0
1551694521,34,0
1551694822,23,0
1551695420,58,0
1551695719,111,0
1551696020,83,0
1551696320,37,0
1551696621,17,0
1551696918,29,0
1551697220,25,0
1551697517,30,0
1551698117,49,0
1551698419,13,0
1551698719,27,0
1551699025,8,0
1551699319,30,0
1551699619,32,0
1551699920,60,0
1551700221,41,0
1551700519,51,0
1551700820,26,0
1551701119,37,0
1551701417,19,0
1551701719,40,0
1551702021,17,0
1551702320,33,0
1551702619,17,0
1551702921,24,0
1551703220,18,0
1551703521,41,0
1551703819,23,0
1551704119,35,0
1551704423,15,0
1551704720,30,0
1551705019,12,0
1551705319,27,0
1551705621,13,0
1551706223,33,0
1551706816,78,0
1551709518,309,0
1551709818,11,0
1551710417,46,0
1551710718,32,0
1551711020,14,0
1551711317,20,0
1551711620,17,0
1551711919,30,0
1551712217,8,0
1551712518,27,0
1551712818,9,0
1551713118,450,0
1551713419,13,0
1551713716,15,0
1551714018,12,0
1551714319,66,1
1551714617,26,0
1551714918,100,0
1551715219,11,0
1551715517,188,0
1551716118,59,0
1551716420,37,0
1551716717,27,0
1551717018,20,0
1551717317,19,0
1551717618,12,0
1551717918,21,0
1551718218,10,0
1551718518,21,0
1551718820,13,0
1551719119,27,0
1551719419,10,0
1551719719,36,0
1551720027,12,0
1551720318,27,0
1551720918,6,1
1551721272,27,0
1551722116,0,1
1551722418,49,0
1551725418,0,1
1551726918,1,0
1551727219,1,0
1551727819,0,1
1551728117,1,0
1551728419,1,0
1551728718,1,0
1551729020,0,1
1551736218,123,0
1551742516,0,1
1551746718,0,1
1551772218,0,1
1551772516,0,1
1551776418,0,1
1551790817,0,1
1551804319,0,1
1551806717,1,0
1551858616,1,0
1551876917,3,0
1551880819,1,0
1551881718,2,0
1551883517,1,0
1551884718,1,0
1551885020,2,0
1551885618,1,0
1551886820,1,0
1551887119,2,0
1551887421,0,1
1551895818,1,0
1551897619,1,0
1551898219,1,0
1551898818,1,0
1551906620,0,1
1551922517,849,0
1551936018,0,1
1551947118,1,0
1551957919,1,0
1551968718,216,0
1551996917,0,1
1551999017,0,1
1552008317,0,1
1552017317,0,1
1552026916,0,1
1552049716,0,1
1552052418,1,0
1552075516,0,1
1552108517,0,1
1552117817,0,1
1552147817,0,1
1552179316,0,1
1552179618,1,0
1552187116,1,0
1552197316,0,1
1552204818,1,0
1552228218,1,0
1552236916,0,2
1552241717,1,0
1552242017,2,0
1552242318,3,0
1552242917,1,0
1552243216,1,0
1552244116,2,0
1552244419,3,0
1552244717,3,0
1552289119,1,0
1552293317,0,1
1552295118,1,0
1552334420,1,0
1552389318,1,0
1552390220,1,0
1552403719,0,1
1552405518,1,0
1552408517,0,1
1552409118,1,0
1552417219,1,0
1552418718,2,0
1552419019,2,0
1552419317,1,0
1552419917,2,0
1552421117,1,1
1552421718,1,0
1552422617,3,0
1552422916,5,0
1552423518,6,0
1552423819,5,0
1552424117,1,0
1552424717,1,0
1552425017,2,0
1552425318,1,0
1552425618,4,0
1552432518,1,0
1552437017,0,1
1552437618,0,1
1552438818,0,1
1552456217,0,1
1552458017,0,1
1552464917,1,0
1552469716,1,0
1552474517,1,0
1552479619,0,1
1552484721,1,0
1552485620,1,0
1552498820,1,0
1552524017,0,1
1552569919,1,0
1552576818,1,0
1552582517,0,1
1552588517,0,1
1552594817,1,0
1552644018,1,0
1552644916,0,1
1552659617,1,0
1552664418,1,0
1552668318,0,2
1552679119,1,0
1552679717,0,1
1552691716,2,0
1552692316,2,0
1552692617,1,0
1552692916,2,0
1552693217,1,0
1552693517,2,0
1552734018,1,0
1552738219,0,1
1552743618,1,0
1552751119,0,1
1552757418,1,0
1552782618,1,0
1552819818,1,0
1552820419,5,0
1552820717,3,0
1552824917,1,0
1552831518,1,0
1552833618,1,0
1552833918,1,0
1552838117,1,0
1552838418,1,0
1552840818,1,0
1552842316,1,0
1552843517,1,0
1552844717,2,0
1552851017,1,0
1552860018,1,0
1552860317,1,0
1552860917,1,0
1552863619,1,0
1552866317,0,1
1552866918,1471,0
1552867220,5,0
1552868417,1,0
1552869017,1,0
1552869617,1,0
1552885218,1,0
1552885518,3,0
1552887317,1,0
1552887918,1,0
1552888217,1,0
1552902018,4,0
1552905020,1,0
1552905318,2,0
1552910118,1,0
1552914017,2,0
1552914317,0,1
1552921219,1,0
1552924218,0,2
1552931417,1,0
1552931717,4,0
1552932019,5,0
1552932318,6,0
1552938618,32,0
1552951218,3,0
1552951817,1,0
1552974616,4,0
1552983617,3,0
1552992321,1,0
1552995920,2,0
1552997719,4,0
1552998019,1,0
1553004020,1,0
1553010619,0,1
1553011221,0,2
1553024718,1,0
1553030418,1,0
1553052618,0,1
1553074517,2,0
1553075417,2,0
1553091918,1,0
1553103919,0,1
1553114117,1,0
1553115918,1,0
1553122220,1,0
1553122819,1,0
1553123417,2,0
1553123717,6,0
1553124017,4,0
1553124318,1,0
1553137518,0,2
1553142321,0,1
1553142618,0,1
1553143218,0,1
1553173818,1,0
1553174117,1,0
1553182219,1,0
1553188218,2,0
1553188517,2,0
1553188819,1,0
1553190018,2,0
1553232619,0,1
1553254518,1,0
1553254819,1,0
1553255121,1,0
1553255422,1,0
1553256319,1,0
1553258721,1,0
1553264419,1,0
1553271919,1,0
1553278218,1,0
1553288119,1,0
1553289919,0,1
1553300117,0,1
1553318419,1,0
1553326517,1,0
1553331017,0,1
1553349018,1,0
1553351717,1,0
1553353818,0,1
1553357417,1,0
1553372118,1,0
1553375117,0,1
1553375717,2,2
1553385619,1,0
1553398819,0,1
1553399418,0,1
1553429417,0,1
1553436617,1,0
1553442318,0,1
1553523618,0,1
1553541920,1,0
1553542219,4,0
1553542517,4,0
1553542820,1,0
1553543120,1,0
1553543717,1,0
1553549119,6,0
1553556917,0,1
1553587520,0,1
1553596517,0,1
1553613021,0,2
1553613321,0,1
1553613621,0,1
1553616024,0,2
1553621719,0,1
1553631920,1,0
1553641220,0,1
1553643317,0,1
1553643619,0,1
1553643919,0,1
1553644218,0,2
1553644519,0,1
1553645118,0,2
1553645718,0,2
1553646019,0,1
1553646319,0,1
1553651419,0,1
1553652020,0,3
