DateTime,AddedIPs,RemovedIPs
1538951431,256,0
1538954738,0,512
1538958274,256,0
1538997311,0,768
1539000903,0,256
1539008111,256,0
1539009017,0,256
1539037044,0,256
1539098103,512,256
1539188112,0,256
1539195303,512,0
1539216902,0,256
1539274508,1024,0
1539357311,0,256
1539390720,256,256
1539533706,256,0
1539556226,0,256
1539563429,0,512
1539612027,0,256
1539616175,256,0
1539640824,0,256
1539701103,0,512
1539702902,256,0
1539721820,256,0
1539729028,256,256
1539736243,256,0
1539756021,256,0
1539789672,256,0
1539799219,0,512
1539822632,256,0
1539879065,2304,0
1539880219,256,0
1539882021,256,0
1539885631,512,0
1539887419,256,0
1539900902,0,256
1539909003,1024,0
1539921631,256,0
1539995430,512,0
1540047632,0,512
1540048667,512,0
1540053022,256,0
1540058425,512,0
1540062039,256,0
1540081806,256,0
1540083631,256,0
1540143006,256,0
1540144824,512,0
1540160103,0,256
1540174512,0,256
1540220434,0,256
1540221781,256,0
1540247409,256,256
1540297803,256,0
1540306822,0,512
1540326396,0,256
1540355409,256,0
1540394525,0,512
1540398603,512,0
1540403103,0,256
1540420234,256,0
1540427403,0,256
1540477803,512,0
1540483236,0,768
1540491304,0,256
1540492203,256,0
1540513803,0,256
1540539024,0,256
1540567168,256,0
1540569643,0,256
1540577955,256,0
1540585803,0,256
1540593003,256,0
1540650620,256,0
1540652443,0,768
1540657072,0,256
1540666816,0,256
1540679403,256,0
1540733577,256,0
1540737114,256,0
1540746902,0,1024
1540827021,0,1792
1540836002,0,256
1540839603,0,256
1540841422,0,256
1540845030,0,768
1540851304,0,256
1540858509,0,256
1540902630,0,256
1540920623,256,0
1540945829,256,0
1540949433,256,0
1540999341,256,0
1541005223,256,0
1541081712,0,1024
1541088021,0,256
1541103751,0,256
1541118603,256,0
1541168102,0,512
1541171703,0,256
1541197806,0,256
1541205003,256,0
1541255766,0,512
1541259018,512,0
1541283302,0,256
1541286029,256,0
1541342090,0,256
1541349468,768,0
1541424656,256,0
1541430903,0,512
1541431822,256,0
1541439023,256,0
1541464203,256,0
1541517351,512,0
1541525421,0,256
1541529003,0,256
1541604546,0,512
1541607320,256,0
1541634032,256,0
1541692823,0,256
1541707237,0,256
1541809839,256,0
1541864432,0,256
1541873704,0,256
1541953776,0,768
1541960126,256,0
1541976304,0,256
1541991626,256,0
1542035718,512,0
1542036704,0,256
1542050103,0,512
1542058162,0,256
1542068348,256,0
1542122105,0,256
1542122929,0,256
1542205817,256,0
1542222022,512,0
1542231020,256,0
1542238209,256,0
1542287515,0,256
1542298525,256,0
1542381325,512,0
1542391223,256,0
1542471319,256,256
1542475826,0,256
1542490230,256,0
1542557717,256,0
1542584011,256,0
1542596447,0,256
1542639631,0,512
1542696302,0,256
1542729649,0,256
1542730531,256,0
1542841225,0,256
1542846634,256,0
1542902437,0,768
1542907189,256,256
1542928503,0,256
1542956454,256,0
1542985229,0,256
1542988853,0,256
1543074303,0,256
1543086903,256,0
1543162505,0,256
1543163403,256,0
1543245302,0,256
1543282814,256,0
1543335303,0,256
1543336489,256,0
1543415546,256,0
1543419443,0,256
1543435223,256,0
1543455024,256,0
1543511704,0,512
1543512639,256,0
1543582219,256,0
1543595411,0,256
1543677304,0,256
1543706102,0,256
1543769306,256,256
1543780829,256,0
1543840224,256,0
1543851022,0,256
1543862796,1024,0
1543888818,0,256
1543942808,512,0
1544020213,0,256
1544023814,0,256
1544045403,0,256
1544108404,512,0
1544122804,256,0
1544124626,0,256
1544139294,256,0
1544185837,0,768
1544211011,256,0
1544245227,256,0
1544319033,256,0
1544384917,256,0
1544392124,0,256
1544398211,0,512
1544424314,0,256
1544466620,0,512
1544493621,256,0
1544546932,0,256
1544549413,256,0
1544626062,512,512
1544628605,256,0
1544711969,0,256
1544742020,256,0
1544805210,256,0
1544808641,0,512
1544897703,0,256
1544910304,0,256
1544988343,256,0
1545006624,256,0
1545031803,256,0
1545067654,768,0
1545154212,0,512
1545229848,0,256
1545240618,0,256
1545265844,256,0
1545328829,256,0
1545329713,0,256
1545352208,256,0
1545407612,0,512
1545420615,0,256
1545499803,256,0
1545583605,0,256
1545585304,0,256
1545669995,256,0
1545672617,0,512
1545681632,256,0
1545693304,0,256
1545756724,1024,256
1545763593,256,0
1545845406,768,0
1545847220,0,256
1545866103,0,256
1545867005,256,0
1545924614,256,0
1546012807,512,0
1546024503,0,256
1546038022,256,0
1546104609,512,256
1546195653,0,256
1546276503,0,256
1546300196,0,256
1546354863,512,0
1546450219,0,1024
1546457721,0,256
1546471829,0,512
1546528504,0,256
1546538429,256,0
1546615814,256,0
1546616002,0,768
1546622561,0,256
1546644619,0,256
1546647728,256,0
1546681880,0,256
1546696812,256,0
1546731015,256,0
1546740011,256,0
1546781455,256,0
1546793104,0,256
1546862148,256,0
1546875030,256,256
1546958707,0,512
1547049620,256,0
1547070305,256,0
1547115523,256,0
1547128827,0,256
1547141418,256,256
1547217019,0,256
1547301626,256,0
1547328614,0,256
1547380838,0,512
1547391621,256,0
1547456429,256,0
1547463737,256,0
1547465417,256,256
1547479821,0,256
1547604004,512,0
1547637741,256,0
1547651852,256,0
1547652892,0,256
1547674015,0,256
1547724616,0,256
1547742138,512,0
1547752504,0,256
1547767816,256,0
1547860859,0,512
1547906425,0,256
1547907680,256,0
1547996420,0,256
1548011885,256,256
1548033428,256,0
1548067526,0,256
