DateTime,AddedIPs,RemovedIPs
1544769002,495,503
1544775483,512,509
1544781963,319,327
1544791322,166,168
1544797564,288,271
1544804042,128,129
1544810283,141,139
1544819883,95,107
1544826364,90,95
1544833083,840,866
1544839562,679,664
1544847722,577,551
1544853965,510,513
1544860247,460,451
1544869803,284,298
1544876042,135,146
1544882283,129,127
1544891642,153,131
1544898122,112,106
1544908442,90,99
1544911802,55,56
1544918043,855,882
1544927643,552,568
1544934123,542,488
1544940363,480,484
1544949723,361,360
1544955962,205,200
1544962450,214,216
1544968683,108,118
1544978282,102,113
1544984523,93,79
1544990763,93,101
1545000123,70,66
1545006364,884,882
1545012602,622,648
1545018843,490,457
1545028442,503,515
1545035162,384,388
1545041403,198,203
1545047882,165,167
1545057242,111,98
1545063723,136,134
1545069962,133,144
1545079323,108,106
1545085563,53,60
1545092764,863,867
1545099002,559,576
1545105242,533,494
1545114844,529,524
1545121563,396,408
1545128043,193,213
1545134523,185,185
1545144122,188,171
1545150603,110,110
1545156843,78,76
1545165242,129,135
1545171722,45,48
1545177962,876,868
1545187323,596,614
1545193562,542,510
1545200042,545,546
1545206523,396,390
1545216122,202,214
1545222363,201,206
1545228602,178,171
1545234842,126,123
1545244442,98,95
1545250922,97,96
1545257405,81,93
1545263883,867,880
1545270613,562,568
1545280203,501,480
1545286442,553,541
1545292924,471,469
1545301324,257,282
1545307811,190,177
1545314043,85,97
1545323403,111,110
1545329644,174,181
1545336123,111,117
1545345722,118,122
1545352202,862,856
1545358683,645,670
1545364923,569,528
1545374522,554,548
1545380762,471,476
1545387244,285,306
1545393483,179,165
1545402842,173,174
1545409562,136,128
1545416043,132,128
1545422283,200,197
1545432124,56,58
1545438362,884,884
1545444843,601,625
1545451082,510,476
1545460442,547,535
1545466682,494,504
1545473162,352,354
1545479642,191,206
1545489243,111,107
1545495722,109,123
1545501963,105,108
1545511323,125,130
1545517804,82,69
1545524043,739,874
1545530284,661,554
1545539644,511,468
1545546123,499,494
