DateTime,AddedIPs,RemovedIPs
1508182388,6,0
1508268787,3,3
1508355163,1,3
1508441595,3,4
1508527998,2,5
1508614315,6,3
1508700794,4,5
1508787217,5,5
1508873659,4,4
1508960063,4,1
1509046700,0,4
1509132810,5,1
1509219215,2,0
1509305591,0,3
1509392061,2,1
1509478430,1,2
1509564853,0,3
1509651180,5,0
1509737641,1,6
1509824021,3,2
1509914007,4,1
1510000434,0,5
1510086792,5,3
1510173176,1,6
1510259552,7,0
1510345946,0,3
1510432422,3,3
1510518841,2,5
1510605086,6,4
1510691734,3,3
1510777916,4,1
1510864321,2,1
1510950881,1,4
1511037111,2,4
1511123568,4,3
1511209946,4,0
1511296538,0,7
1511382741,7,2
1511469155,1,5
1511555541,4,1
1511641987,2,3
1511728314,3,2
1511814728,2,7
1511901144,5,4
1511987495,6,7
1512073990,3,3
1512160366,2,0
1512246736,0,4
1512333084,3,2
1512419530,2,1
1512505949,1,1
1512592326,1,1
1512678765,1,0
1512765158,0,4
1512851513,3,2
1512937982,1,2
1513024355,3,4
1513110706,6,4
1513197124,1,6
1513283496,6,3
1513369973,1,2
1513456577,4,4
1513542766,5,4
1513629149,2,2
1513715603,3,3
1513801931,3,3
1513888336,2,3
1513974726,4,3
1514061121,3,2
1514147590,2,1
1514233923,1,3
1514320314,1,2
1514406714,2,1
1514493144,1,3
1514579538,3,1
1514665945,1,4
1514752303,4,1
1514838793,0,4
1514925099,4,1
1515011495,2,2
1515097903,2,4
1515184262,3,2
1515270645,2,3
1515357124,3,2
1515529951,3,2
1515616310,2,1
1515702712,1,6
1515789123,7,3
1515875502,2,5
1515961888,5,2
1516048301,2,4
1516137899,2,48
1516221812,47,3
1516307545,6,3
1516394037,4,3
1516480303,2,2
1516566701,2,5
1516653148,6,2
1516739534,1,2
1516825905,3,3
1516912295,2,3
1516998838,3,3
1517085094,2,2
1517171523,2,4
1517257933,5,2
1517344298,2,4
1517430759,4,3
1517517127,3,7
1517603527,5,2
1517689894,0,2
1517776274,4,1
1517862725,1,2
1517949135,2,2
1518035513,2,2
1518121980,0,1
1518208333,1,6
1518294717,4,1
1518381126,3,5
1518467483,3,1
1518553935,1,3
1518640378,3,1
1518726754,1,3
1518813108,4,2
1518899493,2,1
1518985891,1,2
1519072305,2,4
1519158694,4,5
1519245110,7,4
1519331854,1,3
1519417977,4,5
1519504289,5,2
1519590693,1,3
1519677199,4,3
1519763575,3,4
1519850027,3,8
1519936374,7,2
1520022790,2,0
1520109174,2,6
1520195497,4,2
1520281911,0,3
1520368390,2,0
1520454730,2,4
1520541130,3,3
1520627527,5,2
1520713952,2,3
1520796738,1,0
1520883187,2,8
1520969557,7,2
1521055915,2,2
1521142331,2,2
1521228731,3,3
1521315146,4,4
1521401525,5,3
1521487934,3,2
1521574373,2,3
1521660800,2,4
1521747160,3,1
1521833628,2,2
1521919894,3,3
1522006340,2,7
1522092768,3,4
1522179196,6,2
1522265510,1,3
1522352002,2,3
1522438344,2,1
1522524736,1,3
1522611138,2,2
1522697536,5,2
1522783955,1,0
1522870412,0,4
1522956797,4,5
1523043277,3,0
1523129497,2,2
1523215887,2,2
1523302336,0,2
1523388751,1,3
1523475121,4,4
1523561499,3,0
1523648038,1,2
1523734333,2,3
1523820700,3,3
1523907142,3,2
1523993533,2,4
1524079941,3,2
1524166355,2,3
1524252855,5,2
1524339161,1,0
1524425574,0,3
1524512050,4,4
1524598358,2,4
1524684857,4,2
1524771254,2,5
1524857602,2,2
1524943927,4,1
1525030353,1,1
1525116792,2,2
1525203132,1,4
1525289602,6,4
1525375968,4,2
1525462363,2,5
1525548711,5,6
1525635088,3,3
1525721630,3,3
1525807955,4,2
1525894363,1,3
1525980761,2,1
1526067169,0,4
1526153570,6,2
1526240009,2,3
1526326387,4,4
1526412842,3,3
1526499193,2,3
1526585558,2,3
1526672081,2,4
1526758431,6,1
1526844836,2,3
1526934180,3,30
1527017690,29,3
1527103953,6,6
1527190360,3,6
1527276749,5,5
1527363167,6,2
1527449563,1,2
1527535988,2,2
1527622424,2,1
1527710282,2,7
1527795144,7,1
1527881737,1,2
1527967965,1,4
1528054438,3,1
1528140803,2,5
1528227211,4,3
1528313591,2,5
1528400032,3,3
1528486515,7,3
1528572811,3,4
1528659213,5,3
1528745633,3,1
1528832209,1,1
1528918479,1,2
1529004840,2,3
1529091288,1,5
1529177627,6,4
1529264073,1,1
1529350498,3,4
1529436977,3,4
1529523297,4,3
1529609639,3,0
1529696070,0,7
1529782351,4,0
1529868872,3,2
1529955363,1,3
1530041591,1,2
1530127987,3,0
1530214480,2,2
1530300803,1,4
1530387587,3,4
1530473540,3,4
1530560126,2,2
1530646438,4,5
1530732833,3,2
1530819221,3,3
1530905682,3,1
1530991950,2,4
1531078407,2,4
1531164909,5,0
1531251181,0,4
1531337660,1,4
1531423971,6,2
1531510428,1,5
1531596770,4,0
1531683184,3,3
1531769616,2,4
1531856109,5,4
1531942426,3,2
1532028839,3,3
1532115201,1,4
1532201550,2,1
1532288101,2,4
1532374654,5,3
1532460802,3,3
1532547171,2,6
1532633621,5,3
1532720109,5,4
1532806446,4,2
1532892770,1,3
1532979216,3,3
1533065555,3,4
1533152094,2,4
1533238683,2,4
1533324847,4,2
1533411211,4,2
1533497604,2,2
1533584173,2,1
1533670657,4,5
1533756784,2,2
1533843220,2,2
1533929585,3,4
1534016030,4,1
1534102550,2,5
1534188908,5,6
