DateTime,AddedIPs,RemovedIPs
1550070740,94,0
1550099529,13,7
1550102416,1250,2236
1550103612,18,13
1550111288,18,30
1550116742,104,85
1550142018,16,20
1550162898,679,1410
1550184497,5,8
1550188816,1722,1469
1550192431,4,12
1550196252,13,13
1550203142,93,62
1550231055,18,11
1550254334,629,2499
1550269448,6,13
1550275216,1323,1385
1550277132,9,9
1550280969,17,0
1550289542,121,69
1550315528,12,14
1550345540,624,1919
1550356099,332,0
1550358739,8,17
1550359956,201,0
1550361615,1504,1382
1550362810,5,0
1550370489,11,27
1550376733,518,69
1550377709,112,0
1550383969,249,0
1550401222,17,23
1550417287,544,677
1550421133,154,235
1550443450,9,14
1550448016,1291,2634
1550451125,7,14
1550454965,13,0
1550462342,102,76
1550479580,599,920
1550488121,246,0
1550489073,141,0
1550489535,13,8
1550507155,332,239
1550512593,231,0
1550515938,163,0
1550519789,172,0
1550531770,9,7
1550534416,1277,2232
1550535609,13,11
1550543289,12,20
1550548742,97,121
1550569218,569,680
1550574041,154,111
1550574979,79,0
1550575962,72,0
1550577387,86,0
1550577890,34,16
1550578358,138,0
1550579293,118,0
1550580261,109,0
1550581224,101,0
1550585790,75,24
1550587228,68,28
1550590837,68,0
1550592016,162,64
1550593007,19,0
1550594419,19,65
1550595371,14,0
1550597790,46,0
1550601159,55,0
1550609078,118,72
1550610521,22,0
1550613401,39,0
1550616488,17,15
1550616998,56,0
1550618679,22,0
1550620816,1040,1771
1550623471,111,0
1550624417,11,27
1550626118,78,167
1550627048,40,0
1550628247,13,14
1550631636,100,0
1550632833,80,127
1550634744,57,0
1550635142,81,108
1550638593,96,0
1550640517,99,0
1550642917,163,0
1550644838,66,0
1550647480,74,0
1550654052,83,31
1550662808,77,80
1550663533,16,17
1550664503,81,0
1550667882,69,0
1550671459,82,0
1550673158,80,0
1550680382,66,74
1550684423,413,234
1550702410,11,0
1550707215,1357,2050
1550710091,11,9
1550713926,17,13
1550721542,77,92
1550733608,490,258
1550739158,85,823
1550747084,88,74
1550748735,15,17
1550750169,265,114
1550761009,296,276
1550792672,9,27
1550793616,1380,1618
1550796496,7,17
1550800328,16,24
1550807943,172,77
1550830098,594,1540
1550835133,11,18
1550857218,513,666
1550877610,5,14
1550880016,1474,1499
1550881447,4,15
1550884838,376,808
1550885298,10,17
1550894342,104,105
1550919852,9,0
1550962325,10,0
1550966416,1150,1438
1550970006,17,19
1550973851,12,16
1550976500,518,2461
1550980743,107,86
1551008410,12,43
1551035331,583,957
1551047290,8,15
1551052816,1039,1885
1551054966,8,6
1551058806,13,14
1551067142,73,92
1551093608,16,21
1551127217,593,1524
1551137052,4,15
1551139216,1578,2217
1551140890,10,0
1551144728,15,0
1551153542,115,95
1551179291,14,23
1551219114,633,1495
1551222536,204,4
1551226331,1497,1639
1551234264,13,30
1551239942,131,87
1551249140,616,335
1551263083,368,244
1551269052,9,20
1551307941,10,0
1551312018,1173,1707
1551315621,9,20
1551319452,16,16
1551326342,231,81
1551354254,16,18
1551354779,591,696
1551382337,415,293
1551383293,128,0
1551387154,138,0
1551393620,11,10
1551398416,1761,1607
1551401531,12,9
1551402017,390,131
1551405366,14,18
1551407333,255,80
