DateTime,AddedIPs,RemovedIPs
1553302948,1,1
1553304123,1,0
1553304483,0,178
1553304679,75,0
1553306549,7,0
1553307722,3,0
1553308322,50,14
1553309523,3,0
1553310484,87,130
1553310723,1,0
1553311323,2,0
1553312523,1,0
1553313809,2,2
1553314923,1,0
1553315523,82,13
1553316242,0,185
1553316722,1,0
1553317408,0,1
1553318522,1,0
1553319123,83,0
1553319723,5,0
1553320923,3,0
1553321009,0,1
1553322123,2,0
1553323922,62,75
1553324557,67,56
1553325123,2,0
1553325723,3,0
1553326323,2,1
1553326923,1,0
1553327523,2,0
1553328149,2,0
1553329323,4,0
1553329923,76,7
1553330523,2,0
1553331751,4,4
1553332563,0,71
1553333492,90,0
1553334123,1,0
1553335356,3,0
1553336522,2,0
1553337723,2,0
1553338323,63,64
1553339016,3,72
1553340124,1,0
1553340723,73,0
1553342523,75,10
1553343124,2,0
1553344923,3,0
1553346123,1,0
1553346149,0,1
1553346962,0,113
1553347323,3,0
1553347923,91,0
1553348523,2,0
1553349724,1,1
1553349809,0,1
1553350802,0,73
1553350923,19,0
1553351523,87,0
1553352124,1,0
1553352725,2,0
1553353323,2,0
1553353349,1,3
1553354523,4,0
1553355064,81,16
1553356563,0,110
1553356923,3,0
1553357523,1,0
1553358123,4,0
1553358723,74,0
1553359323,1,0
1553360523,3,0
1553360550,1,1
1553361723,2,0
1553362304,71,20
1553362922,5,0
1553363283,20,64
1553364150,1,3
1553365324,10,0
1553365923,2,0
1553366523,64,17
1553367750,2,2
1553369042,11,132
1553369523,74,0
1553370122,1,0
1553371324,2,0
1553371416,0,2
1553372523,1,1
1553372883,0,68
1553373723,1,0
1553374324,1,0
1553375011,119,3
1553375523,2,0
1553378551,4,0
1553379602,0,107
1553379723,3,0
1553380264,51,0
1553380922,2,0
1553382123,3,51
1553382150,0,1
1553382723,3,0
1553383443,88,0
1553383925,11,174
1553385124,2,0
1553385749,3,1
1553386923,4,0
1553387522,76,0
1553388123,3,0
1553389354,3,2
1553389922,2,0
1553390523,1,0
1553391123,2,76
1553391722,63,0
1553392958,3,1
1553393523,1,0
1553394123,2,0
1553395202,43,145
1553395323,3,0
1553395922,2,0
1553396614,4,0
1553398263,64,0
1553398922,1,0
1553399523,1,0
1553400123,1,0
1553400151,0,1
1553401923,4,0
1553402524,79,10
1553402883,10,68
1553403750,74,9
1553404323,1,0
