DateTime,AddedIPs,RemovedIPs
1553239820,48,74
1553240436,27,32
1553241308,184,172
1553242336,24,24
1553243269,105,94
1553244256,29,22
1553244320,142,93
1553245244,82,43
1553246196,97,82
1553248096,96,128
1553248831,78,1
1553250030,33,31
1553250435,63,117
1553250488,46,1
1553251935,24,22
1553252430,76,171
1553253872,86,1242
1553254216,74,201
1553255792,34,22
1553256025,79,39
1553257714,621,103
1553258108,109,139
1553259638,33,30
1553260521,126,29
1553261040,68,92
1553261532,31,20
1553261762,91,120
1553263722,109,68
1553264986,153,278
1553266118,30,29
1553266823,91,51
1553267416,91,99
1553268010,28,19
1553268608,780,2
1553268788,65,122
1553269931,20,21
1553270448,105,123
1553271880,613,758
1553272507,98,121
1553273767,26,21
1553274047,101,123
1553275705,31,24
1553275794,125,141
1553277636,39,21
1553278517,74,45
1553279034,67,76
1553279556,19,32
1553280319,82,114
1553281477,106,47
1553283395,94,103
1553283614,89,102
1553285293,28,24
1553285717,67,0
1553286617,84,104
1553287216,24,38
1553287520,72,118
1553289381,108,48
1553289810,73,64
1553291293,86,102
1553292317,126,117
1553293229,26,16
1553294107,101,80
1553295132,25,17
1553297055,161,103
1553298320,105,101
1553298991,21,23
1553299596,249,85
1553300120,60,256
1553300890,675,0
1553301007,286,0
1553302823,393,183
1553303719,484,70
1553304753,31,16
1553304760,188,85
1553306923,88,22
1553308222,57,94
1553308812,10,14
1553308929,117,123
1553311001,147,80
1553312896,94,148
1553313376,40,0
1553314809,22,19
1553315256,58,145
1553316128,81,163
1553316754,13,16
1553316968,45,0
1553318655,16,19
1553318848,63,70
1553319608,81,146
1553320599,23,19
1553320834,68,122
1553321721,56,5
1553322494,14,30
1553323328,80,180
1553324420,29,25
1553326343,173,129
1553327512,69,115
1553328259,46,28
1553330170,114,140
1553330722,92,87
1553332117,106,21
1553333224,69,128
1553334032,15,15
1553334321,73,85
1553335231,106,76
1553335933,14,16
1553336667,87,98
1553336886,80,0
1553337852,12,17
1553338566,109,116
1553339773,14,1082
1553340255,97,123
1553341697,135,109
1553342444,77,0
1553343321,85,105
1553343641,493,0
1553344507,91,98
1553345551,27,13
1553345804,91,25
1553347454,19,25
1553347482,85,54
1553347687,46,1
1553349387,22,18
1553349626,86,75
1553351311,98,123
1553352126,156,92
1553353224,26,17
1553353463,99,116
1553355132,13,11
1553356264,194,1421
1553357076,27,11
1553357722,0,509
1553358975,161,83
1553359103,108,108
1553360909,18,18
1553361322,168,154
1553361979,763,0
1553362829,21,19
1553362928,143,123
1553364730,276,19
1553364918,123,156
1553365813,108,0
1553366648,18,15
1553367367,99,224
1553368571,19,28
1553368948,58,115
1553370736,105,351
1553371255,42,1
1553372651,23,26
1553373006,55,366
1553373607,143,276
1553374590,20,25
1553375718,176,167
1553376488,33,20
1553376741,112,131
1553378664,155,77
1553379715,243,0
1553380219,111,80
1553380568,19,36
1553381028,166,83
1553382513,19,16
1553382607,152,123
1553384415,20,26
1553384528,169,122
1553386337,463,0
1553387287,210,215
1553387420,0,252
1553388276,6,17
1553388968,113,122
1553390174,25,21
1553391004,83,65
1553391252,76,117
1553392093,7,18
1553392578,101,57
1553394039,18,20
1553394622,68,158
1553395933,121,140
1553396972,141,117
1553397854,9,6
