DateTime,AddedIPs,RemovedIPs
1553183523,4,0
1553184123,1,0
1553185324,3,0
1553185923,1,0
1553186523,5,0
1553187123,2,0
1553188923,2,0
1553189523,1,0
1553190123,3,0
1553191323,2,0
1553191923,2,0
1553193722,3,2
1553194923,5,0
1553196123,3,0
1553197323,25,1
1553197923,1,0
1553198524,2,0
1553199723,2,0
1553200323,2,0
1553200924,5,1
1553202123,6,0
1553202724,3,0
1553203323,6,0
1553203923,1,0
1553204523,7,0
1553205123,3,0
1553205723,8,0
1553206924,2,0
1553209323,14,0
1553209924,1,0
1553210523,3,0
1553211724,2,1
1553212323,1,0
1553212924,2,0
1553213524,1,0
1553214122,1,1
1553214723,2,0
1553215322,1,0
1553217123,1,0
1553217723,3,0
1553218923,5,0
1553220123,1,0
1553222523,1,1
1553223724,2,1
1553224923,2,0
1553227323,3,0
1553228524,4,0
1553229123,5,0
1553229723,3,1
1553230323,1,0
1553230924,5,0
1553231523,1,0
1553232123,0,1
1553233323,5,0
1553234523,7,1
1553235124,3,0
1553235723,2,0
1553236323,5,0
1553236923,2,0
1553237522,1,0
1553238123,0,1
1553240523,12,0
1553241723,8,0
1553242922,3,0
1553243524,1,0
1553244122,3,0
1553244722,2,0
1553245323,3,0
1553245924,1,0
1553246523,2,0
1553247723,3,1
1553248323,3,0
1553248923,10,0
1553250123,1,0
1553250723,1,0
1553251323,2,0
1553251924,1,0
1553252524,1,0
1553254922,4,0
1553256123,2,0
1553256723,2,0
1553257923,1,0
1553258523,1,0
1553262124,4,0
1553264523,4,0
1553265125,2,0
1553265723,3,0
1553266323,1,0
1553266924,1,2
1553268123,3,0
1553269923,8,0
1553270523,3,0
1553271124,1,0
1553271724,3,0
1553272923,3,1
1553273522,3,0
1553274123,5,0
1553275323,1,0
1553275923,1,0
1553276523,3,0
1553280123,5,0
1553281323,1,0
1553282523,21,0
1553283723,1,1
1553284923,1,0
1553285523,6,0
1553286123,3,0
1553287324,1,0
1553287923,1,0
1553288523,4,1
1553289123,3,0
1553289722,5,0
1553290322,1,0
1553290922,5,0
1553292123,7,0
1553292723,3,0
1553293323,1,0
1553293923,1,0
1553295723,2,0
1553298723,1,0
1553299324,1,0
1553300522,3,0
1553301723,1,0
1553302923,1,1
1553304123,1,0
1553306523,7,0
1553307722,3,0
1553308322,3,0
1553309523,3,0
1553310123,24,1
1553310723,1,0
1553311323,2,0
1553312523,1,0
1553313723,2,2
1553314923,1,0
1553315523,0,2
1553316123,0,1
1553316722,1,0
1553318522,1,0
1553319123,10,0
1553319723,5,0
1553320923,3,0
1553322123,2,0
1553324522,17,0
1553325123,2,0
1553325723,3,0
1553326323,2,1
1553326923,1,0
1553327523,2,0
1553328124,2,0
1553329323,4,0
1553329923,1,0
1553330523,2,0
1553331725,4,1
1553334123,1,0
1553335323,3,0
1553336522,2,0
1553337723,2,0
1553338923,3,1
1553340124,1,0
1553340723,3,0
1553343124,2,0
