DateTime,Entries,UniqueIPs
1514635252,4135,34668713
1514721672,4040,34668615
1514808106,4081,34668443
1514894493,4161,34668460
1514980871,4215,34668454
1514990406,4176,34668440
1515067267,4236,34668488
1515153724,4282,34668534
1515240110,4310,34668551
1515326499,4201,34668442
1515412855,4017,34668245
1515499288,3954,34668182
1515585695,3876,34668102
1515672061,3968,34668216
1515758450,4053,34668316
1515844854,4098,34668364
1515931338,4088,34668360
1516017763,4149,34668417
1516104110,4250,34668550
1516190495,4354,34668646
1516199539,4243,34668544
1516276902,4469,34668768
1516363304,4577,34668882
1516449681,4852,34669149
1516536147,4930,34669223
1516622484,4852,34669140
1516708853,4821,34669108
1516795312,5021,34669311
1516881717,5114,34669382
1516968143,5179,34669418
1517054505,5217,34669456
1517140931,5199,34669439
1517227263,5429,34669668
1517313740,5573,34669812
1517400439,5804,34670037
1517407696,5924,34670147
1517486480,6210,34670439
1517572907,6319,34670548
1517659310,6214,34670442
1517745738,6346,34670590
1517832058,6264,34670513
1517918472,6271,34670525
1518004950,6225,34670479
1518091318,6068,34670327
1518177654,5792,34670052
1518264077,5461,34669714
1518350507,5113,34669354
1518436919,5012,34669253
1518523331,5153,34669384
1518604221,1450,34665622
1518690608,1724,34665898
1518763696,1730,34665912
1518777005,2189,34666379
1518863408,2550,34666745
1518949806,2878,34667076
1519036206,3241,34667448
1519122606,3541,34667774
1519209007,3818,34668055
1519295408,4139,34668380
1519381806,4418,34668670
1519468206,4715,34668981
1519554607,4751,34669013
1519641007,4700,34668944
1519727418,4694,34668935
1519813810,4717,34668947
1519900213,4640,34668866
1519972325,4535,34668753
1519986607,4513,34668710
1520073006,4504,34668696
1520159407,4391,34668579
1520245819,4524,34668705
1520332215,4575,34668765
1520418632,4560,34668754
1520505010,4589,34668785
1520591412,4599,34668797
1520677838,4599,34668814
1520764209,4568,34668791
1520850608,4557,34668783
1520937009,4592,34668823
1521023408,4658,34668889
1521109808,4433,34668668
1521182165,4552,34668785
1521196212,4439,34668663
1521282609,4427,34668647
1521369009,4301,34668514
1521455407,4273,34668467
1521541810,4177,34668369
1521628208,4131,34668322
1521714609,4144,34668335
1521801007,4165,34668361
1521887412,4159,34668357
1521973807,4231,34668427
1522060208,4237,34668432
1522146608,4276,34668477
1522233011,4360,34668574
1522319410,4499,34668732
1522392255,4547,34668782
1522405808,4579,34668834
1522492213,4693,34668982
1522578609,4758,34669077
1522665012,4817,34669164
1522751407,4808,34669187
1522837809,4740,34669134
1522924208,4646,34669036
1523010613,4538,34668903
1523097014,4468,34668782
1523183408,4371,34668616
1523269811,4319,34668543
1523356209,4166,34668372
1523442609,4000,34668194
1523529009,3779,34667980
1523602570,3781,34667978
1523615414,3653,34667850
1523701818,3618,34667815
1523788211,3666,34667880
1523874609,3617,34667846
1523961008,3610,34667841
1524047405,1609,34665777
1524120488,1612,34665789
1524133805,1875,34666055
1524220205,2153,34666343
1524306606,2380,34666575
1524393011,2549,34666744
1524479430,2737,34666932
1524565806,2969,34667166
1524652206,3176,34667374
1524738606,3406,34667609
1524813130,3419,34667623
1524825005,3619,34667825
1524911406,3744,34667950
1524997814,3929,34668141
1525084210,3905,34668112
1525170608,4039,34668242
1525257006,4048,34668251
1525343408,4073,34668282
1525429806,4183,34668405
1525516212,4209,34668451
1525602607,4182,34668438
1525689007,4158,34668436
1525775408,4138,34668443
1525861808,4039,34668354
1525948208,4127,34668449
1526034609,4155,34668477
1526121009,4291,34668619
1526207408,3304,3641
1526293813,3209,3504
1526387407,4349,34668588
1526469375,4235,34668469
1526473807,4328,34668559
1526560207,4413,34668645
1526646608,4530,34668764
1526733028,4627,34668873
1526819407,4546,34668793
1526905806,4429,34668674
1526992206,4320,34668567
1527078621,4293,34668552
1527165006,4346,34668613
1527253207,4208,34668488
1527280811,4208,34668488
1527302721,3973,29658513
1527311792,4208,34668488
1527335864,4208,34668488
1527342036,4193,34668479
1527357391,4193,34668479
1527374419,4165,34515699
1527384619,3956,29658502
1527388589,4193,34668479
1527426018,4856,34669146
1527512408,4736,34668987
1527598809,4542,34668776
1527682331,4586,34668821
1527685207,4557,34668787
1527771607,4563,34668794
1527858008,4565,34668796
1527919250,4565,34668796
1527934598,4565,34668796
1527937330,4565,34668796
1527944408,4496,34668723
1527949472,4496,34668723
1527978991,4496,34668723
1527994352,4496,34668723
1528030806,1475,34665649
1528117206,1825,34666000
1528203606,2094,34666270
1528290006,2373,34666560
1528302008,2373,34666560
1528318792,2373,34666560
1528376408,2586,34666776
1528462806,2739,34666929
1528549205,2948,34667147
1528635606,3134,34667349
1528722006,3355,34667590
1528808406,3525,34667786
1528892889,3548,34667807
1528894805,3672,34667954
1528981206,3636,34667936
1529067606,3597,34667930
1529154006,3677,34668021
1529240406,3745,34668090
1529326805,3893,34668235
1529413209,3926,34668219
1529499607,3924,34668175
1529586006,3825,34668064
1529672407,3837,34668061
1529758807,3802,34668021
1529845218,3761,34667980
1529931607,3756,34667970
1529950326,3729,34667943
1530018007,3695,34667902
1530104434,3638,34667852
1530190819,3465,34667687
1530277208,3429,34667651
1530363607,3462,34667684
1530450008,3487,34667712
1530536407,3508,34667738
1530622822,3522,34667756
1530711007,3596,34667837
1530797428,3587,34667861
1530883818,3579,34667859
1530970207,3584,34667869
1531056610,3639,34667927
1531143007,3681,34667962
1531230011,3682,34667956
1531315807,3714,34667984
1531402220,3727,34667993
1531488607,3671,34667939
1531575008,3644,34667909
1531661434,3659,34667952
1531747808,3582,34667884
1531834208,3572,34667874
1531920609,3578,34667859
1532007022,3502,34667800
1532093423,3516,34667862
1532179807,3438,34667786
1532266207,3323,34667684
1532352608,3357,34667724
1532409611,3394,34667769
1532439020,3414,34667776
1532525415,3429,34667733
1532611822,3462,34667747
1532698208,3493,34667765
1532784609,3524,34667789
1532871023,3637,34667904
1532957407,3962,34668232
1533043809,4356,34668624
1533130209,4682,34668962
1533216624,5030,34669304
1533303018,5397,34669674
1533389409,5538,34669821
1533475808,5660,34669949
1533562219,5771,34670065
1533615615,5839,34670144
1533648609,5932,34670233
1533735008,6000,34670304
1533821410,5832,34670139
1533907811,5587,34669886
1533994209,5452,34669749
1534080609,5198,34669496
1534167008,4971,34669272
1534253409,4967,34669257
1534339807,4973,34669261
1534426208,4925,34669212
1534512609,4951,34669240
1534599022,5055,34669348
1534685409,5148,34669443
1534773609,5157,34669453
1534860009,6783,34671086
1534941603,6764,34671062
1534946435,7082,34671393
1535032809,7457,34671779
1535119209,7923,34673114
1535205610,9903,34675127
1535292009,10787,34676037
1535378410,10982,34676229
1535464809,11111,34676348
1535551209,11363,34676626
1535637609,11675,34676921
1535692576,11601,34676839
1535724011,11346,34676579
1535810409,11189,34676413
1535896810,10950,34676171
1535983210,10788,34675138
1536069609,10376,34674706
1536156005,1729,34665908
1536242405,3295,34667479
1536328805,4112,34668301
1536415205,4691,34668912
1536501606,5315,34669539
1536588008,5973,34670219
1536674407,6618,34670870
1536760806,7276,34671541
1536847206,7984,34672272
1536914890,7949,34672233
1536933606,8567,34672878
1537020007,8886,34673214
1537106406,8185,34672508
1537192807,8256,34672587
1537279206,9739,34674097
1537365607,9964,34674302
1537452007,10251,34674541
1537538406,10531,34674804
1537624806,10650,34674929
1537711206,1760,34665935
1537797605,3062,34667238
1537884006,4474,34668697
1537970405,5595,34669822
1538056806,6891,34671122
1538143205,8017,34672258
1538154251,8024,34672264
1538229605,8950,34673200
1538316007,9755,34674027
1538402416,10637,34674919
1538488806,11306,34675612
1538575206,11567,34675887
1538661607,11066,34675382
1538748007,10427,34674684
1538834407,9983,34674255
1538920813,9261,34673548
1539007207,8627,34672886
1539093609,8220,34672475
1539180007,8308,34672561
1539266407,8353,34672605
1539352820,8387,34672638
1539362170,8378,34672636
1539439207,8459,34672713
1539525607,8556,34672821
1539612007,8721,34672989
1539698419,9241,34673506
1539784808,9677,34673963
1539871208,9932,34674219
1539957608,9949,34674243
1540044007,9615,34673897
1540130419,9297,34673586
1540216807,9146,34673431
1540303208,9533,34673823
1540389608,9547,34673848
1540476046,9341,34673634
1540562423,9215,34673507
1540570329,9204,34673507
1540648808,8980,34673286
1540735209,8925,34673232
1540821614,9001,34673309
1540908008,9114,34673419
1540994411,9096,34673397
1541080809,9165,34673463
1541167220,8443,34672733
1541253624,8258,34672541
1541340008,8161,34672455
1541426408,7969,34672266
1541512808,7724,34672017
1541599209,7555,34671848
1541685608,7386,34671695
1541772045,7141,34671451
1541858419,7360,34671677
1541944810,7215,34671556
1542031209,7030,34671375
1542117609,6886,34671229
1542204035,6730,34671048
1542290408,6863,34671193
1542353284,6894,34671217
1542376809,6875,34671193
1542463223,6809,34671125
1542549609,6703,34671026
1542636009,6633,34670958
1542722413,6122,34670473
1542808821,5894,34670247
1542895210,6475,34670861
1542981610,6893,34671292
1543068009,6800,34671206
1543154422,6546,34670903
1543240820,6279,34670683
1543327210,6193,34670584
1543337528,6217,34670609
1543413609,6198,34670587
1543500026,6240,34670631
1543586418,6239,34670615
1543672834,6311,34670692
1543759210,5587,34669946
1543845610,5047,34669411
1543932009,5024,34669387
1544018410,4944,34669305
1544104810,5024,34669389
1544191210,4955,34669322
1544277610,4910,34669274
1544364022,4687,34669039
1544450411,4500,34668841
1544457636,4536,34668870
1544536810,4312,34668638
1544623211,4252,34668584
1544709610,4232,34668583
1544796010,4248,34668611
1544882410,4241,34668618
1544968836,4244,34668614
1545055224,4213,34668592
1545141611,4206,34668588
1545228011,4300,34668664
