DateTime,AddedIPs,RemovedIPs
1529506802,1,0
1529528402,1,0
1529550002,2,0
1529593202,1,0
1529614802,1,0
1529701202,1,0
1529722803,2,0
1529787602,1,0
1529809202,2,0
1530090026,6,0
1530111626,1,0
1530219626,1,0
1530306026,2,0
1530370826,1,0
1530392426,1,0
1530543626,1,0
1530565227,2,0
1530630026,1,0
1530673227,1,0
1530738027,1,0
1530802827,1,0
1530824426,1,0
1530954026,1,0
1530975627,1,0
1531018826,3,0
1531083627,1,0
1531105226,1,0
1531126827,1,0
1531364427,1,0
1531386026,1,0
1531450827,1,0
1531623627,1,0
1531731627,1,0
1531753227,1,0
1531796426,1,0
1531818027,1,0
1531882827,1,0
1531926026,1,0
1531947627,2,0
1531969227,1,0
1532077227,1,0
1532120427,2,0
1532185226,2,0
1532293226,1,0
1532314826,1,0
1532358027,1,0
1532379626,1,0
1532401226,1,0
1532466027,1,0
1532487626,2,0
1532617226,1,0
1532660426,2,0
1532682027,2,0
1532703627,3,0
1532725226,2,0
1532746827,1,0
1532811627,1,0
1532833226,2,0
1532876426,1,0
1532919626,2,0
1532962827,3,0
1533006027,1,0
1533027626,1,0
1533070827,1,0
1533092427,1,0
1533135626,2,0
1533157227,3,0
1533178827,1,0
1533222026,2,0
1533265227,2,0
1533308426,2,0
1533330002,2,0
1533394802,2,0
1533416402,1,0
1533546002,3,0
1533567602,1,0
1533589202,3,0
1533610803,1,0
1533697202,1,0
1533848403,2,0
1533913202,2,0
1533978002,1,0
1533999602,1,0
1534042802,2,0
1534086002,2,0
1534150803,1,0
1534172402,4,0
1534215602,1,0
1534237202,2,0
1534258802,1,0
1534323602,1,0
1534366802,2,0
1534388402,6,0
1534431602,1,0
1534453202,1,0
1534474802,1,0
1534496402,1,0
1534518002,1,0
1534539602,1,0
1534561202,1,0
1534734003,2,0
1534820402,1,0
1534906802,2,0
1534950002,1,0
1535122802,1,0
1535144402,1,0
1535209202,1,0
1535230802,1,0
1535274002,3,0
1535295602,1,0
1535425202,1,0
1535511602,1,0
1535533202,1,0
1535598002,1,0
1535641203,2,0
1535684402,1,0
1535727602,2,0
1535749202,1,0
1535770802,1,0
1535792402,2,0
1535835602,1,0
1535878802,1,0
1535900403,1,0
1535922002,2,0
1535943602,1,0
1536051602,1,0
1536073202,2,0
1536181202,1,0
1536202802,1,0
1536289202,1,0
1536418802,1,0
1536440402,1,0
1536462002,1,0
1536526802,1,0
1536548402,1,0
1536570002,1,0
1536699602,2,0
1536721202,7,0
1536764402,1,0
1536807602,1,0
1536829202,2,0
1536850802,2,0
1536915602,1,0
1536937202,2,0
1536958802,2,0
1536980402,2,0
1537023602,11,0
1537088402,1,0
1537110002,1,0
1537131602,3,0
1537153202,2,0
1537174802,1,0
1537218002,1,0
1537239602,1,0
1537261202,2,0
1537282802,1,0
1537304402,1,0
1537326002,2,0
1537347602,2,0
1537369202,1,0
1537412402,1,0
1537455602,1,0
1537520402,1,0
1537585202,2,0
1537650002,1,0
1537671602,1,0
1537714802,4,0
1537758002,4,0
1537801202,1,0
1537822802,1,0
1537844402,1,0
1537887602,2,0
1537930802,2,0
1537974002,1,0
1538017202,1,0
1538060403,3,0
1538103602,3,0
1538190002,3,0
1538233202,3,0
1538319602,1,0
1538406002,4,0
1538427602,1,0
1538449202,3,0
1538470802,1,0
1538535602,2,0
1538557202,1,0
1538578802,3,0
1538600402,1,0
1538622002,1,0
1539702002,1,0
1539723602,1,0
1539745202,2,0
1539766802,1,0
1539853203,2,0
1539874802,1,0
1539918002,1,0
1539939603,1,0
1540004402,2,0
1540047602,1,0
1540069202,2,0
1540090802,3,0
1540112402,3,0
1540155602,3,0
1540220402,1,0
1540263602,1,0
1540393203,2,0
1540436402,1,0
1540458002,1,0
1540522803,3,0
1540544402,1,0
1540587603,1,0
1540652402,2,0
1540674002,1,0
1540699202,3,0
1540828802,3,0
1540850402,1,0
1540872002,1,0
1540893602,2,0
1540915202,6,0
1540936802,1,0
1540958402,1,0
1541001603,1,0
1541023203,1,0
1541044802,2,0
1541066403,2,0
1541088002,1,0
1541109602,1,0
1541131203,2,0
1541174403,1,0
1541196002,2,0
1541217603,1,0
1541239202,2,0
1541304002,1,0
1541368802,1,0
1541412002,2,0
1541433602,1,0
1541476802,2,0
1541498402,1,0
1541628002,2,0
1541671202,1,0
1541692802,1,0
1541714402,2,0
1541822402,4,0
1541844002,1,0
1541865602,1,0
1541887202,1,0
1541930402,1,0
1541952002,2,0
1541973602,1,0
1541995202,1,0
1542081602,3,0
1542146402,2,0
1542189602,1,0
1542211202,2,0
1542232802,1,0
1542297602,1,0
1542319202,3,0
1542340802,2,0
1542427202,5,0
1542492002,1,0
1542513602,3,0
1542535202,1,0
1542578402,1,0
1542600002,2,0
1542664802,1,0
1542686402,1,0
1542708002,2,0
