DateTime,AddedIPs,RemovedIPs
1552713634,22,17
1552715527,25,9
1552717456,24,19
1552719387,30,24
1552721312,21,13
1552723216,34,32
1552725136,29,25
1552727321,25,27
1552729211,27,21
1552731131,18,34
1552733072,18,24
1552735214,24,1555
1552737138,38,44
1552739055,576,0
1552740969,58,21
1552742906,30,18
1552744811,41,21
1552746732,48,17
1552748925,39,20
1552750810,44,15
1552752732,46,17
1552754670,36,11
1552756578,36,15
1552758491,34,24
1552760430,52,16
1552762330,29,22
1552764254,43,25
1552766188,30,34
1552768090,29,28
1552770024,26,24
1552771953,27,18
1552773857,36,32
1552775769,36,37
1552777845,41,36
1552779650,33,37
1552781563,461,0
1552783478,27,11
1552785373,28,14
1552787296,10,13
1552789229,23,19
1552791136,19,13
1552793054,21,15
1552794995,17,10
1552796892,16,16
1552798867,22,8
1552800758,15,17
1552802927,19,23
1552804814,26,9
1552806735,14,27
1552808652,24,22
1552810593,32,30
1552812491,21,24
1552814411,14,21
1552816357,14,30
1552818275,18,26
1552820166,27,38
1552822087,19,1300
1552824034,532,0
1552825930,34,23
1552828117,56,26
1552830009,38,18
1552831928,28,21
1552833869,34,20
1552835767,32,22
1552837692,16,12
1552839630,30,22
1552841526,22,22
1552843450,27,18
1552845384,44,27
1552847286,28,21
1552849225,24,36
1552851147,20,27
1552853049,21,24
1552854964,21,29
1552856922,25,24
1552858809,27,27
1552860728,28,19
1552862665,17,17
1552864568,18,30
1552866652,14,42
1552868659,497,0
1552870567,14,28
1552872507,25,13
1552874422,26,22
1552876329,21,18
1552878271,15,17
1552880169,25,15
1552882127,19,15
1552884010,18,24
1552885936,10,19
1552887872,19,23
1552889805,18,19
1552891694,30,24
1552893638,27,33
1552895548,24,23
1552897457,23,27
1552899391,22,28
1552901558,15,23
1552903461,24,24
1552905372,24,20
1552907321,25,1374
1552909211,29,14
1552911382,511,0
1552913292,41,28
1552915210,41,20
1552917145,31,12
1552919073,26,20
1552921043,35,20
1552922886,41,21
1552924836,38,22
1552926727,26,14
1552928918,30,22
1552930810,29,20
1552932731,29,19
1552934674,24,26
1552936569,42,15
1552938490,35,27
1552940424,33,22
1552942873,119,23
1552945002,68,17
1552946918,73,22
1552948809,50,26
1552950733,47,13
1552952674,50,12
1552954836,407,0
1552956731,29,17
1552958677,21,15
1552960590,28,12
1552962494,36,14
1552964423,40,12
1552966363,24,19
1552968282,18,15
1552970173,28,13
1552972127,20,19
1552974012,30,13
1552975939,27,13
1552977855,26,22
1552979793,27,13
1552981958,29,24
1552983857,46,18
1552985791,21,24
