DateTime,Entries,UniqueIPs
1552713634,2946,2946
1552715527,2962,2962
1552717456,2967,2967
1552719387,2973,2973
1552721312,2981,2981
1552723216,2983,2983
1552725136,2987,2987
1552727321,2985,2985
1552729211,2991,2991
1552731131,2975,2975
1552733072,2969,2969
1552735214,1438,1438
1552737138,1432,1432
1552739055,2008,2008
1552740969,2045,2045
1552742906,2057,2057
1552744811,2077,2077
1552746732,2108,2108
1552748925,2127,2127
1552750810,2156,2156
1552752732,2185,2185
1552754670,2210,2210
1552756578,2231,2231
1552758491,2241,2241
1552760430,2277,2277
1552762330,2284,2284
1552764254,2302,2302
1552766188,2298,2298
1552768090,2299,2299
1552770024,2301,2301
1552771953,2310,2310
1552773857,2314,2314
1552775769,2313,2313
1552777845,2318,2318
1552779650,2314,2314
1552781563,2775,2775
1552783478,2791,2791
1552785373,2805,2805
1552787296,2802,2802
1552789229,2806,2806
1552791136,2812,2812
1552793054,2818,2818
1552794995,2825,2825
1552796892,2825,2825
1552798867,2839,2839
1552800758,2837,2837
1552802927,2833,2833
1552804814,2850,2850
1552806735,2837,2837
1552808652,2839,2839
1552810593,2841,2841
1552812491,2838,2838
1552814411,2831,2831
1552816357,2815,2815
1552818275,2807,2807
1552820166,2796,2796
1552822087,1515,1515
1552824034,2047,2047
1552825930,2058,2058
1552828117,2088,2088
1552830009,2108,2108
1552831928,2115,2115
1552833869,2129,2129
1552835767,2139,2139
1552837692,2143,2143
1552839630,2151,2151
1552841526,2151,2151
1552843450,2160,2160
1552845384,2177,2177
1552847286,2184,2184
1552849225,2172,2172
1552851147,2165,2165
1552853049,2162,2162
1552854964,2154,2154
1552856922,2155,2155
1552858809,2155,2155
1552860728,2164,2164
1552862665,2164,2164
1552864568,2152,2152
1552866652,2124,2124
1552868659,2621,2621
1552870567,2607,2607
1552872507,2619,2619
1552874422,2623,2623
1552876329,2626,2626
1552878271,2624,2624
1552880169,2634,2634
1552882127,2638,2638
1552884010,2632,2632
1552885936,2623,2623
1552887872,2619,2619
1552889805,2618,2618
1552891694,2624,2624
1552893638,2618,2618
1552895548,2619,2619
1552897457,2615,2615
1552899391,2609,2609
1552901558,2601,2601
1552903461,2601,2601
1552905372,2605,2605
1552907321,1256,1256
1552909211,1271,1271
1552911382,1782,1782
1552913292,1795,1795
1552915210,1816,1816
1552917145,1835,1835
1552919073,1841,1841
1552921043,1856,1856
1552922886,1876,1876
1552924836,1892,1892
1552926727,1904,1904
1552928918,1912,1912
1552930810,1921,1921
1552932731,1931,1931
1552934674,1929,1929
1552936569,1956,1956
1552938490,1964,1964
1552940424,1975,1975
1552942873,2071,2071
1552945002,2122,2122
1552946918,2173,2173
1552948809,2197,2197
1552950733,2231,2231
1552952674,2269,2269
1552954836,2676,2676
1552956731,2688,2688
1552958677,2694,2694
1552960590,2710,2710
1552962494,2732,2732
1552964423,2760,2760
1552966363,2765,2765
1552968282,2768,2768
1552970173,2783,2783
1552972127,2784,2784
1552974012,2801,2801
1552975939,2815,2815
