DateTime,AddedIPs,RemovedIPs
1546293609,1,2
1546308261,4,3
1546323152,2,4
1546338013,3,2
1546352669,5,6
1546367290,1,8
1546381955,2,2
1546396568,2,6
1546411207,51,2
1546425847,2,5
1546440507,4,5
1546455151,31,2
1546469771,36,1
1546484417,31,1
1546499048,22,3
1546513949,42,4
1546528809,12,1
1546543467,23,1
1546558355,4,0
1546572965,7,1
1546602250,7,2
1546616888,7,0
1546631533,4,6
1546646192,8,0
1546660816,1,2
1546675716,1,1
1546690326,2,2
1546704994,4,0
1546719610,9,2
1546734247,7,0
1546749166,9,3
1546763788,5,2
1546778410,10,0
1546793051,8,1
1546807689,17,2
1546822839,30,0
1546837475,16,2
1546852109,11,1
1546866995,19,2
1546881634,20,2
1546896275,18,1
1546911155,26,0
1546926031,23,2
1546940673,21,0
1546955554,20,2
1546970188,32,2
1546984809,24,0
1546999471,28,2
1547014111,18,1
1547028727,21,3
1547043368,26,3
1547058258,14,1
1547073155,21,2
1547088032,24,0
1547102670,18,3
1547117537,15,4
1547132173,17,0
1547146819,10,0
1547161715,16,3
1547176334,13,1
1547190996,26,1
1547205729,21,0
1547220270,14,0
1547235140,80,1
1547250275,10,0
1547265133,13,4
1547280166,22,0
1547295144,19,2
1547309812,5,2
1547324411,24,1
1547339049,25,2
1547353935,18,0
1547368569,22,1
1547383226,19,2
1547397873,43,4
1547412492,20,0
1547427134,27,3
1547442018,19,1
1547456652,13,1
1547471534,27,1
1547486165,21,0
1547500809,12,1
1547515475,26,3
1547530357,32,2
1547544988,20,1
1547559632,18,0
1547574250,17,1
1547588913,19,2
1547603529,20,0
1547618166,24,1
1547632821,20,0
1547647474,2,0
1547662090,5,1
1547676755,6,1
1547691389,1,1
1547706035,5,1
1547720647,1,1
1547735554,3,2
1547750185,2,3
1547764834,2,1
1547779447,11,0
1547794351,2,1
1547808968,4,1
1547823618,3,2
1547838247,5,1
1547853139,2,0
1547868036,3,3
1547882697,5,1
1547897296,5,0
1547911927,3,0
1547926569,3,4
1547941208,1,2
1547955852,2,2
1547970490,3,2
1547985153,4,2
1547999788,4,4
1548014441,7,1
1548029313,6,1
1548043926,2,0
1548058591,5,3
1548073217,1,3
1548088093,1,1
1548102728,7,1
1548117634,1,1
1548146891,4,0
1548161530,7,2
1548176193,5,0
1548190815,14,1
1548205455,31,0
1548220332,24,1
1548234975,67,0
1548249607,12,1
1548264512,20,3
1548279129,22,0
1548293785,26,2
1548308410,26,1
1548323069,31,2
1548337707,30,1
1548352353,19,2
1548367233,30,0
1548382093,26,0
1548396728,30,0
1548411609,23,1
1548426274,23,2
1548441156,24,1
1548455793,25,2
1548470427,19,2
1548485051,27,1
1548499956,15,4
1548514594,4,2
1548529236,6,1
1548544113,6,0
1548558997,4,1
1548573871,3,1
1548603387,4,4
1548618008,0,2
1548632652,3,0
1548647309,2,1
1548662192,5,1
1548676834,0,1
1548691474,2,0
1548706105,1,3
1548720757,4,2
1548735390,3,0
1548750030,2,1
1548764696,5,2
1548779312,0,1
1548793931,3,2
1548808832,3,1
1548823469,4,2
1548838090,3,0
1548852731,1,0
1548867367,5,0
1548882274,5,2
1548897164,2,1
1548912033,2,1
1548926652,3,2
1548941293,6,6
1548955939,4,0
1548970589,2,1
1548985206,4,1
1548999897,1,3
1549014491,3,2
1549029176,7,0
1549043790,2,1
1549058416,3,3
1549073068,3,1
1549087936,2,2
1549102567,0,3
1549117207,1,3
1549131849,4,3
1549146510,2,2
1549161127,3,3
1549175774,4,3
1549190430,1,4
1549205055,4,2
1549219688,1,5
1549234349,5,4
1549248966,1,0
1549263637,4,3
1549278247,3,6
1549293150,3,3
1549308995,4,0
1549323622,2,3
1549338250,3,2
1549352911,2,1
1549367529,2,0
1549382170,8,3
1549396811,5,1
1549411453,3,3
1549426353,6,1
1549441210,6,0
1549455849,4,4
1549470511,1,0
1549485149,1,4
1549499795,8,2
1549514412,3,2
1549529072,2,2
1549543685,5,1
1549558349,7,3
1549573235,2,0
1549587847,1,2
1549602488,4,1
1549617134,4,1
1549631789,3,1
1549646430,6,2
1549661050,3,1
1549675697,8,0
1549690328,5,0
1549704964,1,0
1549719609,1,8
1549734256,4,3
1549748894,2,6
1549763790,7,1
1549778416,2,1
1549793072,5,1
1549807710,0,2
1549822334,3,2
1549836966,0,24644
1549851608,24651,4
1549866268,2,0
1549880909,2,4
1549895533,6,4
1549910186,4,3
1549924807,4,2
1549939470,2,4
1549954329,3,2
1549968967,2,3
1549983738,2,7
1549998513,3,5
1550013126,2,2
1550027794,4,4
1550042406,3,0
1550057073,2,2
1550071694,5,1
1550086348,4,0
1550100970,3,1
1550115609,3,2
1550130248,1,0
1550144888,1,1
1550159528,4,1
1550174188,3,3
1550188838,7,2
1550203472,2,2
1550218351,1,0
1550232991,4,1
1550247606,6,0
1550262248,4,1
1550277154,3,3
1550291773,1,1
1550306411,6,2
1550321048,3,6
1550335691,4,5
1550350355,3,1
1550364985,3,2
1550379613,3,2
1550394248,1,3
1550408894,5,2
1550423528,2,6
1550438190,4,0
1550452833,0,4
1550467448,5,3
1550482087,1,4
1550496753,2,3
1550511365,1,1
1550526008,4,0
1550540650,2,1
1550555289,5,4
1550569927,3,1
1550584569,0,4
1550599233,3,2
1550613854,2,3
1550628753,0,4
1550643375,3,2
1550658026,6,3
1550672651,3,2
1550687289,1,0
1550701941,2,0
1550716587,1,2
1550731206,1,2
1550745850,2,1
1550760486,1,3
1550775154,5,3
1550789765,3,1
1550804410,12,0
1550819048,12,0
1550833716,13,0
1550848328,6,0
1550862985,7,2
1550877612,39,0
1550892274,24,1
1550907154,23,0
1550921786,8,3
1550936406,14,2
1550951068,25,4
1550965687,13,0
1550980351,10,2
1550994990,5,3
1551009614,5,0
1551024269,6,1
1551038914,6,2
1551053533,11,2
1551068174,6,2
1551082828,5,2
1551097470,6,5
1551112086,8,1
1551126750,17,0
1551141365,15,3
1551156007,10,2
1551170651,5,3
1551185289,6,0
1551199956,2,1
1551214570,3,2
1551229207,7,1
1551243854,11,1
1551258752,7,1
1551273365,6,2
1551288008,7,1
1551302670,11,1
1551317284,13,0
1551331955,9,1
1551346575,7,1
1551361206,11,1
1551375849,5,0
1551390489,6,1
1551405133,9,0
1551419766,2,0
1551434413,4,0
1551449049,6,5
1551464553,5,0
1551479290,6,0
1551494178,3,2
1551508805,2,2
1551523451,8,1
1551538088,8,2
1551552747,5,0
1551567368,10,0
1551582007,6,1
1551596914,10,0
1551611531,4,0
1551626168,8,0
1551640811,6,1
1551655451,1,1
1551670108,5,3
1551684756,3,1
1551699365,5,0
1551714005,4,1
1551728648,2,3
1551743287,1,0
1551757930,6,0
1551772569,4,2
1551787209,3,0
1551801852,9,0
1551816505,10,0
1551831132,5,0
1551845768,7,1
1551860424,5,0
1551875048,3,2
1551889709,3,1
1551904463,7,1
1551918985,5,2
1551933628,4,1
1551948275,3,1
1551963150,3,1
1551977785,6,4
1551992428,2,1
1552007074,5,1
1552021709,5,1
1552036329,3,0
1552050986,5,2
1552065611,3,0
1552080250,5,1
1552094893,5,0
1552109527,1,2
1552124169,2,1
1552138805,3,1
1552153469,2,2
1552168092,7,2
1552182745,5,2
1552197368,2,0
1552212009,3,0
1552226914,4,0
1552241530,3,1
1552256191,2,0
1552270819,6,2
1552285450,4,1
1552300085,5,0
1552314752,1,1
1552329371,4,0
1552344031,2,2
1552358651,4,1
1552373292,2,2
1552387927,5,3
1552402588,4,1
1552417215,3,1
1552431847,5,4
1552446506,3,2
1552461130,5,16
1552475765,7,12
1552490429,1,10
1552505291,2,1
1552519948,3,0
1552534567,4,0
1552549225,6,7
1552563869,7,6
1552578491,6,2
1552593392,2,2
1552608030,3,1
1552622650,2,3
1552637311,3,0
1552651930,2,2
1552666564,3,0
1552681227,4,0
1552695849,1,1
1552710511,1,1
1552725133,3,2
1552739767,2,2
1552754416,3,1
1552769073,1,2
1552783685,2,2
1552812965,1,1
1552827644,8,0
1552842260,2,0
1552856914,3,2
1552871529,3,0
1552886165,1,1
1552900825,2,3
1552915467,4,8
1552930087,7,5
1552944995,9,2
1552959613,10,4
1552974268,1,2
1552988888,5,0
1553003793,4,2
1553018435,3,12
1553033050,4,17
1553047714,6,4
1553062330,2,3
1553076987,5,6
1553091605,4,7
1553106251,6,5
1553120885,4,5
1553135551,3,2
1553150166,3,4
1553164811,1,4
1553179454,1,3
1553194353,2,2
1553208968,4,1
1553223621,7,2
1553238518,6,0
1553253129,5,1
1553267768,3,0
1553282409,2,0
1553297054,3,0
1553311706,4,2
1553326340,2,0
1553340966,4,1
1553355629,3,0
1553370268,0,2
1553384887,4,0
1553399552,1,0
1553414175,1,4
1553428843,2,3
1553443714,1,2
1553458572,3,5
1553473228,1,2
1553487847,5,1
1553502514,3,2
1553517132,3,4
1553531769,6,4
1553547157,8,4
1553561768,9,3
1553576423,4,0
1553591297,7,0
1553606192,4,4
1553620833,8,7
1553635692,6,3
1553650327,7,2
1553664965,7,2
1553679609,7,1
