DateTime,AddedIPs,RemovedIPs
1509512586,375,83
1509599066,83,4223
1509685506,4223,4621
1509771963,4621,4761
1509858435,4761,287
1509944885,287,4676
1510031346,4676,1575
1510117807,1575,147
1510204265,147,2416
1510290725,2416,409
1510377184,409,4731
1510463648,4731,160
1510550101,160,2474
1510636503,2474,4452
1510722965,4452,4189
1510809425,4189,614
1510895885,614,677
1510982345,677,287
1511068805,287,591
1511155263,590,66054
1511241725,66055,1366
1511328185,1366,9234
1511414646,9234,326
1511501106,326,2693
1511587567,2693,502
1511674025,502,1069
1511760485,1069,4329
1511846946,4329,26956
1511933402,26956,40
1512019866,40,192
1512106382,192,12
1512192845,12,1616
1512279304,1616,1061
1512365766,1061,338
1512452226,338,282
1512538682,282,15469
1512625146,15469,719
1512711661,719,2095
1512798126,2095,4205
1512884587,4205,271
1512971045,271,301
1513057502,301,3097
1513143965,3097,827
1513230426,827,2704
1513316941,2704,620
1513403405,620,1841
1513489922,1841,274
1513576385,274,20405
1513662845,20405,1108
1513749305,1108,1897
1513835766,1641,1364
1513922282,1620,17472
1514008745,17472,1607
1514095201,1606,488
1514181663,489,80
1514268124,80,2142
1514354641,2142,4179
1514441112,4179,14
1514527571,14,21024
1514614024,21024,33
1514700487,33,360
1514786945,360,3153
1514873410,3153,420
1514959872,420,268
1515046382,268,1288
1515132852,1288,1434
1515219302,1434,8809
1515305771,8809,650
1515392228,649,309
1515478691,310,754
1515565151,754,1128
1515651605,1128,1178
1515738067,1178,369
1515824533,369,584
1515910986,584,4733
1515997502,4733,601
1516083964,601,66460
1516170430,66460,1314
1516256892,1314,72
1516343351,72,279
1516429804,279,934
1516516271,933,13835
1516602732,13836,4674
1516689191,4674,2318
1516775653,2318,1404
1516862111,1404,3337
1516948572,3337,558
1517035023,558,81
1517121494,81,24
1517207944,24,3022
1517294411,3022,214
1517380862,214,398
1517467333,398,200
1517553788,200,348
1517640252,348,530
1517726702,530,9269
1517813164,9269,66098
1517899634,66098,5135
1517986082,5135,521
1518072553,521,545
1518159014,545,143
1518245471,143,526
1518331931,526,66063
1518418441,66063,280
1518504912,280,65576
1518591371,65576,9535
1518677832,9535,359
1518764292,359,5262
1518850742,5262,7267
1518937202,7267,2388
1519023665,2388,726
1519110134,726,853
1519196584,853,271
1519283051,271,27062
1519369505,27062,1171
1519455979,1171,9630
1519542481,9630,4908
1519628945,4908,364
1519715411,364,1297
1519801884,1297,9501
1519888338,9501,419
1519974856,419,1649
1520061303,1649,4139
1520147810,4139,282
1520234282,282,894
1520320784,894,837
1520407206,837,671
1520493667,671,445
1520580135,445,65
1520666589,65,1034
1520753161,1034,16468
1520839623,16468,12615
1520926092,12615,347
1521012546,347,1311
1521099062,1311,2384
1521185529,2384,446
1521271985,446,656
1521358446,656,407
1521444907,407,571
1521531421,571,114
1521617941,114,248
1521704345,248,189
1521790806,189,596
1521877267,596,214
1521963725,214,4188
1522050183,4188,11
1522136648,11,558
1522223103,558,1934
1522482484,1934,2354
1522568945,2354,33187
1522655406,33187,327
1522741866,327,4676
1522828324,4676,480
1522914785,480,121
1523001246,121,486
1523087707,486,20
1523174165,20,1483
1523260630,1483,398
1523347086,398,284
1523433546,284,9746
1523520002,9746,2361
1523692942,2361,324
1523779384,324,1867
1523865901,1867,783
1523952362,783,917
1524038824,917,166
1524125292,522,83
1524211762,83,4376
1524298213,4376,207
1524384676,207,861
1524471250,861,8871
1524557702,8871,2066
1524644222,2066,53
1524730688,53,1193
1524817170,1193,287
1524903606,286,2232
1524990068,2233,27065
1525076542,27064,322
1525162987,323,3214
1525249566,3214,16465
1525336144,16465,578
1525422602,578,541
1525509125,541,275
1525595642,275,283
1525682103,283,3531
1525855045,3531,578
1525941497,578,948
1526028005,948,5138
1526114471,5138,684
1526200945,684,1325
1526287387,1325,80
1526373842,80,778
1526460303,778,2627
1526546769,2627,190
1526633262,189,862
1526719688,863,843
1526806343,843,6746
1526892894,6746,424
1526979311,424,1334
1527065822,1334,1170
1527152356,1170,15370
1527238802,15370,82
1527325263,82,1127
1527411733,1127,682
1527498187,682,2574
1527584654,2574,3624
1527671130,3624,2577
1527757581,2577,1629
1527844032,1629,66822
1527930837,0,7428
1528016973,74249,21
1528103407,22,1063
1528189863,1063,560
1528276334,560,475
1528362816,475,1300
1528449262,1299,1347
1528535702,1348,410
1528622201,410,366
1528708631,366,45
1528795104,45,4485
1528881587,4485,358
1528968006,358,1300
1529054512,1300,795
1529140927,795,580
1529227386,580,9541
1529313857,9541,16649
1529400304,16649,2501
1529486821,2501,2558
1529573285,2558,209
1529659746,209,283
1529746202,283,84
1529832669,84,6924
1529919183,6924,1324
1530005649,1324,3304
1530092115,3304,1588
1530265039,1588,778
1530351502,778,322
1530437963,322,354
1530524423,354,2370
1530610869,2370,8914
1530697341,8913,190
1530783790,191,4447
1530870244,4447,303
1530956704,303,106
1531043176,106,65859
1531129661,65859,34173
1531216118,34173,9208
1531302601,9208,433
1531389014,433,525
1531475479,525,357
1531561951,357,5242
1531648431,5242,1050
1531734890,1050,526
1531821310,526,78
1531907785,78,933
1531994268,933,2848
1532080741,2848,1440
1532167202,1440,562
1532253662,561,4958
1532426642,4959,4386
1532513103,4386,633
1532599612,633,525
1532686117,525,26
1532772572,26,4600
1532859014,4599,365
1532945467,366,764
1533031981,764,4108
1533118502,4108,328
1533204968,328,581
1533291424,581,574
1533378000,574,395
1533464407,395,1124
1533550868,1124,4734
1533637374,4734,65904
1533723786,65904,685
1533810248,685,2348
1533896707,2348,2364
1533983257,2364,880
1534069761,880,2193
1534329238,2193,6506
1534415670,6506,51
1534502173,51,5265
1534588675,5265,292
1534675180,292,393
1534761603,393,161
1534848069,161,4313
1534934528,4313,247
1535020986,247,16930
1535107479,16930,4723
1535193906,4723,8743
1535453433,8743,199
1535539873,199,20860
1535626442,645,429
1535712908,20644,1707
1535799422,1707,376
1535885950,376,1292
1535972402,1292,329
1536058873,329,21
1536145341,21,2351
1536231827,2351,290
1536318247,290,4528
1536404740,4528,56
1536491229,56,735
1536577720,735,482
1536664162,482,200
1536750606,200,347
1536837073,347,925
1536923525,925,4159
1537009986,4159,81
1537096454,81,154
1537182904,154,18
1537269482,18,9623
1537356006,9623,66648
1537442484,66648,368
1537528971,368,653
1537615432,653,341
1537701845,341,118
1537788309,118,529
1537874837,529,282
1537961341,282,1394
1538047803,1394,50
1538134283,50,537
1538220851,537,276
1538307470,276,1840
1538393932,1840,801
1538480399,801,89
1538566804,89,475
1538653272,467,2149
1538739759,2157,342
1538826228,86,20234
1538912645,20490,304
1538999102,304,2771
1539085581,2771,395
1539172193,395,1039
1539258674,1039,446
1539345168,382,557
1539431710,621,65830
1539518199,65830,2142
1539604739,2142,322
1539691152,314,2338
1539777602,2346,899
1539864063,899,602
1539950523,602,610
1540036986,354,144
1540123443,400,4426
1540209908,4426,1127
1540296368,1127,703
1540382828,703,1363
1540469289,1363,1297
1540555748,1297,335
1540642207,335,1650
1540728674,1650,278
1540815133,278,4546
1540901701,4546,1424
1540988176,1424,416
1541074624,416,365
1541161134,365,1003
1541247565,1003,342
1541334006,342,602
1541420479,602,17137
1541507024,17137,281
1541593470,281,1406
1541679909,1406,28
1541766363,28,568
1541852880,568,536
1541939350,536,181
1542025802,181,4423
1542112322,4423,1068
1542198841,1068,304
1542285337,304,824
1542371798,824,529
1542458480,529,411
1542545024,411,30
1542631501,30,713
1542717968,713,2640
1542804439,2640,827
1542890891,827,319
1542977446,319,2370
1543063879,2370,466
1543150345,466,282
1543236850,282,4668
1543323309,4668,68050
1543409781,68050,161
1543496243,161,576
1543582743,576,160
1543669262,160,6574
1543755722,6574,705
1543842184,705,687
1543928648,687,16415
1544015107,16415,297
1544101568,297,1423
1544188027,1423,1370
1544274541,1114,2643
1544361008,2899,2356
1544447468,2356,2226
1544533929,2226,1207
1544620389,1207,31
1544706847,31,557
1544793302,557,590
1544879824,590,4705
1544966406,4705,360
1545052880,360,2090
1545139411,2090,370
1545225843,370,536
1545312504,536,1910
1545399002,1910,1191
1545485477,1191,949
1545571955,949,640
1545658387,640,1371
1545744869,1371,281
1545831313,281,1361
1545917786,1361,1970
1546004406,1970,12
1546177334,12,804
1546263894,804,792
1546350307,792,373
1546436773,373,411
1546553703,411,509
1546640166,509,382
1546726694,382,9564
1546813161,9564,2025
1546899644,2025,1821
1546986065,1821,3368
1547072531,3368,8493
1547158985,8493,641
1547245461,641,1487
1547331937,1486,2361
1547418411,2362,1351
1547504970,1351,562
1547591402,562,17605
1547677867,17605,403
1547764340,403,1770
1547850787,1770,308
1547937244,308,141
1548023706,141,65673
1548110261,65673,304
1548196693,304,128
1548283202,128,9184
1548369681,9184,2755
1548456122,2755,363
1548542589,363,601
1548629101,601,869
1548715574,869,397
1548802044,397,118
1548888593,118,876
1548975008,876,2671
1549061480,2671,427
1549147967,427,1794
1549234418,1793,6432
1549320867,6433,444
1549407312,444,66064
1549493819,66064,566
1549580230,566,1305
1549666710,1305,164
1549753145,164,28288
1549839602,28288,83
1549926062,83,362
1550012523,362,579
1550098988,579,532
1550185449,532,294
1550271903,294,4718
1550358373,4718,890
1550444882,890,376
1550531372,376,639
1550617804,639,601
1550704273,601,82
1550790781,17,616
1550877306,681,148
1550963824,148,6177
1551050321,6177,827
1551136759,827,208
1551223207,208,313
1551309664,313,2740
1551396131,2740,1138
1551482659,1138,71981
1551569117,71981,344
1551655645,344,350
1551742200,350,470
1551828674,470,2195
1551915132,2195,1417
1552001589,1417,426
1552088101,426,8715
1552174693,8715,615
1552261207,615,3158
1552347674,3158,4159
1552434242,4159,1380
1552520703,1380,322
1552607194,322,178
1552693730,178,1050
1552780210,1050,1104
1552866681,1100,4123
1552953124,4127,544
1553039708,543,2722
1553126166,2723,17448
1553212681,17448,31
1553299152,31,625
1553385603,625,15415
1553472063,15415,10510
1553558525,10510,640
1553644985,640,292
