DateTime,AddedIPs,RemovedIPs
1509537691,1956,204
1509624096,204,9714
1509710557,9714,35306
1509796936,35306,66112
1509883337,66112,818
1509969688,818,1763
1510056093,1763,80
1510142487,80,386
1510228893,386,600
1510315277,600,65955
1510401678,65955,398
1510488096,398,2188
1510574475,2188,585
1510660884,585,110
1510747282,110,2201
1510833691,2201,337
1510920077,337,1248
1511006555,1248,66137
1511092937,66137,65746
1511179278,65746,33216
1511265693,33216,3601
1511352089,3601,180
1511438486,180,21622
1511524883,21622,186
1511611283,186,4449
1511697677,4449,465
1511784081,465,803
1511870474,803,385
1511956890,385,761
1512043281,761,1172
1512129681,1173,2681
1512216086,2681,704
1512302476,703,1003
1512388898,1003,218
1512475344,218,1232
1512561737,1232,197122
1512648092,197122,865
1512734474,865,458
1512820877,458,168
1512907338,168,2057
1512993737,2057,65692
1513080106,65692,592
1513166477,592,75
1513252937,75,905
1513339266,905,34221
1513425674,34221,130
1513555337,130,576
1513598474,576,977
1513684875,977,1618
1513771263,1618,66035
1513857731,66035,75097
1513944133,75097,632
1514030474,632,8555
1514116876,8555,66233
1514203337,66233,657
1514289677,657,524
1514376082,524,362
1514462477,362,3197
1514548891,3197,132
1514635291,132,20627
1514721677,20627,898
1514808157,898,67121
1514894494,67121,730
1514980962,730,66543
1515067283,66543,1026
1515153691,1026,11673
1515240084,11673,8627
1515326547,8627,129
1515412885,129,644
1515499284,644,66373
1515585682,66373,137
1515672093,137,1394
1515780077,1394,114
1515823274,114,1393
1515911228,1393,1765
1515997613,1765,66253
1516082473,66253,233
1516168903,233,290
1516255272,294,509
1516341677,509,932
1516428093,928,9280
1516514479,9280,848
1516600869,848,419
1516766538,419,768
1516853000,768,1299
1516939461,1299,10482
1517025919,10482,188
1517112378,188,778
1517198838,778,1329
1517285299,1329,641
1517371762,641,321
1517458219,321,1193
1517544695,1193,582
1517631141,582,881
1517717607,881,346
1517804060,346,386
1517890517,386,1705
1517976978,1705,65843
1518063437,65843,388
1518149901,388,144
1518236357,144,2754
1518322817,2754,643
1518409279,643,9033
1518495744,9033,299
1518582197,299,5053
1518668657,5053,146
1518755117,146,443
1518841587,443,809
1518928036,809,3459
1519014504,3459,441
1519100967,441,961
1519187419,961,67
1519273937,67,1226
1519360409,1226,66888
1519446862,66888,594
1519533321,594,632
1519619787,632,5538
1519706237,5538,66048
1519792704,66048,713
1519879169,713,1025
1519965625,1025,672
1520052088,672,154
1520138547,154,858
1520224998,858,4505
1520311457,4505,3965
1520397918,3965,433
1520484387,433,322
1520570846,322,1002
1520657356,1002,633
1520743818,633,196725
1520830277,196725,1423
1520916738,1423,4200
1521003198,4200,456
1521089657,456,792
1521176127,792,682
1521262637,682,1328
1521349107,1328,645
1521435563,645,98392
1521522039,98392,1744
1521608486,1744,1185
1521694940,1185,2754
1521781399,2754,1658
1521867858,1658,737
1521954323,737,704
1522040780,704,616
1522127252,616,1360
1522213698,1360,504
1522300216,504,50315
1522473139,50315,2600
1522559599,2600,131736
1522646062,131736,505
1522732585,505,468
1522819037,468,1816
