DateTime,AddedIPs,RemovedIPs
1508895303,447,541
1508981764,486,472
1509068233,474,477
1509154690,439,372
1509241202,450,487
1509327672,443,420
1509414129,426,456
1509500586,473,514
1509587042,569,503
1509673503,506,418
1509759963,448,471
1509846432,458,391
1509932885,420,480
1510019368,416,404
1510105806,448,442
1510192264,410,407
1510278733,436,462
1510365185,387,399
1510451646,461,424
1510538108,410,472
1510624564,416,430
1510711022,413,376
1510797483,411,474
1510883945,406,407
1510970405,474,450
1511056864,410,394
1511143325,403,432
1511229782,400,383
1511316243,433,436
1511402711,476,425
1511489165,443,458
1511575624,362,421
1511662087,385,398
1511748545,446,436
1511835006,415,397
1511921465,458,456
1512007922,435,419
1512094387,445,464
1512180843,553,445
1512267303,510,498
1512353822,442,423
1512440288,458,459
1512526750,445,427
1512613206,456,458
1512699668,448,483
1512786123,466,426
1512872586,455,501
1512959043,407,408
1513045504,450,453
1513131963,445,501
1513218427,478,480
1513304883,418,498
1513391343,496,535
1513477802,472,547
1513564262,470,490
1513650722,468,491
1513737185,470,511
1513823650,464,468
1513910112,495,479
1513996566,503,532
1514083024,501,447
1514169542,470,482
1514256013,430,474
1514342473,414,440
1514428924,428,490
1514515397,475,447
1514601854,449,475
1514688305,436,493
1514774780,462,453
1514861226,596,480
1514947742,479,415
1515034203,436,525
1515120663,516,458
1515207142,506,542
1515293624,537,556
1515380048,475,476
1515466504,489,532
1515552963,540,541
1515639450,494,479
1515725893,541,511
1515812347,468,497
1515898804,466,485
1515985263,451,509
1516071722,463,455
1516158189,504,540
1516244650,486,482
1516331103,535,514
1516417572,457,474
1516504031,492,486
1516590506,460,488
1516676948,429,461
1516763405,441,467
1516849864,477,440
1516936331,498,483
1517022786,478,457
1517109301,425,436
1517195705,400,417
1517282166,456,489
1517368624,484,456
1517455087,443,496
1517541551,603,466
1517628006,531,456
1517714466,453,503
1517800925,504,420
1517887414,452,485
1517973867,454,411
1518060304,432,434
1518146776,443,470
1518233223,454,453
1518319684,444,492
1518406150,439,480
1518492602,397,417
1518579067,437,480
1518665527,438,455
1518751999,409,431
1518838446,400,373
1518924908,429,472
1519011391,439,400
1519097831,380,375
1519184300,432,479
1519270753,426,379
1519357262,427,444
1519443732,401,404
1519530185,412,430
1519616643,415,400
1519703103,415,450
1519789574,436,443
1519876047,414,514
1519962493,573,477
1520048964,578,446
1520135406,424,454
1520221869,479,468
1520308330,446,469
1520394787,489,492
1520481252,452,383
1520567705,411,426
1520654177,430,418
1520740633,397,375
1520827096,389,340
1520913545,413,436
1521000003,370,369
1521086522,413,389
1521172987,441,429
1521259444,398,449
1521345906,359,323
1521432391,395,371
1521518824,368,423
1521605284,379,321
1521691743,388,381
1521778205,383,401
1521864662,370,383
1521951135,384,384
1522037591,369,365
1522124045,360,407
1522210504,456,374
1522296972,390,408
1522383426,659,547
1522469892,514,493
1522556347,469,500
1522642806,621,484
1522729279,485,476
1522815724,471,501
1522902182,478,465
1522988644,448,442
1523075105,414,445
1523161622,382,396
1523334602,377,432
1523421063,463,478
1523507582,398,412
1523594044,436,415
1523680504,421,421
1523766983,486,429
1523853442,435,421
1523939894,486,492
1524026350,460,448
1524112805,509,435
1524199277,441,462
1524285733,464,422
1524372225,477,478
1524458646,474,453
1524545104,518,591
1524631564,475,519
1524718029,449,424
1524804487,434,446
1524890944,415,442
1525063898,389,409
1525150331,431,425
1525236798,493,417
1525323253,461,433
1525409705,433,472
1525496176,451,423
1525582631,450,434
1525669086,453,409
1525755558,419,495
1525842002,472,439
1525928463,474,446
1526014925,525,513
1526101392,483,493
1526187842,519,464
1526274302,530,472
1526360786,458,527
1526447249,502,480
1526533684,481,537
1526620144,450,485
1526706605,444,449
1526793068,443,417
1526879530,396,437
1526966001,445,456
1527052444,416,462
1527225368,393,424
1527311822,433,417
1527398937,387,745
1527484749,710,357
1527571205,400,407
1527657669,440,472
1527744147,457,419
1527830589,447,455
1527917067,572,494
1528003505,520,456
1528089994,461,462
1528176431,493,493
1528262885,431,472
1528349347,483,450
1528435803,461,477
1528522294,442,450
1528608782,449,472
1528695251,476,471
1528781703,466,503
1528868162,493,526
1528954626,407,462
1529041099,423,382
1529127543,367,376
1529214006,353,392
1529300522,357,361
1529473443,393,380
1529559905,446,401
1529646363,345,449
1529732827,522,412
1529819284,426,410
1529905745,383,389
1529992203,462,448
1530078667,400,441
1530165132,503,449
1530251585,423,493
1530338043,506,473
1530424506,501,462
1530510964,604,486
1530597431,520,482
1530683882,538,490
1530770345,488,530
1530856804,481,472
1530943263,442,531
1531029722,431,429
1531116198,435,483
1531202645,423,428
1531289108,424,409
1531375575,395,404
1531462025,375,394
1531634945,405,401
1531721406,392,387
1531807867,403,407
1531894322,429,422
1531980785,439,417
1532067253,440,439
1532153703,430,412
1532240202,442,430
1532326624,438,470
1532413085,477,480
1532499549,444,467
1532586040,425,474
1532672467,441,462
1532758927,427,418
1532845412,472,494
1532931858,481,445
1533018307,451,475
1533104781,465,492
1533191254,580,496
1533277742,393,429
1533364203,450,421
1533450686,354,362
1533537129,384,403
1533623583,367,356
1533710046,401,391
1533882968,404,407
1533969423,382,396
1534055896,399,397
1534142344,440,413
1534315322,556,671
1534401786,398,398
1534488251,385,413
1534574703,395,365
1534661163,351,355
1534834082,419,373
1534920543,392,385
1535007008,365,425
1535093467,414,422
1535179934,416,374
1535266388,420,402
1535439305,639,585
1535525766,475,493
1535612227,453,463
1535698682,468,459
1535785143,461,494
1535871602,641,497
1535958064,504,490
1536044531,540,529
1536130984,491,541
1536217450,520,497
1536303910,507,519
1536390366,455,463
1536476823,454,453
1536563289,506,443
1536649742,496,521
1536736202,515,524
1536822667,515,509
1536909123,527,506
1536995596,499,505
1537082045,521,525
1537168505,493,449
1537254965,522,536
1537341430,462,552
1537427885,530,551
1537514345,564,505
1537600805,491,528
1537687263,494,499
1537773730,535,492
1537860242,521,520
1537946702,517,520
1538033181,509,515
1538119625,521,553
1538206095,529,576
1538292551,548,536
1538379061,524,486
1538465526,655,549
1538551983,522,547
1538638445,484,526
1538724903,508,513
1538811364,490,491
1538897825,528,481
1538984297,485,526
1539070755,520,489
1539157205,458,623
1539243672,494,495
1539330123,511,455
1539416642,502,511
1539503162,481,485
1539589626,471,448
1539676088,477,524
1539762602,467,446
1539849068,449,445
1539935582,468,488
1540022059,471,468
1540108518,422,479
1540195021,487,431
1540281542,442,494
1540368004,437,419
1540454463,437,448
1540540925,420,413
1540627401,422,477
1540713845,441,433
1540800362,424,408
1540886881,434,441
1540973345,438,457
1541059812,500,441
1541146263,454,432
1541232727,440,417
1541319242,431,453
1541405762,435,414
1541492282,456,424
1542270428,817,908
1542356887,426,406
1542443347,407,404
1542529802,377,418
1542616265,407,427
1542702781,378,402
1542789245,354,368
1542875703,404,439
1542962172,394,387
1543048631,423,402
1543135085,395,394
1543221550,430,394
1543308005,410,404
1543394478,407,429
1543480927,377,387
1543567399,399,398
1543653843,500,405
1543740303,415,393
1543826822,401,404
1543913307,405,442
1543999760,411,408
1544086261,442,419
1544259189,396,407
1544345702,485,418
1544432221,395,414
1544518686,447,464
1544605202,444,432
1544691663,493,459
1544778181,425,455
1544864648,437,416
1544951111,421,471
1545037563,484,441
1545124028,422,467
1545210484,438,424
1545296949,459,417
1545383411,433,410
1545469863,411,424
1545556329,478,468
1545642797,416,439
1545729253,449,478
1545815703,418,452
1545902165,472,417
1545988630,441,446
1546075108,443,478
1546161564,455,452
1546248009,298,574
1546334477,306,323
1546420925,428,309
1546553043,422,392
1546639504,372,352
1546726023,342,341
1546812492,345,322
1546898949,375,335
1546985406,337,352
1547071890,344,358
1547158342,316,355
1547244798,334,337
1547331247,737,364
1547417704,561,497
1547504175,517,554
1547590682,524,534
1547677203,522,544
1547763683,501,557
1547850127,500,523
1547936597,504,507
1548023054,470,454
1548109511,469,483
1548196023,486,491
1548282542,455,483
1548369003,454,446
1548455476,444,434
1548541923,457,490
1548628394,464,457
1548714848,481,462
1548801309,430,443
1548887797,430,448
1548974250,436,437
1549060685,551,473
1549147147,514,456
1549233605,439,454
1549320072,493,466
1549406527,489,460
1549493032,437,491
1549579502,405,436
1549665980,408,387
1549752446,393,469
1549838905,411,416
1549925350,393,435
1550011803,417,374
1550098267,404,448
1550184722,407,449
1550271244,383,393
1550357719,413,415
1550444222,315,364
1550530729,423,415
1550617152,367,385
1550703604,392,388
1550790122,414,396
1550876591,428,408
1550963047,407,414
1551049512,394,388
1551135966,419,405
1551222441,449,486
1551308894,436,409
1551395348,403,412
1551481812,509,412
1551568269,515,454
1551654783,393,443
1551741302,418,381
1551827765,420,440
1551914225,448,406
1552000685,418,404
1552087153,435,436
1552173632,403,437
1552260092,406,406
1552346538,430,426
1552433063,430,422
1552519516,453,456
1552605986,470,456
1552692473,460,436
1552778910,455,472
1552865346,441,429
1552951808,484,465
1553038285,480,449
1553124755,417,456
1553211186,481,495
1553297704,409,447
1553384164,454,459
1553470683,450,439
1553557145,447,476
1553643605,468,438
