DateTime,AddedIPs,RemovedIPs
1509392944,419,1308
1509479403,1308,1106
1509565922,1105,8217
1509652388,8218,541
1509738844,541,523
1509825303,523,1074
1509911763,1074,1059
1509998230,1059,20
1510084702,20,8215
1510171145,8215,537
1510257602,537,587
1510344064,587,518
1510430526,518,534
1510516987,534,146
1510603443,146,115
1510689902,114,276
1510776362,277,14
1510862825,14,22
1510949283,22,43
1511035751,43,566
1511122202,566,1020
1511208681,1020,9
1511295138,9,297
1511381583,297,2351
1511468044,2351,13
1511554502,13,268
1511640966,268,21
1511727424,21,139
1511813885,139,2827
1511900343,2827,106
1511986803,106,532
1512073277,532,305
1512159723,305,2605
1512246187,2604,336
1512332701,337,10
1512419162,10,210
1512505624,210,24
1512592084,24,285
1512678602,285,13
1512765064,14,27
1512851540,27,851
1512937987,850,555
1513024442,555,280
1513110903,280,5376
1513197421,5376,278
1513283882,278,799
1513370345,799,266
1513456803,266,8540
1513543262,8540,16
1513629726,16,54
1513716185,54,273
1513802642,273,25
1513889102,26,300
1513975564,300,276
1514062025,275,301
1514148482,301,267
1514235122,266,271
1514321641,272,277
1514408161,277,37
1514494640,37,77
1514581087,77,277
1514667543,277,160
1514754003,159,410
1514840462,411,527
1514926923,527,7
1515013386,6,304
1515099842,305,287
1515186303,287,312
1515272795,312,46
1515359231,46,18
1515445688,18,16408
1515532142,16408,12
1515618603,12,269
1515705087,269,296
1515791532,296,130
1515877983,130,536
1515964450,536,10
1516050902,10,11
1516137362,11,74
1516223827,74,812
1516310284,811,263
1516396748,264,1310
1516483203,1310,10
1516569672,11,351
1516656131,351,135
1516742643,133,51
1516829222,52,523
1516915691,523,32
1517002154,32,8214
1517088603,8214,15
1517175071,14,121
1517261528,122,24
1517347990,24,536
1517434445,536,1212
1517520962,1212,49
1517607424,49,14
1517693917,14,31
1517780351,31,576
1517866802,576,12
1517953275,12,12
1518039726,12,3867
1518126182,3867,539
1518212656,523,535
1518299102,551,310
1518385564,310,156
1518472022,156,776
1518558484,776,266
1518644973,266,298
1518731403,298,15
1518817865,15,6347
1518904333,6347,309
1518990837,308,22
1519077248,24,309
1519163703,309,253
1519250179,252,4268
1519336638,4268,328
1519423087,328,304
1519509542,304,145
1519596002,145,8
1519682463,8,519
1519768923,519,272
1519855386,272,150
1519941854,150,8200
1520028303,8200,2061
1520114763,2061,21
1520201223,21,906
1520287683,906,288
1520374148,288,294
1520460605,295,626
1520547089,626,4164
1520633539,4163,270
1520720042,270,4683
1520806502,4683,24
1520892967,24,284
1520979433,284,63
1521065890,63,334
1521152350,334,1429
1521238803,1429,76
1521325268,76,44
1521411728,44,264
1521498188,264,108
