DateTime,AddedIPs,RemovedIPs
1552794324,1234,950
1552796119,1296,1108
1552797919,1366,1925
1552799719,1413,1523
1552801520,1450,1694
1552803323,1349,1665
1552805119,1225,1497
1552806018,543,635
1552807821,1150,1238
1552809621,1068,976
1552811420,1085,997
1552813220,1309,1042
1552815019,1334,1128
1552816821,1478,1319
1552818620,1455,1587
1552820421,1306,1475
1552822222,1129,1340
1552824021,1061,1204
1552825822,1308,1247
1552827622,1226,1297
1552829423,1360,1425
1552831223,1132,1398
1552833021,1504,1454
1552834830,1711,1535
1552836628,1717,1414
1552838431,2034,1473
1552840229,2055,2314
1552842031,2077,2145
1552843825,2212,1229
1552845628,1661,1163
1552847425,1422,2207
1552849229,1326,1710
1552851028,1273,1315
1552852834,1125,1205
1552854630,1800,1273
1552856429,1961,1206
1552858226,2008,1192
1552860029,2123,1863
1552861826,1969,1429
1552863628,1789,2412
1552865426,1898,2240
1552867228,1244,1644
1552869025,1300,1536
1552870822,2030,2069
1552872626,1410,1644
1552874425,1735,1897
1552876223,1816,872
1552878022,1652,1237
1552879877,1366,689
1552881669,1198,442
1552883434,1057,582
1552885216,2387,1973
1552887019,1417,2070
1552888815,2076,3177
1552890620,2085,2447
1552892417,2112,2098
1552894223,1995,1708
1552896021,1385,1767
1552897816,2302,1659
1552899621,1512,2079
1552901415,2104,1788
1552903218,2447,2268
1552905023,2384,1819
1552906815,1955,1886
1552908617,2700,2547
1552910416,1718,2402
1552912220,2404,1897
1552914016,2456,2519
1552915817,2065,1987
1552917624,1861,2694
1552919418,1964,2627
1552921221,1337,1592
1552923019,1628,1495
1552924818,1815,2045
1552926620,1617,2774
1552928420,1702,1908
1552930221,2030,1431
1552932020,2239,1717
1552933819,1374,1503
1552935620,1579,2015
1552937418,1437,1541
1552939220,1406,1781
1552941020,1678,768
1552943720,2868,2066
1552945518,1862,1671
1552947320,2178,3839
1552949122,1748,2016
1552950920,1990,1546
1552952721,2015,1480
1552954521,1780,1397
1552956321,1739,1666
1552957221,1039,832
1552959020,1835,2201
1552960820,1770,2163
1552962625,1653,1709
1552964420,1751,1908
1552965360,538,264
1552967147,916,416
1552968932,1406,955
1552970723,1888,1864
1552972522,1718,2961
1552974322,1759,2355
1552976121,1900,1857
1552977922,1709,1237
1552979721,1885,1801
1552981521,1669,1744
1552982422,915,959
1552984221,1488,1632
1552986022,1584,1467
1552987823,1676,2546
1552989624,1635,2224
1552991424,1843,1317
1552993220,1828,1233
1552995020,1689,1312
1552996824,1288,1517
1552998620,1342,1728
1553000419,1444,1367
1553002221,1404,1041
1553004021,1195,1060
1553005821,1223,1985
1553007622,1260,1186
1553009423,1167,929
1553011222,1266,762
1553013022,933,951
1553014824,1168,788
1553016625,1334,1187
1553018421,1701,1094
1553020222,1587,1028
1553022020,1130,1556
1553023820,1232,1728
1553025619,1185,2009
1553027419,1249,1322
1553029218,1179,1263
1553031019,680,813
1553032817,856,997
1553034620,980,1009
1553036420,1313,976
1553038218,1401,781
1553040021,1563,991
1553041817,1255,1189
1553043616,1387,1736
1553045417,1136,1612
1553047219,1314,1456
1553049018,1333,1585
1553050816,1112,1478
1553052632,555,352
1553054416,260,44
1553056216,294,15
1553058016,359,20
1553059815,402,27
1553061617,1237,738
1553063414,1944,1262
1553065214,1738,2323
1553067017,1649,2530
1553068814,1178,2331
1553070614,1163,1847
1553072416,1343,1177
1553074215,1330,903
1553076015,1277,1311
1553077817,1399,1392
1553079615,1801,1330
1553081415,1881,825
1553083214,1898,1549
1553085016,1846,1769
1553086817,1519,2864
1553088616,1570,2021
1553090416,1458,1655
