DateTime,Entries,UniqueIPs
1552794324,3492,3492
1552796119,3680,3680
1552797919,3121,3121
1552799719,3011,3011
1552801520,2767,2767
1552803323,2451,2451
1552805119,2179,2179
1552806018,2087,2087
1552807821,1999,1999
1552809621,2091,2091
1552811420,2179,2179
1552813220,2446,2446
1552815019,2652,2652
1552816821,2811,2811
1552818620,2679,2679
1552820421,2510,2510
1552822222,2299,2299
1552824021,2156,2156
1552825822,2217,2217
1552827622,2146,2146
1552829423,2081,2081
1552831223,1815,1815
1552833021,1865,1865
1552834830,2041,2041
1552836628,2344,2344
1552838431,2905,2905
1552840229,2646,2646
1552842031,2578,2578
1552843825,3561,3561
1552845628,4059,4059
1552847425,3274,3274
1552849229,2890,2890
1552851028,2848,2848
1552852834,2768,2768
1552854630,3295,3295
1552856429,4050,4050
1552858226,4866,4866
1552860029,5126,5126
1552861826,5666,5666
1552863628,5043,5043
1552865426,4701,4701
1552867228,4301,4301
1552869025,4065,4065
1552870822,4026,4026
1552872626,3792,3792
1552874425,3630,3630
1552876223,4574,4574
1552878022,4989,4989
1552879877,5666,5666
1552881669,6422,6422
1552883434,6897,6897
1552885216,7311,7311
1552887019,6658,6658
1552888815,5557,5557
1552890620,5195,5195
1552892417,5209,5209
1552894223,5496,5496
1552896021,5114,5114
1552897816,5757,5757
1552899621,5190,5190
1552901415,5506,5506
1552903218,5685,5685
1552905023,6250,6250
1552906815,6319,6319
1552908617,6472,6472
1552910416,5788,5788
1552912220,6295,6295
1552914016,6232,6232
1552915817,6310,6310
1552917624,5477,5477
1552919418,4814,4814
1552921221,4559,4559
1552923019,4692,4692
1552924818,4462,4462
1552926620,3305,3305
1552928420,3099,3099
1552930221,3698,3698
1552932020,4220,4220
1552933819,4091,4091
1552935620,3655,3655
1552937418,3551,3551
1552939220,3176,3176
1552941020,4086,4086
1552943720,4888,4888
1552945518,5079,5079
1552947320,3418,3418
1552949122,3150,3150
1552950920,3594,3594
1552952721,4129,4129
1552954521,4512,4512
1552956321,4585,4585
1552957221,4792,4792
1552959020,4426,4426
1552960820,4033,4033
1552962625,3977,3977
1552964420,3820,3820
1552965360,4094,4094
1552967147,4594,4594
1552968932,5045,5045
1552970723,5069,5069
1552972522,3826,3826
1552974322,3230,3230
1552976121,3273,3273
1552977922,3745,3745
1552979721,3829,3829
1552981521,3754,3754
1552982422,3710,3710
1552984221,3566,3566
1552986022,3683,3683
1552987823,2813,2813
1552989624,2224,2224
1552991424,2750,2750
1552993220,3345,3345
1552995020,3722,3722
1552996824,3493,3493
1552998620,3107,3107
1553000419,3184,3184
1553002221,3547,3547
1553004021,3682,3682
1553005821,2920,2920
1553007622,2994,2994
1553009423,3232,3232
1553011222,3736,3736
1553013022,3718,3718
1553014824,4098,4098
1553016625,4245,4245
1553018421,4852,4852
1553020222,5411,5411
1553022020,4985,4985
1553023820,4489,4489
1553025619,3665,3665
1553027419,3592,3592
1553029218,3508,3508
1553031019,3375,3375
1553032817,3234,3234
1553034620,3205,3205
1553036420,3542,3542
1553038218,4162,4162
1553040021,4734,4734
1553041817,4800,4800
1553043616,4451,4451
1553045417,3975,3975
1553047219,3833,3833
1553049018,3581,3581
1553050816,3215,3215
1553052632,3418,3418
1553054416,3634,3634
1553056216,3913,3913
1553058016,4252,4252
1553059815,4627,4627
1553061617,5126,5126
1553063414,5808,5808
1553065214,5223,5223
1553067017,4342,4342
1553068814,3189,3189
1553070614,2505,2505
1553072416,2671,2671
1553074215,3098,3098
1553076015,3064,3064
1553077817,3071,3071
1553079615,3542,3542
1553081415,4598,4598
1553083214,4947,4947
1553085016,5024,5024
1553086817,3679,3679
1553088616,3228,3228
1553090416,3031,3031
1553092217,2271,2271
1553094019,2313,2313
1553095817,2112,2112
1553097622,1705,1705
1553099420,1776,1776
1553101221,1945,1945
1553103023,2052,2052
1553104823,2005,2005
1553106624,2052,2052
1553108425,2759,2759
1553110223,2583,2583
1553112026,2230,2230
1553113825,2189,2189
1553116525,2037,2037
1553118324,1999,1999
1553119223,2084,2084
1553121025,3536,3536
1553122825,4663,4663
1553124624,4211,4211
1553126426,4169,4169
1553128224,4698,4698
1553130029,4879,4879
1553131827,3837,3837
1553133632,2613,2613
1553135428,3265,3265
1553137231,3087,3087
1553138166,3088,3088
1553139924,3895,3895
1553141726,4236,4236
1553143523,3367,3367
1553145327,2943,2943
1553147125,2518,2518
1553148929,2541,2541
1553150725,3079,3079
1553152528,3800,3800
1553154328,4466,4466
1553156128,4315,4315
1553157934,3858,3858
1553159734,3479,3479
1553161529,3294,3294
1553163328,3780,3780
1553165125,4148,4148
1553166926,4112,4112
1553168727,3846,3846
1553170531,4417,4417
1553172324,4643,4643
1553174125,5744,5744
1553175927,6480,6480
1553177726,6202,6202
1553179532,5435,5435
1553181325,4977,4977
1553183124,4126,4126
1553184925,3845,3845
1553186727,4587,4587
1553187624,4591,4591
1553189430,4525,4525
1553191225,4402,4402
1553193030,3839,3839
1553194826,4156,4156
1553196622,3606,3606
1553198428,3048,3048
1553200231,3740,3740
1553202027,3592,3592
1553203821,2737,2737
1553205629,4970,4970
1553207422,6220,6220
1553209222,5438,5438
1553211023,5425,5425
1553212822,5532,5532
1553214623,4889,4889
1553216424,4138,4138
1553218225,4702,4702
1553220024,5354,5354
1553221828,5180,5180
1553223623,4472,4472
1553224563,4606,4606
1553226354,5021,5021
1553228187,5589,5589
1553229922,6335,6335
1553230819,6802,6802
1553232625,7776,7776
1553234423,8892,8892
1553236221,9710,9710
1553238021,10782,10782
1553239820,11979,11979
1553241619,13207,13207
1553243417,14403,14403
1553245216,15349,15349
1553247014,16049,16049
1553248814,16661,16661
1553250614,17631,17631
1553252412,18303,18303
1553254211,18992,18992
1553256011,19233,19233
1553257810,18758,18758
1553259608,18604,18604
1553261407,18072,18072
1553263206,17663,17663
1553265004,17627,17627
1553266804,18698,18698
1553268602,19620,19620
1553270403,21033,21033
1553272203,23517,23517
1553274004,33295,33295
1553275805,26527,26527
1553277605,18245,18245
1553279405,12266,12266
1553281206,8368,8368
1553283008,7572,7572
1553284808,6946,6946
1553286608,6830,6830
1553288409,7016,7016
1553290214,6241,6241
1553292011,6336,6336
1553293813,6110,6110
1553295611,6093,6093
1553297413,3379,3379
1553299213,1855,1855
1553301015,1952,1952
1553302815,1958,1958
1553304613,2024,2024
1553306415,1958,1958
1553308216,1703,1703
1553310017,1484,1484
1553311848,1729,1729
1553313654,1987,1987
1553315420,2098,2098
1553317217,2650,2650
1553319020,2906,2906
1553320820,2121,2121
1553322624,1693,1693
1553324422,1515,1515
1553326221,1847,1847
1553328026,3512,3512
1553329828,8045,8045
1553331623,8331,8331
1553333424,6014,6014
1553335225,5423,5423
1553337024,4832,4832
1553338825,4688,4688
1553340627,4365,4365
1553342426,3084,3084
