DateTime,AddedIPs,RemovedIPs
1521177166,2687,3327
1521263602,2807,2721
1521350015,3171,2785
1521436396,3013,3187
1521522821,2860,3027
1521609171,2848,2823
1521695566,2840,2793
1521781979,2799,2909
1521868373,3254,2810
1521954852,3074,3185
1522041244,3149,3056
1522127840,3291,2998
1522214335,2866,3263
1522300625,2781,2876
1522386841,2749,2750
1522473272,2507,2942
1522559605,2494,2578
1522646001,2466,2501
1522732390,2391,2442
1522818797,2232,2361
1522905184,1282,2353
1522991569,1589,1346
1523078011,1376,1524
1523164368,1370,1334
1523251021,1214,1420
1523337193,1293,1287
1523423576,1256,1276
1523510216,1296,1237
1523596380,1231,1291
1523682768,1370,1269
1523769432,1292,1350
1523855432,1234,1293
1523942245,1284,1236
1524028641,1328,1268
1524093954,0,0
1524097452,0,0
1524114789,1277,1318
1524124420,0,0
1524201351,1373,1301
1524287684,1488,1363
1524374229,1447,1478
1524460232,1674,1464
1524546760,1793,1640
1524633333,1846,1777
1524720026,2119,1792
1524806248,1823,2078
1524892390,1591,1882
1524979088,1511,1612
1525065196,1455,1501
1525151812,1552,1480
1525238004,1508,1543
1525324650,1193,1529
1525411059,1218,1205
1525497202,1257,1248
1525584009,1585,1214
1525669979,1735,1536
1525756620,1437,1729
1525842799,1941,1419
1525929434,2859,1935
1526015569,2068,2877
1526101884,3133,2040
1526188596,1725,3084
1526275325,1413,1836
1526309744,0,0
1526361422,1641,1439
1526447912,1739,1550
1526534023,1510,1719
1526966081,2728,1605
1527052392,1363,2595
1527138788,1917,1433
1527225064,1997,1880
1527291367,0,0
1527293567,0,0
1527295616,0,0
1527298175,0,0
1527299623,0,0
1527300924,0,0
1527302281,0,0
1527303236,0,0
1527304649,0,104
1527305675,0,0
1527306925,0,299
1527308464,0,304
1527309832,0,0
1527311257,992,0
1527312725,1781,1916
1527314177,0,0
1527315477,0,0
1527316688,0,0
1527317574,0,0
1527318601,0,265
1527319694,0,0
1527320972,0,0
1527321963,0,0
1527322916,0,0
1527324175,0,265
1527325329,265,0
1527326536,0,0
1527327550,0,0
1527328939,0,265
1527336906,265,0
1527338233,0,0
1527339173,0,0
1527340400,0,0
1527341666,0,0
1527342566,0,265
1527343556,265,0
1527344858,0,0
1527346523,0,0
1527347876,0,0
1527350731,0,0
1527352752,0,0
1527354296,0,0
1527355518,0,0
1527356901,0,0
1527358196,0,0
1527359837,0,0
1527361567,0,0
1527362803,0,265
1527364323,0,0
1527365458,0,301
1527366777,566,0
1527368265,0,0
1527369518,0,0
1527371146,0,0
1527372666,0,0
1527373978,0,265
1527375553,265,0
1527377274,0,265
1527378894,0,301
1527379877,566,0
1527381338,0,0
1527382716,0,0
1527383956,0,0
1527385537,0,0
1527386933,0,0
1527388159,0,0
1527389643,0,0
1527390855,0,0
1527391961,0,265
1527392965,265,0
1527393938,0,0
1527395171,0,0
1527396102,0,0
1527397024,0,0
1527398060,349,2186
1527398989,0,0
1527400204,0,0
1527485302,1975,349
1527571007,1777,1712
1527657152,2070,1740
1527743558,2088,1973
1527829969,1970,2139
1527914431,0,0
1527916482,0,1981
1527918695,0,0
1527921153,0,0
