DateTime,Entries,UniqueIPs
1520486031,3626,3626
1520572419,3409,3409
1520658863,3291,3291
1520745203,3492,3492
1520831871,3392,3392
1520917997,3544,3544
1521004280,3691,3691
1521091052,3698,3698
1521177166,3058,3058
1521263602,3144,3144
1521350015,3530,3530
1521436396,3356,3356
1521522821,3189,3189
1521609171,3214,3214
1521695566,3261,3261
1521781979,3151,3151
1521868373,3595,3595
1521954852,3484,3484
1522041244,3577,3577
1522127840,3870,3870
1522214335,3473,3473
1522300625,3378,3378
1522386841,3377,3377
1522473272,2942,2942
1522559605,2858,2858
1522646001,2823,2823
1522732390,2772,2772
1522818797,2643,2643
1522905184,1572,1572
1522991569,1815,1815
1523078011,1667,1667
1523164368,1703,1703
1523251021,1497,1497
1523337193,1503,1503
1523423576,1483,1483
1523510216,1542,1542
1523596380,1482,1482
1523682768,1583,1583
1523769432,1525,1525
1523855432,1466,1466
1523942245,1514,1514
1524028641,1574,1574
1524114789,1533,1533
1524201351,1605,1605
1524287684,1730,1730
1524374229,1699,1699
1524460232,1909,1909
1524546760,2062,2062
1524633333,2131,2131
1524720026,2458,2458
1524806248,2203,2203
1524892390,1912,1912
1524979088,1811,1811
1525065196,1765,1765
1525151812,1837,1837
1525238004,1802,1802
1525324650,1466,1466
1525411059,1479,1479
1525497202,1488,1488
1525584009,1859,1859
1525669979,2058,2058
1525756620,1766,1766
1525842799,2288,2288
1525929434,3212,3212
1526015569,2403,2403
1526101884,3496,3496
1526188596,2137,2137
1526275325,1714,1714
1526361422,1916,1916
1526447912,2105,2105
1526534023,1896,1896
1526966081,3019,3019
1527052392,1787,1787
1527138788,2271,2271
1527225064,2388,2388
1527291367,2388,2388
1527293567,2388,2388
1527295616,2388,2388
1527298175,2388,2388
1527299623,2388,2388
1527300924,2388,2388
1527302281,2388,2388
1527303236,2388,2388
1527304649,2284,2284
1527305675,2284,2284
1527306925,1985,1985
1527308464,1681,1681
1527309832,1396,1396
1527311257,2388,2388
1527312725,2253,2253
1527314177,2253,2253
1527315477,2253,2253
1527316688,2253,2253
1527317574,2253,2253
1527318601,1988,1988
1527319694,2253,2253
1527320972,2253,2253
1527321963,2253,2253
1527322916,2253,2253
1527324175,1988,1988
1527325329,2253,2253
1527326536,2253,2253
1527327550,2253,2253
1527328939,1988,1988
1527336906,2253,2253
1527338233,2253,2253
1527339173,2253,2253
1527340400,2253,2253
1527341666,2253,2253
1527342566,1988,1988
1527343556,2253,2253
1527344858,2253,2253
1527346523,2253,2253
1527347876,2253,2253
1527350731,2253,2253
1527352752,2253,2253
1527354296,2253,2253
1527355518,2253,2253
1527356901,2253,2253
1527358196,2253,2253
1527359837,2253,2253
1527361567,2253,2253
1527362803,1988,1988
1527364323,1988,1988
1527365458,1687,1687
1527366777,2253,2253
1527368265,2253,2253
1527369518,2253,2253
1527371146,2253,2253
1527372666,2253,2253
1527373978,1988,1988
1527375553,2253,2253
1527377274,1988,1988
1527378894,1687,1687
1527379877,2253,2253
1527381338,2253,2253
1527382716,2253,2253
1527383956,2253,2253
1527385537,2253,2253
1527386933,2253,2253
1527388159,2253,2253
1527389643,2253,2253
1527390855,2253,2253
1527391961,1988,1988
1527392965,2253,2253
1527393938,2253,2253
1527395171,2253,2253
1527396102,2253,2253
1527397024,2253,2253
1527398060,416,416
1527398989,416,416
1527400204,416,416
1527485302,2042,2042
1527571007,2107,2107
1527657152,2437,2437
1527743558,2552,2552
1527829969,2383,2383
1527914431,2383,2383
1527916482,2383,2383
1527918695,2383,2383
1527921153,2383,2383
1527923347,2383,2383
1527924857,2383,2383
1527926043,2383,2383
1527927465,2383,2383
1527928534,2383,2383
1527929787,2383,2383
1527930878,2383,2383
1527931846,2383,2383
1527933089,2383,2383
1527934291,2383,2383
1527935231,2383,2383
1527936875,2383,2383
1527937887,2383,2383
1527939045,2383,2383
1527940249,2383,2383
1527941472,2383,2383
1527942661,2383,2383
1527943807,2383,2383
1527944983,2383,2383
1527946035,2383,2383
1527947229,2383,2383
1527948143,2383,2383
1527949086,2383,2383
1527950180,2383,2383
1527951408,2383,2383
1527952480,2383,2383
1527953738,2383,2383
1527955059,2383,2383
1527956424,2383,2383
1527957586,2383,2383
1527958711,2383,2383
1527959792,2383,2383
1527961212,2383,2383
1527962371,2383,2383
1527963580,2383,2383
1527965983,2383,2383
1527967239,2383,2383
1527968436,2383,2383
1527969579,2383,2383
1527970758,2383,2383
1527971778,2383,2383
1527972897,2383,2383
1527973860,2383,2383
1527974878,2383,2383
1527976200,2383,2383
1527977304,2383,2383
1527978638,2383,2383
1527979854,2290,2290
1527983002,2383,2383
1527984252,2383,2383
1527985455,2383,2383
1527986658,2383,2383
1527987800,2290,2290
1527988987,2290,2290
1527990211,1991,1991
1527991415,2383,2383
1527992590,2383,2383
1527993837,2383,2383
1527995078,2383,2383
1527996237,2383,2383
1527997484,2383,2383
1527998630,2383,2383
1527999886,2383,2383
1528001097,2383,2383
1528002243,2383,2383
1528003405,2356,2356
1528004878,2356,2356
1528089158,2414,2414
1528175569,2550,2550
1528261987,2817,2817
1528311730,2817,2817
1528320518,2817,2817
1528324436,2817,2817
1528326796,2817,2817
1528331849,2817,2817
1528348381,2855,2855
1528434819,2841,2841
1528521181,2655,2655
1528607595,2338,2338
1528693967,2489,2489
1528780357,2641,2641
1528866749,2617,2617
1528953212,3258,3258
1529039573,2481,2481
1529125951,2228,2228
1529212619,2265,2265
1529298770,2307,2307
1529385148,2406,2406
1529471544,2338,2338
1529558214,2851,2851
1529644358,2693,2693
1529730649,2576,2576
1529817163,2869,2869
1529903803,2874,2874
1529989961,1759,1759
1530076378,3573,3573
1530162763,3193,3193
1530249177,3252,3252
1530335585,2952,2952
1530421977,3212,3212
1530508371,2894,2894
1530594792,3015,3015
1530681173,3327,3327
1530767566,3223,3223
1530853990,3127,3127
1530940655,3380,3380
1531199587,5236,5236
1531977485,3389,3389
1532063648,3173,3173
1532150250,3141,3141
1532236630,3508,3508
1532322810,3119,3119
1532409159,3252,3252
1532495802,12245,12245
1532581979,3553,3553
1532668357,3512,3512
1532754630,3517,3517
1532841166,3364,3364
1532927564,2909,2909
1533014010,3164,3164
1533100367,3103,3103
1533187083,3082,3082
1533273158,3318,3318
1533359629,3477,3477
1533446224,3660,3660
1533532351,3206,3206
1533618781,3097,3097
1533792284,3135,3135
1533877985,3601,3601
1533964380,3694,3694
1534051042,3621,3621
1534137202,3374,3374
1534223553,3484,3484
1534309974,3536,3536
1534396392,3482,3482
1534482796,3046,3046
1534569391,3108,3108
1534917109,2762,2762
1535001187,2862,2862
1535087591,2801,2801
1535260382,2751,2751
1535346787,2556,2556
1535433279,2749,2749
1535519582,3108,3108
1535605995,3794,3794
1535692617,3682,3682
1535778791,3545,3545
1535865431,3355,3355
1535951810,3704,3704
1536038000,3914,3914
1536124240,4080,4080
1536210765,11707,11707
1536297180,4766,4766
1536383552,3735,3735
1536470240,3709,3709
1536556413,3570,3570
1536642808,3380,3380
1536729412,3671,3671
1536815815,4127,4127
1536901957,3422,3422
1537074750,3482,3482
1537247824,3272,3272
1537593139,2214,2214
1537852380,5922,5922
1537938748,3285,3285
1538025412,3019,3019
1538111563,3054,3054
1538197998,3014,3014
1538284599,2130,2130
1538371018,2685,2685
1538457179,2969,2969
1538543596,2802,2802
1538630233,2782,2782
1538716388,2754,2754
1538803024,2813,2813
1538889170,2837,2837
1538975829,2860,2860
1539062207,2931,2931
1539148616,3066,3066
1539234762,3086,3086
1539321402,3100,3100
1539407563,3387,3387
1539494218,3339,3339
1539580362,3410,3410
1539666778,3421,3421
1539753167,3068,3068
1539839592,2976,2976
1539925992,3069,3069
1540012357,3492,3492
1540098784,3111,3111
1540185420,3306,3306
1540271826,3524,3524
1540358547,3412,3412
1540444359,3149,3149
1540530781,3100,3100
1540617424,3131,3131
1540703585,2795,2795
1540789995,2642,2642
1540876369,3055,3055
1540963033,3118,3118
1541310758,2920,2920
1541394759,2868,2868
1541481170,2952,2952
1541567822,3089,3089
1541653958,2958,2958
1541740392,3008,3008
1541826781,4100,4100
1541913174,6918,6918
1541999807,3021,3021
1542085991,2782,2782
1542172617,3050,3050
1542259010,3153,3153
1542345159,2896,2896
1542431568,2962,2962
1542517943,3506,3506
1542604380,3575,3575
1542691020,3244,3244
1542777182,3740,3740
1542863546,3700,3700
1542949964,3075,3075
1543036610,3097,3097
1543123019,2865,2865
1543209197,3072,3072
1543295825,3507,3507
1543381999,3840,3840
1543468415,4690,4690
1543555011,4871,4871
1543641413,4951,4951
1543727579,4864,4864
1543814264,5130,5130
1543900631,5127,5127
1543987022,3882,3882
1544073423,4407,4407
1544159574,4373,4373
1544245994,4146,4146
1544332607,3934,3934
1544419030,3765,3765
1544505186,3796,3796
1544591599,3698,3698
1544677968,4094,4094
1544764369,3559,3559
1544850786,3483,3483
1544937185,4079,4079
1545023583,4384,4384
1545110237,4023,4023
1545196373,4364,4364
1545283025,4255,4255
1545369425,3970,3970
1545455559,3628,3628
1545541954,3646,3646
1545628346,3551,3551
1545714786,3279,3279
1545801432,3377,3377
1545887555,3395,3395
1545973964,2993,2993
1546060447,3235,3235
1546147059,3565,3565
1546233580,3458,3458
1546319603,3483,3483
1546405956,3646,3646
1546492350,4100,4100
1546579015,3839,3839
1546665181,2909,2909
1546751563,2901,2901
1546837954,3253,3253
1546924380,3885,3885
1547010784,4078,4078
1547097157,3563,3563
1547183585,3646,3646
1547269968,3775,3775
1547356395,3863,3863
1547443069,4103,4103
1547529158,4168,4168
1547615557,4092,4092
1547701976,3981,3981
1547788382,3892,3892
1547874763,3681,3681
1547961150,3805,3805
1548047561,3504,3504
1548133990,3647,3647
1548220358,3535,3535
1548306764,3942,3942
1548393159,3922,3922
1548479570,4144,4144
1548565977,4214,4214
1548652345,4036,4036
1548738748,3865,3865
1548825198,3413,3413
1548911575,3453,3453
1548997955,3306,3306
1549084615,3410,3410
1549170758,3452,3452
1549257170,3425,3425
1549343581,3538,3538
1549429826,3236,3236
1549516374,2514,2514
1549602763,2527,2527
1549689154,2364,2364
1549862722,3963,3963
1549948345,3947,3947
1550034753,4039,4039
1550121153,3930,3930
1550207569,3648,3648
1550293983,3749,3749
1550380355,3749,3749
1550466767,3696,3696
1550553148,4360,4360
1550639591,4251,4251
1550725986,4446,4446
1550812375,5430,5430
1550899051,3864,3864
1550985178,3703,3703
1551071579,3772,3772
1551157969,3539,3539
1551244368,3255,3255
1551330760,3527,3527
1551417168,3612,3612
1551503574,3888,3888
1551590224,3687,3687
1551676380,3588,3588
1551762754,4070,4070
1551849166,4170,4170
1551935559,4038,4038
1552021958,4210,4210
1552108360,3947,3947
1552194752,4133,4133
1552281155,3976,3976
1552453951,4905,4905
1552540410,4907,4907
1552626756,4529,4529
1552972352,4566,4566
1553058767,5201,5201
1553145169,5049,5049
1553231563,4793,4793
1553317968,5026,5026
1553404371,4745,4745
1553491031,4881,4881
1553577158,4538,4538
1553663578,4305,4305
