DateTime,AddedIPs,RemovedIPs
1521091053,3105,5855
1521177167,2457,3419
1521263603,2467,2479
1521350017,2192,2469
1521436398,1955,2233
1521522823,2645,1953
1521609173,2745,2601
1521695567,2693,2737
1521781980,2650,2736
1521868375,2602,2639
1521954853,2109,2618
1522041245,1759,2140
1522127841,2471,1759
1522214336,2483,2425
1522300626,2368,2479
1522386843,2301,2375
1522473274,1998,2335
1522559607,1847,1995
1522646002,1724,1868
1522732391,2385,1701
1522818798,2455,2325
1522905185,1675,2517
1522991571,1413,1736
1523078012,1288,1422
1523164369,1144,1300
1523251022,975,1148
1523337194,1537,965
1523423577,1552,1544
1523510218,1447,1556
1523596381,1492,1452
1523682770,1439,1488
1523769433,1032,1455
1523855433,1098,1040
1523942246,1479,1092
1524028643,1523,1465
1524093955,0,0
1524097452,0,0
1524114791,1539,1520
1524124421,0,0
1524201352,1460,1533
1524287686,1504,1455
1524374230,1238,1512
1524460234,1054,1259
1524546761,1486,1036
1524633334,1536,1464
1524720027,1421,1547
1524806249,1596,1426
1524892392,1533,1604
1524979089,1164,1534
1525065198,1116,1173
1525151813,1168,1113
1525238006,1087,1181
1525324652,1478,1101
1525411061,1527,1449
1525497203,1471,1524
1525584011,1311,1479
1525669981,1150,1324
1525756621,1582,1131
1525842800,1626,1581
1525929435,1673,1588
1526015571,1701,1650
1526101885,2007,1708
1526188597,1610,2013
1526275326,1484,1614
1526309745,0,0
1526361424,2085,1487
1526447913,2106,2069
1526534025,1883,2105
1526966083,3408,1847
1527052394,2043,3361
1527138790,2737,2065
1527225065,2398,2718
1527291368,0,0
1527293569,0,44
1527295617,44,0
1527298176,0,0
1527299624,0,0
1527300925,0,0
1527302283,0,44
1527303237,44,0
1527304650,0,0
1527305677,0,44
1527306926,0,301
1527308465,0,305
1527309833,1,284
1527311258,934,1
1527312726,2321,2456
1527314178,0,0
1527315478,0,0
1527317575,0,0
1527318603,0,0
1527319695,0,0
1527320973,0,0
1527321965,0,0
1527322917,0,0
1527324176,0,203
1527325330,203,0
1527326538,0,0
1527327551,0,0
1527328940,0,203
1527330182,0,0
1527331062,0,302
1527332296,0,294
1527334615,0,562
1527336907,1361,0
1527338234,0,0
1527339174,0,0
1527340401,0,0
1527341668,0,0
1527342567,0,203
1527343558,203,0
1527344859,0,0
1527346524,0,0
1527347878,0,0
1527350732,0,0
1527352753,0,0
1527354297,0,0
1527355520,0,0
1527356903,0,0
1527358197,0,0
1527359838,0,0
1527361568,0,0
1527362805,0,0
1527364324,0,0
1527365459,0,0
1527366779,0,203
1527368266,0,302
1527369520,505,0
1527371147,0,0
1527372667,0,0
1527373979,0,203
1527375554,203,0
1527377276,0,0
1527378895,0,0
1527379878,203,0
1527381339,0,0
1527382717,0,0
1527383957,0,0
1527385538,0,0
1527388160,0,0
1527389644,0,0
1527390856,0,0
1527391963,0,203
1527392966,203,0
1527393939,0,0
1527395172,0,0
1527396103,0,0
1527397025,0,0
1527398061,565,2455
1527398990,0,0
1527400206,0,0
1527485303,1732,573
1527571008,2331,1610
1527657153,2124,2305
1527743559,2155,2143
1527829970,2081,2160
1527914432,0,0
1527916483,,2079
1527918696,0,0
1527921154,0,0
1527923348,0,0
1527924859,0,0
1527926045,0,0
1527927466,0,0
1527928536,0,0
1527929789,0,0
1527930880,0,0
1527931848,0,0
1527933090,0,0
1527934293,0,0
1527935232,0,0
1527936877,0,0
1527937888,0,0
1527939047,0,0
1527940250,0,0
1527941474,0,0
1527942662,0,0
1527943809,0,0
1527944985,0,0
1527946037,0,0
1527947231,0,0
1527948144,0,0
1527949088,0,0
1527951409,0,0
1527952482,0,0
1527953739,0,0
1527955061,0,0
1527956426,0,0
1527957588,0,0
1527958713,0,0
1527959793,0,0
1527961213,0,0
1527962372,0,0
1527963582,0,0
1527964792,0,0
