DateTime,AddedIPs,RemovedIPs
1511200091,44,44
1511285535,46,46
1511370499,45,45
1511456669,43,43
1511545697,45,45
1511630171,45,45
1511718729,47,47
1511803936,48,48
1511889612,43,43
1511975055,47,47
1512064818,48,48
1512150262,47,47
1512235692,45,45
1512324493,47,47
1512409462,47,47
1512494895,48,48
1512585384,48,48
1512669142,43,43
1512755773,45,45
1512841455,45,45
1512926410,44,44
1513017621,42,42
1513102576,42,42
1513187777,43,43
1513273218,43,43
1513359863,38,38
1513446253,45,45
1513535780,50,50
1513620489,46,46
1513705940,45,45
1513792331,46,46
1513879225,48,48
1513964896,46,46
1514053457,42,42
1514138894,43,43
1514223850,41,41
1514312889,46,46
1514395941,47,47
1514482336,44,44
1514571610,48,48
1514657839,45,45
1514743219,45,45
1514829375,39,39
1514914570,37,37
1515000981,43,43
1515088821,44,44
1515174734,46,46
1515260410,44,44
1515349217,42,42
1515435377,43,43
1515522017,45,45
1515608655,46,46
1515695297,45,45
1515780495,42,42
1515866423,40,40
1515954982,41,41
1516040653,43,43
1516125611,44,44
1516211778,49,49
1516301301,49,49
1516384825,43,43
1516470507,47,47
1516558814,40,40
1516643528,41,41
1516732334,44,44
1516817778,43,43
1516906338,44,44
1516991789,45,45
1517079375,40,40
1517164574,41,41
1517250013,46,46
1517336175,46,46
1517424745,47,47
1517510661,47,47
1517595614,45,45
1517682013,45,45
1517767935,44,44
1517856975,43,43
1517941942,43,43
1518026652,47,47
1518115699,44,44
1518202824,45,45
1518289698,41,41
1518372494,43,43
1518459378,45,45
1518546015,45,45
1518632900,44,44
1518721231,46,46
1518804734,45,45
1518891130,45,45
1518979212,47,47
1519064170,44,44
1519150820,48,48
1519237217,46,46
1519325057,47,47
1519411208,41,41
1519497133,43,43
1519583525,46,46
1519673055,45,45
1519755851,46,46
1519846097,45,45
1519932017,45,45
1520017453,44,44
1520102657,45,45
1520187853,45,45
1520277848,38,38
1520363050,43,43
1520448732,44,44
1520533931,46,46
1520622495,47,47
1520707941,48,48
1520793856,42,42
1520879774,43,43
1520966021,45,45
1521055938,46,46
1521141377,48,48
1521226090,44,44
1521315382,46,46
1521400091,46,46
1521485051,47,47
1521574330,44,44
1521659294,40,40
1521744253,40,40
1521830409,40,40
1521919459,40,40
1522004887,42,42
1522090333,42,42
1522179368,39,39
1522262898,40,40
1522352413,41,41
1522439058,35,35
1522525210,30,30
1522610410,40,40
1522696087,40,40
1522785385,38,38
1522869132,40,40
1522956768,31,31
1523043857,40,40
1523129533,34,34
1523214253,41,41
1523302814,44,44
1523388980,47,47
1523474175,46,46
1523563221,37,37
1523649616,46,46
1523734333,46,46
1523821689,39,39
1523907614,35,35
1523992335,43,43
1524081376,46,46
1524121218,0,0
1524168019,46,46
1524253689,48,48
1524338896,49,49
1524424095,46,46
1524513376,47,47
1524598812,48,48
1524684742,47,47
1524770180,48,48
1524855854,47,47
1524945375,48,48
1525030813,48,48
1526573536,50,50
1526658485,47,47
1526744172,46,46
1526828886,42,42
1526917456,44,44
1527000493,42,42
1527090253,44,44
1527175931,46,46
1527261374,45,45
1527288498,0,0
1527294040,0,0
1527298592,0,0
1527302675,0,0
1527307713,0,0
1527311794,0,0
1527316112,0,0
1527320440,0,0
1527324754,0,0
1527329319,0,0
1527333874,0,0
1527338673,0,0
1527342990,0,0
1527347070,0,45
1527351395,0,0
1527355967,0,0
1527360511,0,0
1527364842,0,0
1527368675,0,0
1527373244,0,0
1527377792,0,0
1527381872,0,0
1527386192,0,0
1527390271,0,0
1527394591,0,0
1527398435,0,0
1527433226,43,43
1527522732,45,45
1527607454,46,46
1527692424,47,47
1527781210,45,45
1527865932,43,43
1527894506,0,0
1527958113,50,50
1527962913,0,0
1527967712,0,0
1527972272,0,0
1527976592,0,0
1527981396,0,0
1527985962,0,0
1527990753,0,0
1527995553,0,0
1528000357,0,0
1528004196,0,0
1528160169,49,49
1528237451,47,47
1528306574,0,0
1528318794,0,0
1528322770,44,44
1528330082,0,0
1528408570,45,45
1528497854,47,47
1528582820,49,49
1528667767,48,48
1528757765,47,47
1528842250,44,44
1528926971,45,45
1530258009,50,50
1530261849,48,48
1530347292,45,45
1530433450,48,48
1530519379,46,46
1530604570,49,49
1530694089,49,49
1530779048,49,49
1530864493,50,50
1530951132,50,50
1531036334,49,49
1531126332,48,48
1531212491,50,50
1531297213,49,49
1531382170,50,50
1531471211,50,50
1531555934,48,48
1531642575,47,47
1531729212,50,50
1531814894,48,48
1531903930,48,48
1531989137,47,47
1532074570,45,45
1532163854,47,47
1532248573,47,47
1532333295,48,48
1532422833,46,46
1532508013,48,48
1532593934,49,49
1532681773,48,48
1532766490,49,49
1532855054,50,50
1532940490,48,48
1533025458,49,49
1533110656,46,46
1533199452,49,49
1533284410,45,45
1533373456,48,48
1533459129,45,45
1533544098,45,45
1533629532,48,48
1533719297,46,46
1533803768,48,48
1533888978,47,47
1533977289,49,49
1534062013,46,46
1534150573,48,48
1534235769,47,47
1534324333,46,46
1534409050,48,48
1534494492,46,46
1534583050,40,40
1534667775,47,47
1534752970,49,49
1534841293,47,47
1534926505,48,48
1535015295,48,48
1535100489,50,50
1535186652,49,49
1535271848,47,47
1535358256,45,45
1535447055,47,47
1535532008,46,46
1535618411,48,48
1535703615,46,46
1535792655,44,44
1535877373,47,47
1535963048,48,48
1536052333,48,48
1536137288,49,49
1536222259,49,49
1536311056,46,46
1536396011,42,42
1536484815,47,47
1536570032,44,44
1536655216,47,47
1536744254,45,45
1536828976,48,48
1536914421,50,50
1537000336,47,47
1537089137,37,37
1537175060,47,47
1537260256,43,43
1537346409,41,41
1537435210,45,45
1537519692,46,46
1537605374,48,48
1537693692,48,48
1537778409,48,48
1537867212,48,48
1537951938,47,47
1538040974,47,47
1538125932,47,47
1538210890,49,49
1538299454,45,45
1538384434,49,49
1538470335,47,47
1538559613,48,48
1538644811,49,49
1538729768,50,50
1538818809,49,49
1538903533,49,49
1538992097,46,46
1539077533,46,46
1539162977,45,45
1539251288,45,45
1539336489,46,46
1539421456,45,45
1539510257,47,47
1539595454,45,45
1539680649,45,45
1539769450,46,46
1539855136,46,46
1539940813,48,48
1540026736,41,41
1540115059,45,45
1540199778,48,48
1540288816,50,50
1540374490,48,48
1540459936,47,47
1540545375,46,46
1540631296,49,49
1540720568,49,49
1540806010,50,50
1540891941,48,48
1540977853,48,48
1541064016,47,47
1541149689,48,48
1541236095,47,47
1541325616,49,49
1541411047,47,47
1541496252,49,49
1541582171,50,50
1541671217,45,45
1541756889,45,45
1541842335,49,49
1541927777,50,50
1542017529,50,50
1542102253,49,49
1542187936,49,49
1542274575,49,49
1542360733,49,49
1542449293,49,49
1542534488,49,49
1542623051,47,47
1542708972,44,44
1542795851,47,47
1542880828,48,48
1542966765,46,46
1543051933,49,49
1543140975,47,47
1543225689,43,43
1543311612,47,47
1543397775,50,50
1543487770,47,47
1543572975,46,46
1543658169,46,46
1543746736,48,48
1543832409,50,50
1543917858,50,50
1544004257,47,47
1544091613,49,49
1544177053,47,47
1544266092,50,50
1544352013,50,50
1544437689,48,48
1544524569,50,50
1544608086,50,50
1544695231,49,49
1544782094,49,49
1544868018,48,48
1544953928,47,47
1545042734,45,45
1545129136,43,43
1545214328,46,46
1545300254,46,46
1545389048,44,44
1545474734,44,44
1545560168,42,42
1545646331,45,45
1545732729,43,43
1545818438,47,47
1545907212,49,49
1545992649,46,46
1546078094,47,47
1546167130,46,46
1546253288,42,42
1546338009,49,49
1546423218,49,49
1546512489,48,48
1546598169,44,44
1546683852,44,44
1546771524,46,46
1546856173,48,48
1546943529,46,46
1547029211,42,42
1547115611,44,44
1547202733,44,44
1547289611,49,49
1547376484,47,47
1547462895,45,45
1547548820,45,45
1547635451,46,46
1547721607,46,46
1547808009,49,49
1547894173,46,46
1547980090,44,44
1548069614,46,46
1548155290,41,41
1548241932,43,43
1548328332,47,47
1548414732,47,47
1548500169,48,48
1548585852,48,48
1548675364,49,49
1548760815,48,48
1548846494,46,46
1548932167,45,45
1549017853,47,47
1549104249,49,49
1549194010,50,50
1549279206,47,47
1549364655,50,50
1549450819,48,48
1549536735,47,47
1549625533,49,49
1549710491,44,44
1549798815,42,42
1549883533,40,40
1549972093,49,49
1550057049,49,49
1550142018,47,47
1550231055,49,49
1550315528,49,49
1550401222,49,49
1550489535,49,49
1550577853,48,48
1550663533,50,50
1550748735,47,47
1550835133,47,47
1550919852,49,49
1551008410,49,49
1551093608,50,50
1551179291,49,49
1551269052,50,50
1551354254,47,47
1551440411,47,47
1551525854,48,48
1551612249,49,49
1551697695,48,48
1551787205,48,48
1551872166,50,50
1551957127,47,47
1552045684,48,48
1552130422,49,49
1552218969,49,49
1552303685,49,49
1552392247,50,50
1552476728,49,49
1552561925,50,50
1552650727,41,41
1552736652,45,45
1552822086,42,42
1552910891,44,44
1552997293,42,42
1553081771,44,44
1553170328,42,42
1553255768,43,43
1553341208,44,44
1553429772,46,46
1553514490,45,45
1553602824,43,43
