DateTime,AddedIPs,RemovedIPs
1511385849,43,42
1511472254,39,82
1511561063,49,49
1511645531,46,0
1511734086,43,89
1511819527,47,0
1511904978,43,46
1511994255,43,87
1512080415,46,0
1512165857,45,46
1512251054,39,42
1512339854,39,81
1512425293,43,0
1512510495,40,40
1512602455,41,84
1512684502,44,0
1512771375,43,87
1512856809,42,0
1512942257,39,38
1513029372,44,87
1513117938,46,46
1513203372,45,0
1513289539,47,44
1513375706,43,44
1513461608,44,44
1513547286,44,47
1513636342,43,87
1513721773,43,0
1513808414,44,87
1513895300,47,47
1513980255,37,0
1514065452,36,30
1514154493,32,75
1514239448,40,0
1514324907,38,38
1514411533,42,82
1514497697,41,0
1514587211,40,81
1514673857,40,40
1514758817,38,0
1514794088,0,38
1514844966,35,0
1514930422,37,33
1515016573,41,38
1515105139,44,86
1515190099,46,0
1515275768,39,43
1515365306,40,82
1515450984,43,0
1515538345,45,88
1515624500,45,0
1515710896,42,45
1515795916,40,37
1515881776,35,44
1515970583,34,70
1516056009,43,0
1516141213,40,40
1516227133,41,41
1516313300,37,41
1516400416,39,78
1516485860,43,0
1516574184,36,79
1516658892,42,0
1516747693,44,86
1516833136,47,0
1516917856,44,46
1517007380,41,86
1517090895,44,0
1517179935,42,86
1517265611,46,0
1517351530,47,45
1517436262,46,48
1517526029,44,90
1517610976,44,0
1517697611,44,88
1517783534,43,0
1517868731,44,43
1517957301,45,89
1518042251,45,0
1518127697,43,44
1518214816,45,89
1518301217,45,45
1518388334,45,45
1518474728,46,0
1518561857,44,90
1518649462,45,45
1518732978,47,0
1518820580,43,90
1518906740,45,0
1518994578,42,87
1519080018,45,0
1519166414,44,44
1519253299,44,89
1519340424,49,49
1519426583,43,0
1519513710,35,78
1519598886,38,0
1519684574,41,35
1519771452,40,84
1519858579,46,46
1519943538,45,0
1520029216,46,44
1520118019,44,91
1520203449,47,0
1520289614,39,46
1520374568,44,38
1520460252,39,40
1520549299,43,88
1520634016,49,0
1520719696,45,46
1520809455,39,87
1520892495,43,0
1520981532,35,78
1521067462,38,0
1521152899,43,35
1521242179,42,88
1521326905,46,0
1521411606,43,45
1521500892,47,91
1521585858,48,0
1521670809,45,47
1521759851,47,93
1521846034,46,0
1521931450,37,44
1522016654,36,35
1522105932,46,86
1522191136,45,0
1522278740,43,88
1522365378,48,48
1522452021,47,47
1522536728,47,0
1522622656,49,47
1522707611,44,46
1522797860,45,92
1522883539,44,0
1522969691,39,37
1523056095,38,84
1523141057,45,0
1523229609,48,93
1523315051,49,0
1523400737,45,47
1523485693,46,45
1523575565,44,92
1523661132,46,0
1523746102,46,45
1523834420,47,94
1523919133,45,0
1524007686,45,90
1524093884,47,0
1524121218,0,47
1524180259,43,0
1524265208,46,41
1524350413,45,46
1524439692,46,93
1524525132,46,0
1524610575,47,45
1524696741,47,47
1524785532,43,91
1524871450,42,0
1524956892,38,36
1526573535,49,93
1526642651,49,0
1526728576,47,49
1526813534,41,45
1526902089,42,85
1526988412,45,0
1527074898,48,93
1527160576,50,0
1527245531,48,50
1527288497,0,48
1527294039,0,0
1527298592,0,0
1527302674,0,0
1527307712,0,0
1527311793,0,0
1527316112,0,0
1527320439,0,0
1527324753,0,0
1527329318,0,0
1527333873,45,0
1527338672,0,0
1527342989,0,0
1527347070,0,0
1527351395,0,0
1527355966,0,0
1527360510,0,0
1527364842,0,0
1527368675,0,0
1527373244,0,0
1527377792,0,0
1527381871,0,0
1527386191,0,0
1527390271,0,0
1527394590,0,0
1527398435,0,0
1527421688,44,45
1527507368,42,43
1527592102,43,40
1527680897,42,88
1527765856,47,0
1527850571,46,46
1527894505,0,47
1527958113,48,0
1527962913,0,0
1527967711,0,0
1527972271,0,0
1527976592,0,0
1527981395,0,0
1527985961,0,0
1527990752,0,0
1527995552,0,0
1528000355,0,0
1528004195,0,0
1528160168,50,98
1528218015,50,0
1528306574,48,98
1528318793,0,0
1528322769,0,0
1528330081,0,0
1528393210,48,0
1528478170,47,47
1528563369,41,45
1528652411,44,88
1528738196,48,0
1528823053,46,45
1528911610,49,98
1530258008,48,48
1530316334,45,0
1530402259,43,44
1530487934,44,42
1530573847,48,46
1530659540,44,47
1530748092,41,86
1530833785,48,0
1530920178,49,47
1531005383,45,48
1531091293,46,46
1531177450,48,46
1531266490,42,91
1531351452,45,0
1531440020,48,93
1531525214,48,0
1531611139,47,48
1531698010,43,90
1531783451,48,0
1531869369,46,44
1531957933,44,94
1532043382,45,0
1532128575,46,43
1532217851,41,89
1532302576,44,0
1532387772,46,41
1532477053,45,94
1532563227,46,0
1532646743,45,45
1532735777,49,95
1532820494,50,0
1532905690,43,50
1532994732,47,90
1533079939,47,0
1533164892,42,47
1533253694,43,85
1533338892,46,0
1533424336,43,42
1533513370,44,91
1533598333,49,0
1533684734,48,97
1533773051,47,47
1533858010,47,0
1533942732,46,46
1534031054,48,95
1534115767,49,0
1534204815,47,96
1534289536,50,0
1534374734,46,49
1534463776,50,97
1534548490,49,0
1534636814,48,97
1534722009,49,0
1534806731,50,49
1534895536,50,100
1534980252,50,0
1535065936,48,50
1535155458,50,98
1535240652,50,0
1535327533,47,97
1535412247,48,0
1535501291,49,97
1535587227,41,0
1535672653,40,40
1535758090,41,37
1535846658,46,91
1535931852,46,0
1536016578,43,43
1536105853,47,93
1536191053,48,0
