DateTime,AddedIPs,RemovedIPs
1539759638,78,170
1539768639,107,0
1539778237,30,170
1539788441,109,53
1539799837,227,0
1539811837,144,79
1539820836,241,110
1539831037,91,104
1539841837,64,85
1539852636,38,94
1539863437,39,93
1539873639,46,133
1539884436,87,315
1539895237,82,219
1539905437,115,173
1539914437,34,29
1539924036,105,57
1539935436,159,62
1539945039,81,87
1539954035,156,120
1539964236,113,141
1539973835,54,103
1539982236,34,133
1539991835,28,68
1540001435,45,135
1540011635,67,214
1540020035,94,140
1540029636,94,0
1540038036,73,178
1540047035,77,105
1540056036,79,44
1540065035,132,38
1540073437,154,55
1540082437,244,67
1540090837,216,105
1540099238,155,84
1540108837,62,102
1540116638,31,75
1540123837,14,0
1540134037,31,83
1540143038,54,219
1540152037,89,102
1540161037,80,92
1540169436,74,144
1540178435,59,40
1540187436,129,25
1540196436,88,26
1540206036,158,20
1540216836,114,62
1540225835,136,105
1540234836,121,117
1540245036,56,98
1540254035,25,81
1540263635,20,60
1540273235,28,95
1540283435,46,162
1540292435,45,306
1540301435,95,0
1540309835,40,183
1540318235,67,121
1540327237,99,78
1540337435,98,34
1540345835,78,62
1540354835,92,67
1540364032,176,98
1540372237,123,82
1540381235,84,139
1540390236,36,52
1540399235,29,106
1540406435,25,0
1540415435,60,215
1540423235,63,0
1540432235,63,77
1540442435,68,111
1540450834,113,236
1540460436,95,38
1540470034,91,32
1540479641,94,42
1540487447,78,0
1540496435,155,107
1540506035,106,77
1540514437,75,68
1540523435,36,98
1540532436,27,51
1540539635,29,0
1540547435,44,182
1540554634,45,127
1540562435,35,127
1540569634,69,108
1540576835,43,180
1540584634,48,0
1540591235,93,96
1540598435,104,45
1540605635,48,21
1540612834,84,21
1540621234,52,40
1540629034,152,70
1540636239,114,50
1540643434,87,53
1540651834,56,68
1540659635,27,59
1540667435,16,62
1540674034,25,78
1540681836,127,76
1540688434,67,69
1540695635,24,63
1540703438,53,75
1540710636,39,130
1540719035,40,64
1540726843,55,56
