DateTime,AddedIPs,RemovedIPs
1539750638,448,423
1539759638,421,457
1539768639,446,407
1539778237,409,515
1539788441,519,466
1539799837,596,767
1539811837,567,698
1539820836,562,486
1539831037,425,453
1539841837,450,582
1539852636,571,552
1539863437,565,524
1539873639,490,579
1539884436,522,516
1539895237,530,509
1539905437,536,548
1539914437,381,387
1539924036,476,458
1539935436,530,664
1539945039,463,490
1539954035,485,512
1539964236,472,519
1539973835,458,459
1539982236,399,398
1539991835,454,458
1540001435,398,451
1540011635,465,493
1540020035,469,371
1540029636,480,469
1540038036,419,417
1540047035,417,423
1540056036,435,429
1540065035,447,459
1540073437,520,392
1540082437,596,365
1540090837,505,436
1540099238,402,315
1540108837,366,406
1540116638,329,315
1540123837,281,286
1540134037,377,470
1540143038,415,441
1540152037,419,438
1540161037,375,457
1540169436,379,430
1540178435,429,375
1540187436,556,448
1540196436,430,546
1540206036,539,573
1540216836,482,549
1540225835,553,614
1540234836,516,484
1540245036,438,534
1540254035,424,450
1540263635,408,450
1540273235,402,517
1540283435,490,536
1540292435,468,473
1540301435,534,483
1540309835,416,408
1540318235,452,432
1540327237,490,408
1540337435,442,487
1540345835,433,450
1540354835,432,466
1540364032,509,486
1540372237,417,439
1540381235,527,446
1540390236,405,391
1540399235,389,384
1540406435,320,399
1540415435,427,431
1540423235,377,405
1540432235,433,471
1540442435,427,520
1540450834,502,402
1540460436,507,595
1540470034,558,514
1540479641,440,505
1540487447,444,381
1540496435,498,521
1540506035,458,461
1540514437,409,460
1540523435,436,428
1540532436,386,372
1540539635,374,355
1540547435,396,436
1540554634,400,367
1540562435,405,334
1540569634,347,372
1540576835,379,335
1540584634,315,378
1540591235,404,305
1540598435,357,325
1540605635,317,346
1540612834,341,389
1540621234,349,414
1540629034,453,423
1540636239,393,323
1540643434,382,387
1540651834,343,394
1540659635,381,370
1540667435,389,299
1540674034,317,324
1540681836,428,332
1540688434,324,306
1540695635,284,322
1540703438,311,368
1540710636,354,351
1540719035,454,385
1540726843,346,442
1540735835,476,491
1540744834,440,457
1540754435,466,547
1540762835,472,417
1540769435,394,409
1540776034,352,268
1540785034,411,465
1540794634,348,416
1540802435,382,360
1540810834,459,409
1540819235,337,412
1540827634,395,459
1540836634,520,429
1540845035,366,355
1540852236,444,356
1540858835,345,297
1540866636,373,397
1540873834,294,359
1540879834,329,290
1540888235,417,398
1540895442,436,420
1540903236,345,412
1540910434,326,350
1540916434,357,314
1540924235,316,353
1540930835,334,297
1540937434,347,299
1540944635,365,249
1540953034,265,372
1540959635,307,344
1540966835,340,359
1540974634,356,366
1540982434,371,411
1540990834,411,418
1540998634,435,481
1541006436,467,378
1541013634,323,337
1541020235,377,360
1541028035,443,356
1541035235,404,336
1541043634,304,358
1541049634,287,283
1541056834,368,355
1541065235,312,414
1541071834,289,345
1541079034,372,343
1541085634,355,358
