DateTime,Entries,UniqueIPs
1546776034,6024,6024
1546786234,5911,5911
1546795832,5965,5965
1546806033,5860,5860
1546816232,5867,5867
1546826432,5882,5882
1546836631,5766,5766
1546846831,5711,5711
1546857033,5704,5704
1546866633,5729,5729
1546877432,5694,5694
1546888833,5622,5622
1546899031,5581,5581
1546909231,5640,5640
1546918231,5653,5653
1546927831,5565,5565
1546939233,5436,5436
1546949433,5485,5485
1546961433,5400,5400
1546971033,5448,5448
1546980632,5397,5397
1546991432,5397,5397
1547002831,5286,5286
1547013030,5310,5310
1547023833,5290,5290
1547034634,5291,5291
1547046633,5171,5171
1547057433,5025,5025
1547068832,5017,5017
1547078433,5136,5136
1547088031,5202,5202
1547099431,5125,5125
1547111433,4977,4977
1547122832,4956,4956
1547133632,5003,5003
1547144432,5036,5036
1547155831,4975,4975
1547166031,4855,4855
1547176230,4862,4862
1547187630,4880,4880
1547199633,4768,4768
1547211033,4776,4776
1547221232,4831,4831
1547230232,4833,4833
1547239831,4743,4743
1547248832,4729,4729
1547258431,4744,4744
1547268031,4744,4744
1547279430,4613,4613
1547289032,4722,4722
1547298032,4744,4744
1547307032,4735,4735
1547316631,4712,4712
1547328031,4619,4619
1547338830,4562,4562
1547348430,4581,4581
1547357429,4665,4665
1547367033,4575,4575
1547377233,4640,4640
1547385633,4671,4671
1547395233,4640,4640
1547404832,4630,4630
1547415632,4574,4574
1547423432,4587,4587
1547433030,4556,4556
1547442630,4547,4547
1547453432,4497,4497
1547461833,4568,4568
1547472032,4481,4481
1547481032,4704,4704
1547502031,4657,4657
1547511631,4565,4565
1547521231,4639,4639
1547530829,4561,4561
1547541032,4677,4677
1547550632,4700,4700
1547562032,4607,4607
1547580031,4762,4762
1547599230,4855,4855
1547608829,4920,4920
1547626832,4853,4853
1547637032,4882,4882
1547645431,4861,4861
1547654432,4953,4953
1547674231,4766,4766
1547682630,4766,4766
1547692229,4840,4840
1547701229,4836,4836
1547711428,4715,4715
1547721632,4644,4644
1547731832,4721,4721
1547740831,4683,4683
1547749832,4728,4728
1547758831,4633,4633
1547767231,4656,4656
1547776829,4685,4685
1547785829,4684,4684
1547794830,4582,4582
1547803833,4631,4631
1547812832,4573,4573
1547821832,4568,4568
1547830232,4623,4623
1547841032,4536,4536
1547850630,4460,4460
1547859031,4521,4521
1547868030,4576,4576
1547878230,4436,4436
1547887832,4417,4417
1547896836,4526,4526
1547907031,4543,4543
1547916633,4643,4643
1547928030,4417,4417
1547937031,4417,4417
1547944830,4598,4598
1547954432,4653,4653
1547964031,4626,4626
1547973633,4566,4566
1547983837,4556,4556
1547992231,4586,4586
1548000630,4723,4723
1548010832,4760,4760
1548018631,4801,4801
1548027631,4842,4842
1548036031,4961,4961
1548043831,4909,4909
1548054029,4858,4858
1548061234,4961,4961
1548069631,4945,4945
1548079232,4927,4927
1548087634,4959,4959
1548097835,4921,4921
1548108034,4903,4903
1548116431,4953,4953
1548125429,4951,4951
1548135030,4877,4877
1548144035,4816,4816
1548153035,4853,4853
1548162032,4874,4874
1548170432,4854,4854
1548180031,4813,4813
1548189633,4731,4731
1548196830,4845,4845
1548205830,4945,4945
1548213031,4931,4931
1548222630,4901,4901
1548231631,4878,4878
1548240035,4883,4883
1548250232,4792,4792
1548259232,4771,4771
1548268231,4752,4752
1548278432,4705,4705
1548286831,4808,4808
1548295231,4859,4859
1548303033,4837,4837
1548313833,4708,4708
1548323433,4669,4669
1548332432,4688,4688
1548343232,4681,4681
1548352232,4641,4641
1548362431,4526,4526
1548371432,4492,4492
1548381030,4597,4597
1548390030,4549,4549
1548399029,4471,4471
1548408032,4454,4454
1548415831,4550,4550
1548424232,4514,4514
1548433230,4542,4542
1548443431,4379,4379
1548453031,4410,4410
1550099430,4005,4005
1550110216,5912,5912
1550124016,5502,5502
1550136618,5427,5427
1550148618,5454,5454
1550177417,5027,5027
1550190015,5143,5143
1550201416,5321,5321
1550213414,5211,5211
1550226018,5067,5067
1550239218,5054,5054
1550251818,4970,4970
1550264418,4987,4987
1550275817,5055,5055
1550288416,5019,5019
1550302815,4867,4867
1550316016,4666,4666
1550329817,4528,4528
1550343016,4451,4451
1550355016,4413,4413
1550366415,4517,4517
1550377815,4546,4546
1550389815,4252,4252
1550401218,4239,4239
1550412617,4260,4260
1550424617,4255,4255
1550435416,4211,4211
1550445616,4331,4331
1550457014,4580,4580
1550469015,4512,4512
1550481617,4227,4227
1550494218,4264,4264
1550506216,4255,4255
1550517617,4351,4351
1550528416,4419,4419
1550539215,4436,4436
1550550015,4496,4496
1550562014,4429,4429
1550574617,4439,4439
1550585416,4555,4555
1550598616,4523,4523
1550610616,4558,4558
1550622014,4628,4628
1550632815,4606,4606
1550644214,4672,4672
1550655018,4711,4711
1550665218,4747,4747
1550677216,4686,4686
1550687417,4615,4615
1550698217,4649,4649
1550707816,4696,4696
1550718615,4763,4763
1550730615,4687,4687
1550741417,4630,4630
1550752217,4642,4642
1550763616,4625,4625
1550776216,4516,4516
1550788815,4348,4348
1550799614,4455,4455
1550810414,4513,4513
1550821815,4450,4450
1550832616,4448,4448
1550843417,4485,4485
1550855416,4355,4355
1550865616,4345,4345
1550875815,4371,4371
1550886614,4374,4374
1550896814,4409,4409
1550908213,4420,4420
1550918417,4425,4425
1550929217,4402,4402
1550940017,4434,4434
1550952016,4355,4355
1550961615,4345,4345
1550971815,4462,4462
1550981415,4481,4481
