DateTime,AddedIPs,RemovedIPs
1546939240,9,11
1546949441,8,11
1546961444,13,8
1546971046,13,8
1546980641,11,11
1546991441,14,9
1547002849,10,22
1547013039,12,0
1547023839,11,8
1547034641,11,13
1547046640,10,18
1547057440,11,10
1547068841,9,10
1547078453,11,9
1547088040,8,10
1547099439,11,12
1547111440,11,11
1547122841,14,10
1547133640,8,14
1547144441,8,10
1547155841,9,12
1547166040,9,12
1547176239,7,6
1547187639,9,13
1547199640,11,22
1547211040,10,9
1547221240,10,0
1547230240,13,8
1547239839,11,4
1547248840,10,12
1547258440,8,11
1547268039,8,12
1547279439,12,11
1547289053,14,25
1547298040,8,0
1547307040,9,10
1547316639,9,7
1547328040,7,11
1547338843,12,10
1547348448,12,11
1547357457,14,12
1547367039,14,8
1547377243,8,9
1547385639,10,12
1547395240,11,9
1547404841,10,9
1547415639,6,13
1547423440,12,10
1547433040,10,16
1547442638,8,13
1547453438,11,0
1547461847,9,21
1547472056,9,9
1547481040,9,10
1547502040,11,8
1547511640,7,8
1547521239,13,10
1547530838,13,13
1547541045,12,11
1547550639,9,10
1547562041,10,13
1547571040,10,8
1547580040,13,13
1547589040,0,11
1547599239,12,12
1547608839,11,0
1547618444,0,18
1547626839,10,12
1547637040,9,0
1547645439,11,11
1547654449,11,11
1547664640,0,10
1547674240,13,12
1547682639,11,14
1547692240,9,0
1547701239,8,9
1547711439,9,13
1547721639,10,13
1547731840,12,12
1547740838,12,8
1547749843,13,9
1547758839,8,8
1547767240,10,0
1547776838,8,9
1547785838,8,9
1547794841,10,11
1547803839,4,0
1547812839,13,12
1547821841,13,12
1547830243,9,11
1547841040,12,11
1547850639,12,8
1547859039,12,12
1547868041,11,8
1547878239,13,10
1547887838,6,11
1547896847,8,12
1547907038,10,7
1547916640,9,11
1547928038,10,7
1547937039,10,8
1547944842,11,13
1547954458,5,13
1547964039,9,13
1547973641,10,10
1547983846,13,15
1547992239,14,11
1548000638,7,10
1548010845,7,7
1548018640,10,0
1548027640,10,14
1548036041,7,11
1548043843,12,10
1548054039,10,10
1548061242,12,10
1548069639,11,10
1548079242,8,7
1548087642,10,0
1548097844,10,9
1548108045,9,15
1548116440,10,10
1548125443,7,14
1548135041,9,0
1548144044,9,10
1548153060,7,11
1548162040,9,10
1548170440,8,11
1548180039,12,11
1548189641,10,0
1548196839,9,10
1548205838,8,10
1548213042,11,0
1548222640,9,0
1548231642,9,6
1548240046,6,23
1548250241,8,0
1548259240,8,10
1548268239,11,10
1548278440,7,0
1548286840,10,10
1548295240,10,17
1548303047,8,0
1548313844,7,10
1548323439,11,9
1548332439,6,13
1548343255,8,9
1548352241,12,10
1548362438,6,10
1548371440,10,9
1548381039,11,7
1548390038,10,11
1548399038,10,10
1548408043,13,11
1548415844,10,7
1548424239,10,14
1548433237,8,10
1548443443,13,10
1548453039,13,11
1550078440,0,858
1550093436,23,0
1550099438,26,0
1550110226,17,0
1550124025,26,0
1550136625,24,0
1550148626,19,0
1550163626,21,0
1550177425,17,0
1550190024,16,0
1550201425,20,0
1550213423,24,0
1550226024,21,0
1550239225,20,0
1550251824,14,0
1550264425,17,0
1550275824,15,0
1550288424,13,0
1550302824,13,0
1550316023,17,0
1550329824,13,0
1550343023,11,0
