DateTime,AddedIPs,RemovedIPs
1552973529,6,6
1552974004,7,7
1552974488,6,6
1552974965,11,10
1552975444,7,4
1552975930,5,7
1552976405,8,11
1552976887,12,13
1552977605,9,10
1552978085,11,7
1552978566,6,11
1552979047,8,8
1552979527,10,8
1552980005,7,7
1552980733,6,10
1552981204,9,5
1552981930,6,9
1552982415,11,8
1552982887,9,7
1552983365,6,6
1552983845,4,4
1552984325,1,0
1552984804,0,1
1553029214,1,1
1553029686,1,1
1553044088,1,10
1553044568,9,6
1553045045,9,8
1553045525,5,8
1553046004,9,7
1553046488,6,9
1553046965,11,8
1553047690,7,8
1553048163,8,15
1553048648,10,9
1553049126,9,6
1553049605,8,6
1553050087,5,12
1553050564,9,5
1553051044,7,11
1553051526,13,9
1553052004,12,7
1553052491,3,3
1553052966,7,10
1553053444,7,6
1553053924,6,3
1553054418,6,12
1553054885,9,8
1553055609,11,10
1553056086,7,7
1553056568,8,13
1553057045,11,5
1553057525,7,8
1553058029,6,11
1553058486,9,5
1553058965,5,8
1553059446,8,10
1553059929,10,6
1553060405,10,8
1553060885,6,6
1553061365,9,7
1553061845,4,6
1553062326,10,10
1553062806,6,5
1553063290,6,11
1553063768,11,9
1553064246,6,8
1553064726,8,9
1553065215,9,7
1553065691,6,8
1553066164,10,9
1553066645,6,4
1553067128,4,8
1553067605,8,2
1553068087,5,9
1553068565,9,7
1553069046,4,9
1553069526,11,10
1553070005,9,2
1553070489,0,1
1553071186,1,0
1553088489,1,1
1553089444,1,1
1553095690,1,1
1553096890,1,1
1553130246,0,8
1553130727,10,9
1553131204,9,7
1553131687,8,10
1553132165,8,10
1553132648,13,14
1553133125,13,7
1553133628,6,9
1553134087,11,10
1553134564,10,10
1553135048,10,8
1553135527,9,4
1553136004,6,9
1553136489,7,7
1553136967,6,4
1553137445,6,8
1553137928,9,10
1553138404,12,8
1553138886,11,11
1553139366,9,8
1553139845,8,4
1553140326,4,7
1553140815,9,9
1553141288,7,8
1553141766,3,5
1553142246,5,9
1553142724,8,8
1553143207,9,12
1553143684,10,5
1553144166,6,8
1553144645,8,11
1553145127,8,5
1553145605,6,6
1553146088,6,7
1553146564,9,11
1553147045,10,9
1553147525,9,8
1553148015,7,7
1553148487,8,8
1553148971,9,12
1553149445,10,9
1553149928,8,4
1553150405,6,9
1553150885,7,7
1553151365,9,7
1553151845,7,10
1553152325,6,4
1553152805,4,10
1553153285,6,5
1553153764,7,4
1553154244,3,4
1553154726,6,9
1553155215,12,10
1553155691,5,4
1553156166,7,5
1553156646,3,1
1553157126,0,1
1553157608,1,0
1553210169,0,1
1553210645,1,0
1553216647,0,4
1553217127,7,6
1553217608,7,6
1553218088,8,8
1553218564,6,6
1553219046,9,7
1553219525,8,10
1553220029,13,8
1553220486,6,9
1553220967,8,8
