DateTime,AddedIPs,RemovedIPs
1510547401,0,1
1510547701,1,0
1510617901,0,2
1510790402,0,1
1511049602,0,1
1511308802,0,1
1511481601,0,1
1512518701,0,1
1512535202,0,1
1512535502,1,0
1512708602,0,1
1512708901,1,0
1516295102,1,1
1516298401,1,0
1516528801,1,1
1516532402,1,1
1516586702,1,1
1516590002,1,1
1516622701,1,1
1516626001,1,0
1517298602,1,1
1517302201,1,0
1517309402,1,1
1517313002,1,0
1517352601,0,1
1517352901,1,0
1517707202,0,1
1517707501,1,0
1517830201,1,1
1517834102,1,1
1517949901,1,1
1517953202,1,1
1518032402,1,1
1518036002,1,0
1518054001,1,1
1518057602,1,0
1518410701,1,1
1518414301,1,0
1518439502,1,1
1518443101,1,0
1518473402,2,1
1518552002,0,1
1518552301,1,0
1518689102,0,1
1518689401,1,0
1518804902,0,1
1518808801,1,0
1518823202,1,1
1518827102,1,1
1518912001,0,1
1518943502,1,1
1518946502,1,0
1519257602,0,1
1519307701,1,1
1519311302,1,0
1519358102,0,1
1519359001,1,0
1519434302,0,1
1519434601,1,0
1519561201,0,1
1519561801,1,0
1519745402,1,1
1519749002,1,1
1519839602,1,1
1519843202,1,0
1519846802,1,0
1519948802,0,2
1520640302,0,1
1520714701,1,1
1520718302,1,0
1520726701,0,1
1521072301,0,2
1521590401,0,1
1521936002,0,1
1522454702,0,2
1523318702,0,1
1524093602,0,0
1524097202,0,0
1524123902,0,0
1524129302,1,1
1524932702,1,0
1524936302,1,0
1526309101,0,0
1526775002,0,1
1527277202,1,2
1527277502,2,0
1527289202,0,0
1527291602,0,0
1527298202,0,0
1527300002,0,0
1527301202,0,0
1527302402,0,0
1527303602,0,0
1527304801,0,0
1527305701,0,0
1527307201,0,0
1527308401,0,0
1527310202,0,0
1527311702,0,0
1527313202,0,0
1527314702,0,0
1527315901,0,0
1527316802,0,0
1527318601,0,0
1527321002,0,0
1527321902,0,0
1527323101,0,0
1527324302,0,0
1527325502,0,0
1527326401,0,0
1527327302,0,0
1527331201,0,0
1527332402,0,0
1527333602,0,0
1527334801,0,0
1527336002,0,0
1527337201,0,0
1527338402,0,0
1527339602,0,0
1527340802,0,0
1527342602,0,0
1527343802,0,0
1527346502,0,0
1527348602,0,0
1527351301,0,0
1527353101,0,0
1527354602,0,0
1527355802,0,0
1527357002,0,0
1527358202,0,0
1527360002,0,0
1527361802,0,0
1527362702,0,0
1527365402,0,0
1527368102,0,2
1527369902,0,0
1527371702,0,0
1527375902,0,0
1527377401,0,0
1527378902,0,0
1527381602,0,0
1527382802,0,0
1527384002,0,0
1527385801,0,0
1527387001,0,0
1527388201,0,0
1527390002,0,0
1527391202,0,0
1527393001,0,0
1527394202,0,0
1527396302,0,0
1527397202,0,0
1527399302,0,0
1527552001,0,1
1527575401,1,1
1527579001,1,0
1527912602,0,0
1527914702,0,0
1527916801,0,0
1527918902,0,0
1527923402,0,0
1527925202,0,0
1527926102,0,0
1527927602,0,0
1527928801,0,0
1527929701,0,0
1527931201,0,0
1527933602,0,0
1527934501,0,0
1527935701,0,0
1527936901,0,0
1527939301,0,0
1527940501,0,0
1527941701,0,0
1527943802,0,0
1527945002,0,0
1527946202,0,0
1527947102,0,0
1527948302,0,0
1527949201,0,0
1527950401,0,0
1527951601,0,0
1527952802,0,0
1527953701,0,0
1527955202,0,0
1527956701,0,0
1527957902,0,0
1527958802,0,0
1527960302,0,0
1527961502,0,0
1527962701,0,0
1527963902,0,0
1527965101,0,0
1527966302,0,0
1527967502,0,0
1527968702,0,0
1527969902,0,0
1527970802,0,0
1527972002,0,0
1527972902,0,0
1527973802,0,0
1527975001,0,0
1527976202,0,0
1527977402,0,0
1527978902,0,0
1527980102,0,0
1527981301,0,0
1527982201,1,1
1527983401,0,0
1527984601,0,0
1527987002,1,0
1527988202,0,0
1527989402,0,0
1527990602,0,0
1527991502,0,0
1527993002,0,0
1527993902,0,0
1527995101,0,0
1527996302,0,0
1527997502,0,0
1527998701,0,0
1527999901,0,0
1528001402,0,0
1528002602,0,0
