DateTime,AddedIPs,RemovedIPs
1529329934,50,50
1529418014,62,62
1529506093,91,91
1529580735,2,2
1529595618,55,55
1529683457,54,54
1529698102,2,2
1529771539,59,59
1529860105,33,33
1529933779,48,48
1529948416,1,1
1530021621,51,51
1530036261,1,1
1530109690,50,50
1530198029,50,50
1530256570,1,1
1530286836,29,29
1530301455,1,1
1530374896,46,46
1530419291,1,1
1530463209,48,48
1530522328,1,1
1530551531,63,63
1530624744,54,54
1530713554,69,69
1530801609,51,51
1530889694,45,45
1530978008,59,59
1531066410,43,43
1531154650,51,51
1531243468,186,186
1531316902,65,65
1531346443,1,1
1531375694,1,1
1531405231,43,43
1531493313,34,34
1531581611,91,91
1531670441,33,33
1531729224,1,1
1531758742,51,51
1531847067,35,35
1531935143,47,47
1532008843,41,41
1532097382,34,34
1532170573,1,1
1532185222,44,44
1532214508,1,1
1532258655,1,1
1532273296,40,40
1532287952,1,1
1532361868,48,48
1532449955,55,55
1532538266,42,42
1532553146,1,1
1532582434,1,1
1532611954,39,39
1532656354,1,1
1532700260,61,61
1532714889,1,1
1532788571,37,37
1532876654,48,48
1532964492,63,63
1533008654,1,1
1533053076,41,41
1533097456,1,1
1533141382,57,57
1533229716,30,30
1533317549,45,45
1533391469,49,49
1533420981,1,1
1533464902,1,1
1533479533,67,67
1533494177,2,2
1533509065,1,1
1533568101,41,41
1533582751,1,1
1533656907,70,70
1533671571,1,1
1533744984,162,162
1533759611,1,1
1533832829,83,83
1533921147,136,136
1533950652,1,1
1533994594,105,105
1534023855,1,1
1534082899,59,59
1534141691,0,0
1534170971,57,57
1534200270,1,1
1534215152,1,1
1534259293,66,66
1534273933,2,2
1534347138,84,84
1534420852,1,1
1534435453,63,63
1534523540,81,81
1534538172,1,1
1534552808,1,1
1534567473,2,2
1534611876,87,87
1534699690,60,60
1534774121,56,56
1534818012,1,1
1534847548,1,1
1534862174,50,50
1534876810,1,1
1534891457,2,2
1534950256,55,55
1534964897,1,1
1535039056,110,110
1535112733,1,1
1535127376,71,71
1535215456,58,58
1535303292,230,230
1535376493,1,1
1535391398,229,229
1535465061,176,176
1535553143,232,232
1535641714,284,284
1535729798,258,258
1535818105,205,205
1535832746,1,1
1535906429,131,131
1535994252,116,116
1536082348,82,82
1536156045,74,74
1536170659,1,1
1536244830,82,82
1536259455,2,2
1536333627,83,83
1536362919,1,1
1536421468,88,88
1536450991,1,1
1536510274,69,69
1536598341,97,97
1536672991,81,81
1536761538,163,163
1536834753,1,1
1536849614,226,226
1536938915,205,205
1537012865,1,1
1537027507,128,128
1537056981,1,1
1537116261,126,126
1537131143,1,1
1537176015,1,1
1537190930,1,1
1537205796,107,107
1537249931,1,1
1537264579,1,1
1537279461,104,104
1537294337,1,1
1537323866,2,2
1537338760,1,1
1537368251,104,104
1537412439,1,1
1537456570,81,81
1537471218,1,1
1537530027,1,1
1537544652,77,77
1537633230,116,116
1537721056,91,91
1537809392,91,91
1537838665,1,1
1537867937,1,1
1537882817,93,93
1537897453,1,1
1537971630,173,173
1538060674,164,164
1538149954,164,164
1538164568,1,1
1538238013,120,120
1538311452,1,1
1538326096,77,77
1538414183,90,90
1538443940,1,1
1538473212,4,4
1538487858,93,93
1538576431,87,87
1538605696,1,1
1538664509,78,78
1538723793,1,1
1538753052,82,82
