DateTime,AddedIPs,RemovedIPs
1531273846,22,12
1531317058,29,30
1531360244,41,17
1531403458,31,32
1531446651,13,12
1531489850,27,50
1531533051,16,19
1531576250,20,26
1531619662,6679,16
1531662711,826,28
1531705919,19,15
1531744604,20,31
1531787739,41,7470
1531830958,19,20
1531874150,15,24
1531917353,26,31
1531960538,20,15
1532003734,24,24
1532046943,27,25
1532090139,22,29
1532133338,11,26
1532176540,16,23
1532219743,15,11
1532262961,20,23
1532306155,17,21
1532349359,18,22
1532392544,16,17
1532435747,17,22
1532478948,18,15
1532522145,17,21
1532565342,19,16
1532608565,21,26
1532651738,22,18
1532694949,25,29
1532738151,16,21
1532781347,14,26
1532826349,14,18
1532869550,20,25
1532912745,17,21
1532955947,18,16
1532999147,17,8
1533042346,24,23
1533085544,13,19
1533128744,35,21
1533171955,25,19
1533215149,14,16
1533258349,14,19
1533301552,16,27
1533344746,12,13
1533387942,19,18
1533431145,17,17
1533474351,24,22
1533517545,18,10
1533560760,25,32
1533603949,15,21
1533647158,24,27
1533690360,16,11
1533733556,19,24
1533776756,14,19
1533819958,18,22
1533863141,26,18
1533906364,17,25
1533949556,15,20
1533992742,19,32
1534035939,8,19
1534079146,21,18
1534122360,21,22
1534165541,22,31
1534208746,19,23
1534251945,23,16
1534295153,12,13
1534338357,22,23
1534381551,34,19
1534424743,22,20
1534467950,23,16
1534511149,29,23
1534554358,19,19
1534597550,13,27
1534640753,22,16
1534683965,14,27
1534727149,18,11
1534770354,30,19
1534813551,20,17
1534856775,26,16
1534899959,22,19
1534943169,17,20
1534986370,19,11
1535029562,23,34
1535072756,16,35
1535115954,21,27
1535159165,16,13
1535202354,23,27
1535245547,7,20
1535288753,25,29
1535331953,11,19
1535375162,32,24
1535418371,36,13
1535461557,28,21
1535504756,20,18
1535547967,23,25
1535591152,21,35
1535634356,21,28
1535677561,18,29
1535720769,26,25
1535763963,34,28
1535807161,39,21
1535850366,21,19
1535893564,17,23
1535936756,16,19
1535979969,24,24
1536023159,18,18
1536066373,16,16
1536109562,17,17
1536152756,20,14
1536195971,21,15
1536239161,25,24
1536282357,18,21
1536325568,25,20
1536368771,20,22
1536411970,20,25
1536455164,17,20
1536498359,18,24
1536541578,23,19
1536584758,18,32
1536627983,28,21
1536671171,37,16
1536714383,19,17
1536757572,15,24
1536800768,19,18
1536843977,19,25
1536887172,19,28
1536930381,13,30
1536973573,26,22
1537016769,22,25
1537059976,13,23
1537103170,15,25
1537146370,17,20
1537189564,16,24
