DateTime,Entries,UniqueIPs
1531273846,1569,1569
1531317058,1568,1568
1531360244,1592,1592
1531403458,1591,1591
1531446651,1592,1592
1531489850,1569,1569
1531533051,1566,1566
1531576250,1560,1560
1531619662,8223,8223
1531662711,9021,9021
1531705919,9025,9025
1531744604,9014,9014
1531787739,1585,1585
1531830958,1584,1584
1531874150,1575,1575
1531917353,1570,1570
1531960538,1575,1575
1532003734,1575,1575
1532046943,1577,1577
1532090139,1570,1570
1532133338,1555,1555
1532176540,1548,1548
1532219743,1552,1552
1532262961,1549,1549
1532306155,1545,1545
1532349359,1541,1541
1532392544,1540,1540
1532435747,1535,1535
1532478948,1538,1538
1532522145,1534,1534
1532565342,1537,1537
1532608565,1532,1532
1532651738,1536,1536
1532694949,1532,1532
1532738151,1527,1527
1532781347,1515,1515
1532826349,1511,1511
1532869550,1506,1506
1532912745,1502,1502
1532955947,1504,1504
1532999147,1513,1513
1533042346,1514,1514
1533085544,1508,1508
1533128744,1522,1522
1533171955,1528,1528
1533215149,1526,1526
1533258349,1521,1521
1533301552,1510,1510
1533344746,1509,1509
1533387942,1510,1510
1533431145,1510,1510
1533474351,1512,1512
1533517545,1520,1520
1533560760,1513,1513
1533603949,1507,1507
1533647158,1504,1504
1533690360,1509,1509
1533733556,1504,1504
1533776756,1499,1499
1533819958,1495,1495
1533863141,1503,1503
1533906364,1495,1495
1533949556,1490,1490
1533992742,1477,1477
1534035939,1466,1466
1534079146,1469,1469
1534122360,1468,1468
1534165541,1459,1459
1534208746,1455,1455
1534251945,1462,1462
1534295153,1461,1461
1534338357,1460,1460
1534381551,1475,1475
1534424743,1477,1477
1534467950,1484,1484
1534511149,1490,1490
1534554358,1490,1490
1534597550,1476,1476
1534640753,1482,1482
1534683965,1469,1469
1534727149,1476,1476
1534770354,1487,1487
1534813551,1490,1490
1534856775,1500,1500
1534899959,1503,1503
1534943169,1500,1500
1534986370,1508,1508
1535029562,1497,1497
1535072756,1478,1478
1535115954,1472,1472
1535159165,1475,1475
1535202354,1471,1471
1535245547,1458,1458
1535288753,1454,1454
1535331953,1446,1446
1535375162,1454,1454
1535418371,1477,1477
1535461557,1484,1484
1535504756,1486,1486
1535547967,1484,1484
1535591152,1470,1470
1535634356,1463,1463
1535677561,1452,1452
1535720769,1453,1453
1535763963,1459,1459
1535807161,1477,1477
1535850366,1479,1479
1535893564,1473,1473
1535936756,1470,1470
1535979969,1470,1470
1536023159,1470,1470
1536066373,1470,1470
1536109562,1470,1470
1536152756,1476,1476
1536195971,1482,1482
1536239161,1483,1483
1536282357,1480,1480
1536325568,1485,1485
1536368771,1483,1483
1536411970,1478,1478
1536455164,1475,1475
1536498359,1469,1469
1536541578,1473,1473
1536584758,1459,1459
1536627983,1466,1466
1536671171,1487,1487
1536714383,1489,1489
1536757572,1480,1480
1536800768,1481,1481
1536843977,1475,1475
1536887172,1466,1466
1536930381,1449,1449
1536973573,1453,1453
1537016769,1450,1450
1537059976,1440,1440
1537103170,1430,1430
1537146370,1427,1427
1537189564,1419,1419
1537232768,1418,1418
1537275973,1416,1416
1537319170,1417,1417
1537362371,1419,1419
1537405561,1437,1437
1537448762,1438,1438
1537491963,1439,1439
1537535165,1432,1432
1537578354,1426,1426
1537621558,1436,1436
1537664754,1429,1429
1537707954,1425,1425
1537751159,1438,1438
1537794351,1433,1433
1537837551,1452,1452
1537880750,1453,1453
1538081457,1488,1488
1538780758,1419,1419
1538824095,1401,1401
1538867148,1411,1411
1538909512,1393,1393
1538952652,1403,1403
1538995976,1407,1407
1539039051,1450,1450
1539082253,1464,1464
1539125456,1471,1471
1539168767,1459,1459
1539211857,1449,1449
1539255062,1446,1446
1539298245,1453,1453
1539341512,1389,1389
1539384652,1396,1396
1539427906,1391,1391
1539471030,1390,1390
1539514292,1384,1384
1539557429,1384,1384
1539600722,1384,1384
1539643829,1377,1377
1539687027,1383,1383
1539730224,1391,1391
1539773431,1383,1383
1539816624,1392,1392
1539859876,1393,1393
1539903027,1401,1401
1539946312,1406,1406
1539989418,1406,1406
1540032639,1398,1398
1540075824,1391,1391
1540119102,1387,1387
1540162219,1387,1387
1540205484,1379,1379
1540248618,1381,1381
1540291861,1378,1378
1540335027,1404,1404
1540378320,1405,1405
1540421435,1416,1416
1540439432,1422,1422
1540526729,1427,1427
1540570820,1433,1433
