DateTime,AddedIPs,RemovedIPs
1553265723,6,7
1553266323,8,0
1553266924,5,9
1553268123,7,0
1553269323,2,12
1553269923,6,6
1553270523,6,0
1553271124,7,15
1553271724,6,0
1553272323,7,14
1553272923,4,5
1553273522,9,8
1553274123,10,0
1553275323,2,17
1553275923,3,0
1553276523,7,4
1553277723,5,0
1553278922,1,21
1553280123,13,5
1553281323,10,14
1553282523,27,0
1553283723,6,22
1553284923,6,0
1553285523,13,9
1553286123,11,14
1553287324,9,0
1553287923,7,13
1553288523,7,9
1553289123,12,5
1553289722,6,0
1553290922,5,0
1553292123,6,19
1553292723,7,0
1553293323,5,3
1553293923,4,0
1553294523,1,0
1553295723,5,3
1553296923,7,20
1553298122,1,0
1553298723,7,1
1553299324,3,0
1553299923,4,10
1553300522,6,11
1553301123,1,7
1553301723,6,6
1553302923,2,11
1553303523,1,0
1553304123,2,5
1553305324,8,0
1553306523,17,13
1553307722,11,7
1553308322,7,3
1553308923,3,7
1553309523,7,0
1553310123,10,8
1553310723,6,7
1553311323,4,5
1553311923,6,0
1553312523,6,0
1553313723,3,21
1553314923,7,3
1553316123,5,6
1553316722,5,4
1553317324,6,4
1553318522,5,5
1553319723,4,14
1553320923,8,12
1553322123,4,0
1553322723,6,7
1553323323,4,10
1553324522,58,16
1553325123,6,0
1553325723,12,8
1553326323,8,0
1553326923,7,11
1553327523,8,0
1553328124,9,16
1553329323,4,12
1553329923,7,0
1553330523,6,0
1553331725,9,12
1553332923,4,12
1553334123,4,13
1553335323,8,4
1553336522,5,10
1553337723,6,14
1553338923,10,14
1553340124,6,17
1553340723,10,0
1553341323,3,0
1553342523,4,21
1553343124,10,0
1553343723,3,0
1553344923,5,14
1553345523,6,7
1553346123,3,0
1553347323,6,11
1553347923,7,12
1553348523,13,10
1553349724,2,7
1553350923,13,7
1553351523,5,9
1553352124,6,4
1553352725,13,16
1553353323,3,0
1553354523,4,15
1553355724,12,18
1553356923,8,9
1553357523,5,12
1553358123,2,9
1553358723,1,7
1553359323,1,2
1553360523,6,8
1553361123,3,7
1553361723,6,9
1553362922,6,20
1553364123,3,3
1553365324,7,5
1553365923,5,11
1553366523,1,0
1553367123,3,7
1553367725,5,12
1553368923,8,0
1553369523,6,5
1553370122,7,0
1553371324,27,22
1553372523,9,31
1553373723,2,2
1553374324,8,7
1553374924,9,2
1553375523,6,3
1553376123,2,0
1553377322,4,26
1553378524,6,3
1553379723,2,16
1553380922,6,0
1553382123,7,11
1553382723,7,4
1553383322,12,0
1553383925,3,0
1553384522,4,6
1553385725,8,5
1553386923,2,19
1553387522,3,0
1553388123,8,1
1553389322,8,7
1553389922,5,0
1553390523,3,7
1553391123,5,0
1553391722,9,0
1553392925,2,15
1553393523,4,0
1553394123,8,7
1553394723,1,0
1553395323,2,0
1553395922,9,8
1553396524,3,12
1553397123,3,0
1553397723,3,0
1553398922,4,13
1553399523,3,0
1553400123,6,5
1553401323,2,16
1553402524,8,0
1553403123,4,11
1553403724,1,9
1553404323,3,12
1553404922,1,7
1553405524,4,0
1553406123,8,8
1553407323,6,26
1553407923,4,15
1553408523,7,4
1553409722,5,9
1553410923,12,9
1553411523,6,0
1553412123,7,0
1553413323,4,31
1553413923,4,0
1553414524,5,13
1553415123,10,0
1553415723,6,6
1553416324,7,9
1553416923,3,0
1553417523,2,6
1553418123,5,5
1553418723,8,0
1553419323,7,5
1553420523,4,10
1553421723,6,19
1553422923,3,0
1553424122,5,8
1553425923,8,7
1553426522,4,0
1553427123,8,3
1553427723,5,10
1553428323,6,0
1553428923,8,19
1553430123,5,21
1553431323,4,0
1553432523,5,4
1553433724,7,22
1553434923,4,12
1553435523,11,0
1553436123,7,0
1553436724,4,7
1553437323,4,0
1553437923,7,5
1553438523,0,5
1553439123,3,0
1553439724,5,0
1553440924,5,25
1553441523,1,39
1553442123,5,0
1553442723,8,9
1553443323,5,3
1553443923,8,0
1553444523,5,0
1553445123,1,6
1553445723,10,4
1553446323,2,0
1553446923,1,3
1553448123,4,8
1553449323,7,0
1553450523,0,6
1553451723,2,0
1553452923,6,5
1553454123,5,15
1553454723,10,0
1553455323,6,6
1553456523,5,3
1553457723,10,15
1553458324,2,0
1553458923,4,9
1553460122,4,5
1553461323,5,67
1553462522,4,18
1553463724,11,8
1553464923,5,15
1553465522,5,0
1553466123,2,1
1553467323,10,0
1553468524,2,23
1553470323,5,0
1553470923,5,0
1553472124,0,10
1553473323,1,9
1553473922,4,6
1553474522,4,8
1553475723,3,5
1553476322,5,5
1553476923,7,0
1553478123,6,21
1553479323,10,11
1553480523,3,0
1553481123,4,15
1553481723,9,6
1553482922,9,10
1553484123,4,17
1553484722,9,0
1553485323,9,0
1553486524,12,8
1553487123,4,8
1553487723,5,1
1553488323,6,4
1553488923,7,5
1553489523,4,0
1553490123,7,12
1553490723,11,0
1553491323,6,7
1553491924,7,6
1553492523,6,0
1553493723,6,13
1553494323,8,12
1553494923,6,0
1553496124,12,13
1553497324,1,7
1553498524,9,17
1553499723,7,7
1553500923,14,13
1553502123,7,0
1553503323,13,19
1553503923,15,0
1553504524,9,8
1553505723,8,6
1553506322,7,8
1553506922,9,0
1553507523,7,13
1553508123,6,13
1553509323,7,16
1553510523,9,0
1553511123,8,11
1553511724,15,0
1553512323,11,11
1553512923,6,8
1553513523,10,0
1553514122,9,0
1553514723,13,6
1553515323,9,8
1553515925,15,0
1553516524,4,10
1553517723,10,12
1553518923,16,19
1553520124,39,21
1553520723,9,0
1553521322,4,12
1553522524,8,4
1553523723,1,3
1553524322,4,3
1553524922,6,0
1553526123,6,9
1553526724,7,11
1553527323,6,7
1553528523,9,17
1553529724,9,14
1553530323,6,17
1553530923,6,24
1553532123,5,3
1553532723,6,0
1553533323,3,0
1553534522,7,21
1553535122,4,0
1553535723,3,9
1553536923,6,11
1553538122,10,3
1553538723,12,4
1553539323,7,0
1553540523,8,20
1553541723,8,0
1553542923,6,22
1553544123,3,0
1553545323,2,17
1553547123,6,5
1553547722,5,7
1553548924,10,18
1553549523,9,6
1553550123,5,4
1553550723,3,0
1553551324,8,7
1553552523,10,5
1553553723,6,14
1553554923,9,6
1553555523,2,0
1553556123,8,5
1553557324,5,4
1553557923,10,20
1553558525,4,6
1553559122,6,5
1553559723,3,4
1553560923,6,0
1553562123,5,19
1553562723,5,0
1553563323,9,0
1553564523,2,21
1553565722,11,4
1553566922,10,0
1553567523,6,12
1553568122,5,0
1553568723,7,13
1553569322,7,5
1553570524,5,14
1553571723,9,28
1553572323,6,5
1553572922,4,0
1553573522,3,7
1553574123,8,0
1553574722,7,11
1553575322,5,7
1553576522,6,6
1553577723,7,10
1553578323,2,0
1553578922,7,15
1553580123,10,11
1553581323,19,22
1553581923,4,5
1553582523,7,15
1553583723,4,71
1553584323,5,0
1553584923,2,10
1553585522,2,0
1553586123,13,17
1553587323,4,22
1553587923,10,0
1553588523,7,0
1553589122,7,11
1553589723,10,11
1553590923,9,7
1553591523,7,0
1553592122,15,7
1553593323,2,0
1553594523,5,14
1553595723,6,0
1553596922,13,16
1553598123,6,14
1553598722,9,0
1553599322,2,16
1553599923,1,0
1553601722,11,15
1553602323,3,10
1553602923,17,12
1553604123,11,13
1553605323,3,8
1553605923,7,0
1553606522,5,24
1553607723,4,0
1553608323,19,10
1553608923,12,11
1553610122,3,5
1553610722,7,4
1553611323,9,0
1553612522,9,27
1553613723,7,7
1553614924,9,91
1553615523,8,9
1553616124,14,10
1553617323,6,11
1553617924,12,5
1553618523,3,25
1553619723,5,6
1553620323,5,0
1553620923,6,6
1553621522,10,0
1553622123,8,10
1553622724,2,0
1553624523,7,40
1553625123,6,9
1553625723,10,0
1553626323,5,8
1553626924,6,0
1553627523,1,5
1553628123,4,23
1553628722,6,0
1553629323,4,8
1553629922,1,8
1553630523,3,17
1553631123,6,0
1553631723,3,3
1553632923,13,0
1553634123,11,7
1553635323,4,31
1553635923,10,0
1553636523,7,6
1553637723,5,14
1553638923,3,18
1553639523,6,0
1553640122,5,0
1553641323,5,17
1553641923,4,0
1553642523,8,0
1553643723,6,23
1553644924,7,4
1553645522,7,10
1553646123,4,0
1553646722,9,6
1553647322,7,8
1553648523,9,9
1553649722,13,15
1553650922,8,21
1553652125,10,0
1553652723,11,21
1553653323,12,0
1553654522,7,19
1553655723,10,14
1553656922,11,3
1553658123,11,30
1553658724,7,0
1553659323,12,5
1553659924,7,0
1553660522,8,14
1553661122,5,8
1553661723,5,7
1553662323,5,18
1553662923,14,0
1553663523,6,7
1553664123,4,12
1553664722,5,10
1553665323,9,6
1553665922,12,8
1553666523,2,0
1553667123,7,7
1553667724,11,10
1553668923,9,7
1553669523,8,0
1553670123,5,6
1553671323,8,14
1553672523,16,22
1553673723,7,0
1553674323,10,5
1553674923,8,6
1553676122,1,8
1553677325,7,11
1553677922,6,0
1553678522,7,0
1553679723,9,15
1553680923,5,16
1553682122,12,13
1553683323,6,10
1553684523,10,7
1553685123,12,18
1553685723,5,10
