DateTime,AddedIPs,RemovedIPs
1553266323,80,80
1553266924,80,80
1553268123,80,80
1553269323,80,80
1553269923,80,80
1553270523,80,80
1553271124,80,80
1553271724,80,80
1553272323,80,80
1553272923,80,80
1553273522,80,80
1553274123,80,80
1553275323,80,80
1553275923,80,80
1553276523,80,80
1553277723,80,80
1553278922,80,80
1553280123,80,80
1553281323,80,80
1553282523,80,80
1553283723,80,80
1553284923,80,80
1553285523,80,80
1553286123,80,80
1553287324,80,80
1553287923,80,80
1553288523,80,80
1553289123,80,80
1553289722,80,80
1553290922,80,80
1553292123,80,80
1553292723,80,80
1553293323,80,80
1553293923,80,80
1553294523,80,80
1553295723,80,80
1553296923,80,80
1553298122,80,80
1553298723,80,80
1553299324,80,80
1553299923,80,80
1553300522,80,80
1553301123,80,80
1553301723,80,80
1553302923,80,80
1553303523,80,80
1553304123,80,80
1553305324,80,80
1553306523,79,79
1553307722,80,80
1553308322,80,80
1553308923,80,80
1553309523,80,80
1553310123,80,80
1553310723,80,80
1553311323,80,80
1553311923,80,80
1553312523,80,80
1553313723,80,80
1553314923,80,80
1553316123,80,80
1553316722,80,80
1553317324,80,80
1553318522,80,80
1553319723,80,80
1553320923,80,80
1553322123,80,80
1553322723,80,80
1553323323,80,80
1553324522,80,80
1553325123,80,80
1553325723,80,80
1553326323,80,80
1553326923,80,80
1553327523,80,80
1553328124,80,80
1553329323,80,80
1553329923,80,80
1553330523,80,80
1553331725,80,80
1553332923,80,80
1553334123,79,79
1553335323,80,80
1553336522,80,80
1553337723,80,80
1553338923,80,80
1553340124,80,80
1553340723,80,80
1553341323,80,80
1553342523,80,80
1553343124,80,80
1553343723,80,80
1553344923,80,80
1553345523,80,80
1553346123,80,80
1553347323,80,80
1553347923,79,79
1553348523,79,79
1553349724,80,80
1553350923,80,80
1553351523,80,80
1553352124,80,80
1553352725,80,80
1553353323,80,80
1553354523,80,80
1553355724,80,80
1553356923,80,80
1553357523,80,80
1553358123,80,80
1553358723,80,80
1553359323,80,80
1553360523,80,80
1553361123,80,80
1553361723,80,80
1553362922,80,80
1553364123,80,80
1553365324,80,80
1553365923,80,80
1553366523,80,80
1553367123,80,80
1553367725,80,80
1553368923,80,80
1553369523,80,80
1553370122,80,80
1553371324,80,80
1553372523,80,80
1553373723,80,80
1553374324,80,80
1553374924,80,80
1553375523,80,80
1553376123,80,80
1553377322,80,80
1553378524,80,80
1553379723,80,80
1553380922,80,80
1553382123,80,80
1553382723,80,80
1553383322,80,80
1553383925,80,80
1553384522,80,80
1553385725,80,80
1553386923,80,80
1553387522,80,80
1553388123,80,80
1553389322,80,80
1553389922,80,80
1553390523,80,80
1553391123,80,80
1553391722,80,80
1553392925,80,80
1553393523,80,80
1553394123,80,80
1553394723,80,80
1553395323,80,80
1553395922,80,80
