DateTime,AddedIPs,RemovedIPs
1553223724,62,0
1553224923,34,69
1553226123,61,5
1553226722,12,41
1553227322,17,0
1553228523,70,28
1553229723,25,96
1553230323,6,0
1553230923,2,1
1553232123,1,68
1553233323,53,0
1553233922,5,33
1553234522,53,96
1553235723,56,0
1553236323,19,37
1553236923,20,16
1553238123,15,12
1553238723,6,0
1553239323,4,0
1553239923,4,7
1553240523,3,0
1553241722,3,74
1553242922,52,0
1553244122,43,82
1553245323,20,11
1553246523,23,34
1553247723,21,40
1553248323,4,0
1553248923,6,0
1553250123,2,61
1553251923,0,35
1553252523,0,18
1553253723,15,28
1553254922,27,3
1553256123,9,11
1553257322,4,0
1553257923,9,36
1553258523,40,0
1553259724,0,87
1553260924,51,0
1553262123,33,55
1553262722,11,26
1553263323,10,51
1553263923,3,0
1553264522,7,36
1553265124,13,0
1553265723,8,26
1553266323,40,25
1553266924,4,0
1553268122,54,11
1553269323,9,14
1553269922,27,34
1553270523,20,23
1553271723,51,70
1553272323,25,34
1553272923,6,51
1553273522,15,0
1553274123,7,0
1553275323,36,131
1553275923,6,0
1553276523,7,41
1553277723,5,9
1553278922,14,65
1553280122,59,0
1553281323,10,98
1553282523,20,43
1553283722,9,49
1553284922,9,32
1553285523,2,18
1553286123,1,0
1553286723,3,21
1553287324,12,0
1553287923,12,26
1553288523,25,58
1553289123,22,0
1553289722,18,0
1553290322,19,67
1553290922,11,0
1553292123,8,52
1553292723,6,0
1553293323,9,0
1553294523,6,11
1553295723,4,16
1553296922,23,16
1553298122,1,14
1553299324,64,55
1553300522,53,128
1553301122,5,0
1553302324,1,35
1553302923,2,25
1553303523,2,0
1553304123,1,24
1553305323,5,0
1553306523,9,11
1553308923,0,50
1553310122,71,111
1553310723,3,0
1553311323,12,70
1553312523,10,17
1553313723,70,82
1553314922,80,0
1553315523,17,41
1553316123,10,14
1553317323,24,1
1553318522,0,2
1553319123,71,59
1553319722,37,0
1553320923,36,56
1553322123,18,66
1553322723,1,28
1553323322,2,16
1553324522,0,15
1553325123,3,10
1553325723,1,0
1553326323,4,6
1553326923,7,4
1553328123,8,0
1553329323,53,105
1553329923,12,0
1553330523,35,0
1553331724,17,65
1553332923,22,0
1553334123,13,15
1553335323,4,15
1553336522,7,0
1553337123,6,2
1553337723,17,4
1553338923,18,20
1553340123,34,0
1553341323,14,39
1553342523,12,12
1553343723,7,5
1553344923,19,55
1553346123,11,0
1553347323,42,108
1553348523,38,0
1553349724,17,27
1553350923,40,5
1553352124,10,33
1553353323,58,45
1553354523,40,60
1553355724,30,40
1553356923,57,23
1553358123,41,50
1553358723,17,24
1553359323,5,19
1553360523,44,35
1553361723,33,27
1553362922,3,10
1553364122,1,27
1553365324,65,0
1553366523,27,47
1553367122,10,26
1553367724,1,24
1553368923,81,6
1553369523,3,0
1553370122,7,0
1553371324,2,0
1553372522,7,9
1553373723,8,17
1553374924,2,29
1553375523,18,37
1553376123,22,0
1553377322,38,41
1553378523,15,10
1553379723,15,11
1553380922,17,6
1553382123,14,29
1553384522,67,62
1553385124,46,0
1553385724,55,76
1553386923,66,0
1553388123,47,7
1553388722,15,2
1553389322,24,4
1553389922,12,0
1553390523,43,20
1553391123,24,0
1553391722,24,0
1553392924,69,8
1553393523,17,0
1553394123,18,0
1553395323,51,0
1553396524,54,46
1553397123,19,4
1553397723,8,8
1553398922,16,67
1553399523,15,0
1553400123,52,0
1553400724,56,68
1553401923,39,30
1553402524,11,0
1553403123,14,24
1553403723,1,0
1553404323,15,1
1553404922,30,53
1553405524,8,20
1553406123,21,0
1553406722,5,22
1553407323,11,0
1553407923,4,14
1553408523,36,0
1553409722,18,0
1553410923,22,1
1553411523,11,2
1553412123,5,0
1553413322,19,11
1553413923,8,0
1553414523,41,0
1553415123,18,51
1553415723,16,21
1553416923,67,37
1553418122,44,18
1553418723,12,0
1553419322,17,0
1553419923,10,19
1553420523,14,6
1553421723,27,6
1553422923,5,0
1553424122,0,28
1553425322,7,32
1553425922,8,0
1553426522,11,0
1553427123,11,13
1553427722,1,12
1553428323,4,0
1553428923,9,0
1553429523,8,8
1553430122,9,13
1553431323,29,0
1553432523,24,42
1553433723,45,0
1553434922,33,43
1553436122,33,64
1553437323,9,7
1553437923,23,0
1553438523,29,35
1553439723,35,27
