DateTime,AddedIPs,RemovedIPs
1553220123,13,13
1553221323,4,4
1553222523,94,94
1553223724,100,100
1553224923,52,52
1553226123,100,100
1553226722,20,20
1553227322,23,23
1553228523,94,94
1553229723,55,55
1553230323,19,19
1553230923,2,2
1553232123,2,2
1553233323,91,91
1553233922,6,6
1553234522,78,78
1553235723,90,90
1553236323,35,35
1553236923,22,22
1553238123,21,21
1553238723,14,14
1553239323,11,11
1553239923,7,7
1553240523,4,4
1553241722,7,7
1553242922,88,88
1553244122,87,87
1553245323,47,47
1553246523,42,42
1553247723,31,31
1553248323,10,10
1553248923,8,8
1553250123,2,2
1553250723,3,3
1553251923,5,5
1553253723,28,28
1553254922,51,51
1553256123,18,18
1553257322,6,6
1553257923,30,30
1553258523,54,54
1553259724,3,3
1553260924,96,96
1553262123,69,69
1553262722,26,26
1553263323,13,13
1553263923,4,4
1553264522,8,8
1553265124,29,29
1553265723,30,30
1553266323,64,64
1553266924,5,5
1553268122,77,77
1553269323,17,17
1553269922,60,60
1553270523,30,30
1553271723,85,85
1553272323,44,44
1553272923,24,24
1553273522,30,30
1553274123,21,21
1553275323,48,48
1553275923,12,12
1553276523,8,8
1553277723,11,11
1553278922,25,25
1553280122,80,80
1553281323,34,34
1553282523,28,28
1553283722,11,11
1553284922,12,12
1553285523,18,18
1553286123,4,4
1553286723,8,8
1553287324,22,22
1553287923,19,19
1553288523,35,35
1553289123,35,35
1553289722,25,25
1553290322,44,44
1553290922,19,19
1553292123,9,9
1553292723,13,13
1553293323,17,17
1553294523,10,10
1553295723,6,6
1553296922,44,44
1553298122,2,2
1553299324,98,98
1553300522,92,92
1553301122,8,8
1553301723,1,1
1553302324,2,2
1553302923,3,3
1553303523,2,2
1553304123,2,2
1553305323,24,24
1553306523,13,13
1553310122,92,92
1553310723,5,5
1553311323,16,16
1553312523,13,13
1553313723,95,95
1553314922,98,98
1553315523,26,26
1553316123,16,16
1553317323,36,36
1553318522,3,3
1553319123,95,95
1553319722,55,55
1553320923,51,51
1553322123,36,36
1553322723,2,2
1553323322,2,2
1553324522,2,2
1553325123,8,8
1553325723,5,5
1553326323,4,4
1553326923,11,11
1553328123,11,11
1553329323,97,97
1553329923,36,36
1553330523,63,63
1553331724,27,27
1553332923,37,37
1553334123,36,36
1553335323,8,8
1553336522,13,13
1553337123,9,9
1553337723,23,23
1553338923,25,25
1553340123,61,61
1553341323,27,27
1553342523,20,20
1553343723,13,13
1553344923,26,26
1553346123,22,22
1553347323,64,64
1553348523,68,68
1553349724,38,38
1553350923,72,72
1553352124,15,15
1553353323,72,72
1553354523,52,52
1553355724,42,42
1553356923,86,86
1553358123,92,92
1553358723,29,29
1553359323,13,13
1553360523,57,57
1553361723,45,45
1553362922,5,5
1553364122,1,1
1553365324,99,99
1553366523,50,50
1553367122,15,15
1553367724,4,4
1553368923,99,99
1553369523,8,8
1553370122,13,13
1553371324,2,2
1553372522,9,9
1553373723,10,10
1553374924,10,10
1553375523,27,27
1553376123,33,33
1553377322,61,61
1553378523,25,25
1553379723,28,28
1553380922,29,29
1553382123,15,15
1553384522,98,98
1553385124,65,65
1553385724,79,79
1553386923,97,97
1553388123,64,64
1553388722,25,25
1553389322,48,48
1553389922,19,19
1553390523,61,61
1553391123,50,50
1553391722,47,47
1553392924,99,99
1553393523,27,27
1553394123,24,24
1553395323,100,100
1553396524,100,100
1553397123,35,35
1553397723,17,17
1553398922,26,26
1553399523,19,19
1553400123,69,69
1553400724,83,83
1553401923,73,73
1553402524,21,21
1553403123,23,23
1553403723,1,1
1553404323,19,19
1553404922,69,69
1553405524,10,10
1553406123,37,37
1553406722,6,6
1553407323,11,11
1553407923,8,8
1553408523,55,55
1553409722,25,25
1553410923,39,39
1553411523,18,18
1553412123,11,11
1553413322,44,44
1553413923,18,18
1553414523,69,69
1553415123,32,32
1553415723,28,28
1553416923,100,100
1553418122,78,78
1553418723,30,30
1553419322,37,37
1553419923,14,14
1553420523,22,22
1553421723,54,54
1553422923,12,12
1553424122,6,6
1553425322,15,15
1553425922,18,18
1553426522,23,23
1553427123,30,30
1553427722,4,4
1553428323,10,10
1553428923,19,19
1553429523,13,13
1553430122,15,15
1553431323,75,75
1553432523,52,52
1553433723,98,98
1553434922,48,48
1553436122,58,58
1553437323,17,17
1553437923,35,35
1553438523,44,44
1553439723,70,70
1553440924,22,22
1553442122,42,42
1553442723,10,10
1553443323,50,50
1553443923,29,29
1553444523,18,18
1553445123,18,18
1553445722,19,19
1553446323,4,4
1553446923,50,50
1553448123,74,74
1553449323,39,39
1553449923,18,18
1553450523,10,10
1553451723,16,16
1553452323,14,14
1553452923,45,45
1553454122,86,86
1553455323,84,84
1553456523,60,60
1553457723,87,87
1553458324,24,24
1553458923,4,4
1553459523,8,8
1553460122,16,16
1553461322,9,9
1553462522,3,3
1553463724,33,33
1553464923,79,79
1553465522,34,34
1553466123,6,6
1553467323,83,83
1553468524,95,95
1553470323,88,88
1553470923,19,19
1553471522,20,20
1553472124,71,71
1553473323,59,59
1553474522,99,99
