DateTime,AddedIPs,RemovedIPs
1551886202,244,0
1551889802,225,0
1551893402,200,0
1551897002,234,0
1551900602,237,0
1551904202,215,0
1551907802,189,0
1551911402,194,0
1551915002,178,0
1551918602,161,5489
1551922202,206,0
1551925802,153,0
1551929402,185,0
1551933003,208,0
1551936602,205,0
1551940202,220,0
1551943802,253,0
1551947402,290,0
1551951002,235,0
1551954603,274,0
1551958202,250,0
1551961803,219,0
1551965402,266,0
1551969002,219,0
1551972602,192,0
1551976202,225,0
1551979803,167,0
1551983402,188,0
1551987002,183,0
1551990602,169,0
1551994202,160,0
1551997802,225,0
1552001402,197,0
1552005002,118,6154
1552008602,247,0
1552012202,195,0
1552015802,185,0
1552019402,212,0
1552023002,209,0
1552026602,243,0
1552030202,206,0
1552033802,258,0
1552037402,226,0
1552041002,277,0
1552044602,221,0
1552048202,234,0
1552051802,239,0
1552055402,160,0
1552059002,120,0
1552062602,140,0
1552066202,187,0
1552069802,164,0
1552073403,161,0
1552077003,206,0
1552080602,160,1
1552084203,95,0
1552087802,138,0
1552091402,154,5594
1552095002,213,0
1552098602,173,0
1552102202,169,0
1552105803,158,0
1552109402,166,0
1552113002,165,0
1552116602,202,0
1552120202,191,0
1552123802,192,0
1552127402,212,0
1552131002,244,0
1552134602,276,0
1552138202,197,0
1552141803,155,0
1552145402,207,0
1552149002,267,0
1552152602,239,0
1552156202,230,0
1552159802,237,0
1552163402,252,0
1552167002,247,0
1552170602,251,0
1552174202,182,0
1552177802,148,4554
1552181402,201,0
1552185002,238,0
1552188602,234,0
1552192202,192,0
1552195802,219,0
1552199402,241,0
1552203002,277,0
1552206602,244,0
1552210203,203,0
1552213803,231,0
1552217402,218,0
1552221002,202,0
1552224602,177,0
1552228202,201,0
1552231802,238,0
1552235402,178,0
1552239002,213,0
1552242602,183,0
1552246202,185,0
1552249802,207,0
1552253402,174,0
1552257003,124,0
1552260603,103,0
1552264202,131,4397
1552267802,149,0
1552271403,166,0
1552275002,190,0
1552278602,255,0
1552282202,272,0
1552285802,248,0
1552289402,278,0
1552293002,409,0
1552296602,453,0
1552300202,412,0
1552303803,336,0
1552307402,301,0
1552311002,222,0
1552314602,265,0
1552318202,258,0
1552321802,262,0
1552325402,203,0
1552329003,221,0
1552332602,175,0
1552336202,213,0
1552339802,172,0
1552343402,151,0
1552347002,123,0
1552350602,189,4459
1552354202,197,0
1552357802,187,0
1552361402,165,0
1552365002,176,0
1552368602,183,0
1552372202,229,0
1552375803,217,0
1552379402,203,0
1552383002,214,0
1552386602,216,0
1552390202,227,0
1552393802,177,0
1552397402,256,0
1552401002,201,0
1552404602,162,0
1552408202,220,0
1552411803,141,0
1552415403,137,0
1552419002,135,0
1552422602,148,0
1552426203,137,0
1552429803,136,0
1552433402,117,0
1552437002,136,6765
1552440602,205,0
1552444202,177,0
1552447801,171,0
1552451402,222,0
1552455002,223,0
1552458602,208,0
1552462202,261,0
1552465803,326,0
1552469402,241,0
1552473002,272,0
1552476602,304,0
1552480202,285,1
1552483802,207,0
1552487402,230,0
1552491002,289,0
1552494602,160,0
1552498202,215,0
1552501802,223,0
1552505403,209,0
1552509002,199,0
1552512603,211,0
1552517102,186,0
1552520702,160,0
1552524302,163,4447
1552527902,449,0
1552531502,263,0
1552535102,121,0
1552538702,141,0
1552542302,249,0
1552545903,198,0
1552549502,228,0
1552553102,231,0
1552556702,269,0
1552560302,266,0
1552563903,230,0
1552567502,220,0
1552571102,175,0
1552574702,183,0
1552578302,215,0
1552581902,235,0
1552585502,178,0
1552589102,194,0
1552592702,212,0
1552596302,197,0
1552599902,158,0
1552603502,172,0
1552607102,148,0
1552610702,145,5181
1552614302,216,0
1552617902,163,0
1552621502,152,0
1552625102,192,0
1552628702,253,0
1552632302,230,0
1552635902,236,0
1552639503,308,0
1552643102,228,0
1552646702,252,0
1552650302,222,0
1552653902,316,0
1552657502,208,0
1552661102,206,0
1552664702,294,0
1552668302,208,0
1552671903,180,0
1552675502,134,0
1552679102,129,0
1552682702,151,0
1552686302,132,0
1552689902,97,0
1552693502,121,0
1552697102,109,5333
1552700702,131,0
1552704302,105,0
1552707902,117,0
1552711502,105,0
1552715103,188,0
1552718702,195,0
1552722302,199,0
1552725901,164,0
1552729502,148,0
1552733102,144,0
1552736702,139,0
1552740302,184,0
1552743902,131,0
1552747502,112,0
1552751102,127,0
1552754702,136,0
1552758302,125,0
1552761902,143,0
1552765502,132,0
1552769103,83,0
1552772702,143,1
1552776302,105,0
1552779902,115,0
1552783502,95,5237
1552787102,130,0
1552790701,110,0
1552794302,144,0
1552797902,202,0
1552801502,194,0
1552805102,155,0
1552808702,198,0
1552812302,183,0
1552815902,264,0
1552819502,153,0
1552823102,182,0
1552826702,344,0
1552830302,168,0
1552833902,193,0
1552837502,149,0
1552841102,124,0
1552844702,133,0
1552848302,122,0
1552851902,131,0
1552855502,141,0
1552859102,123,0
1552862702,154,0
1552866302,190,0
1552869902,160,3483
1552873502,202,0
1552877102,215,0
1552880702,178,0
1552884302,165,0
1552887902,236,0
1552891502,196,0
1552895102,198,0
1552898702,248,0
1552902302,182,0
1552905902,199,0
1552909502,233,0
1552913102,215,0
1552916702,200,0
1552920302,201,0
1552923902,173,0
1552927502,130,0
1552931102,141,0
1552934702,136,0
1552938302,154,0
1552942802,197,0
1552946402,147,0
1552950003,130,0
1552953603,133,4039
1552957203,159,0
1552960802,178,0
1552964403,142,0
1552968002,180,0
1552971602,161,0
1552975202,180,0
1552978803,199,0
1552982402,203,0
1552986002,185,0
1552989603,254,0
1552993202,321,0
1552996803,198,0
1553000402,183,0
1553004003,184,0
1553007602,233,0
1553011202,182,0
1553014803,128,0
1553018403,148,0
1553022003,162,0
1553025602,157,0
1553029202,147,0
1553032802,149,0
1553036402,135,0
1553040003,135,4182
1553043602,217,0
1553047202,200,0
1553050802,193,0
1553054402,176,0
1553058002,178,0
1553061603,162,0
1553065202,172,0
1553068803,228,0
1553072402,215,0
1553076003,312,0
1553079603,319,0
1553083203,316,0
1553086802,241,0
1553090402,224,0
1553094003,209,0
1553097602,173,0
1553101202,142,0
1553104803,146,0
1553108402,136,0
1553112003,156,0
1553115602,183,0
1553119202,123,0
1553122802,133,0
1553126403,124,4152
1553130002,180,0
1553133602,151,0
1553137202,144,0
1553140802,111,0
1553144403,144,0
1553148003,154,0
1553151602,156,0
1553155202,115,0
1553158802,214,0
1553162403,215,0
1553166003,275,0
1553169602,165,0
1553173203,233,0
1553176802,187,0
1553180402,167,0
1553184002,173,0
1553187602,156,0
1553191202,194,0
1553194802,160,0
1553198402,150,0
1553202002,156,0
1553205602,138,0
