DateTime,AddedIPs,RemovedIPs
1510419715,1341,975
1510506114,1235,1599
1510592516,1943,1637
1510678914,1960,1441
1510765315,1479,1372
1510851715,2171,1452
1510938115,1270,1294
1511024517,1284,1314
1511110917,1121,1447
1511197318,2311,2419
1511283716,1408,1486
1511370117,1553,1419
1511456518,1330,1232
1511542918,1979,1113
1511629318,1698,1103
1511715717,928,1630
1511802118,1747,1564
1511888518,1379,1719
1511974920,1854,1977
1512061320,2012,1552
1512147721,2018,1232
1512234121,1416,1058
1512320521,1250,1458
1512406921,1527,1461
1512493322,1502,1356
1512579722,1106,1508
1512666122,1315,1579
1512752522,2115,1306
1512838922,1471,1285
1512925323,1309,1802
1513011723,1314,1574
1513098123,1469,1350
1513184523,1930,2274
1513270923,1308,1806
1513357324,1491,2063
1513443725,2017,1726
1513530124,1200,1859
1513616529,1891,2045
1513702926,1593,1792
1513789327,1320,2161
1513875725,2226,1401
1513962127,1318,1871
1514048526,1929,1162
1514134927,1001,1644
1514221327,1140,1710
1514307727,1231,2008
1514394128,1755,2135
1514480528,1268,1553
1514566928,1160,2771
1514653330,981,1036
1514739730,897,1476
1514826129,1163,1532
1514912529,1419,1485
1514998930,1506,1778
1515085330,1472,1859
1515171731,1084,1199
1515258131,1157,1044
1515344531,971,2616
1515430930,1681,1876
1515517331,1198,1625
1515603731,1314,1490
1515690132,1479,1478
1515776532,1486,2113
1515862932,1609,1163
1515949333,1590,1286
1516035734,1530,1991
1516122133,1693,2020
1516208534,1485,1354
1516294934,1398,1123
1516381334,1281,1093
1516467735,1419,1054
1516554135,1090,2159
1516640536,1487,2592
1516726936,1377,1381
1516813336,1524,1831
1516899736,1251,1420
1516986136,1268,1235
1517072537,1562,1136
1517158938,1108,1749
1517245338,1494,1918
1517331738,1432,1397
1517418139,1555,2509
1517504539,1728,1755
1517590939,1310,1413
1517677339,1643,1014
1517763740,1361,1632
1517850140,1448,1290
1517936540,1453,1468
1518022940,1540,1316
1518109341,2029,1364
1518195741,1695,1304
1518282142,1363,1422
1518368542,1187,1910
1518454943,2150,1967
1518541342,1863,1441
1518627744,1595,2194
1518714143,1713,1195
1518800544,1478,1104
1518886944,1763,1095
1518973345,1120,2318
1519059745,1452,1453
1519146146,1674,1485
1519232546,1788,1361
1519318946,1986,2071
1519405346,1504,1709
1519491746,1779,1083
1519578147,1074,1792
1519664547,1512,1428
1519750947,1486,1887
1519837349,1525,2157
1519923749,1514,2084
1520010150,950,1386
1520096549,1717,1336
1520182950,1209,1599
1520269350,1417,1537
1520355750,1615,1173
1520442151,2891,1311
1520528551,3589,2261
1520614952,2466,1518
1520701351,1672,1397
1520787614,1959,1289
1520874015,1661,1570
1520960415,2426,1854
1521046815,1534,1402
1521133216,1445,1499
1521219615,1759,2173
1521306014,2387,1304
1521392415,1239,1920
1521478815,2142,1459
1521565214,1560,1329
1521651615,2326,2108
1521738014,1583,1288
1521824416,2171,2028
1521910815,1384,1120
1521997215,1225,1065
1522083615,1910,1180
1522170014,1490,1753
1522256415,1291,1322
1522342814,1851,1157
1522429215,1241,990
1522515616,950,1046
1522602014,1190,1184
1522688415,1402,1385
1522774815,1206,1562
1522861214,1543,1478
1522947615,1161,1017
1523034016,1137,1098
1523120416,1688,1103
1523206815,905,1732
1523293214,1694,1211
1523379615,2518,1366
1523466015,1385,1355
1523552415,2166,1508
1523638815,2932,1817
1523725215,1419,1545
1523811615,1098,1705
1523898014,1411,1535
1523984415,2122,1404
1524070815,1272,1304
1524157215,1887,1218
1524243615,1681,1387
1524330016,1449,1071
1524416416,1780,1415
1524502815,1706,1312
1524589216,1452,1463
1524675616,1685,1164
1524762015,1527,1264
1524848414,1878,1552
1524934815,1100,1071
1525021215,1070,1424
1525107616,1747,1394
1525194015,1505,1560
1525280415,1767,1703
1525366815,1804,1269
1525453215,1716,1479
1525539615,1418,1340
1525626015,1171,1474
1525712415,1668,1466
1525798816,1796,1407
1525885215,1868,1802
1525971615,1517,1631
1526058015,1718,1155
1526144414,1549,1083
1526230815,1293,2187
1526385615,3108,2803
1526472015,1905,1617
1526558415,1518,1315
1526644814,4473,1568
1526731215,7462,1422
1526817615,3107,1214
1526904015,4612,2198
1526990415,1946,1817
1527076816,1633,1368
1527163215,1462,1507
1527249615,1424,1696
1527336015,1699,1010
1527422415,976,1392
1527508815,1309,1675
1527595216,1295,1455
1527681615,1473,1801
1527768015,1576,1212
1527854416,1229,1549
1527940814,1088,1348
1528027215,961,1492
1528113615,1075,1533
1528200015,1708,1974
1528286415,1238,3705
1528372815,1270,2980
1528459215,1197,2132
1528545615,1421,1601
1528632015,1075,1960
1528718416,1251,2448
1528804815,1748,1834
1528891215,1308,1360
1528977615,1355,1750
1529064015,1287,1546
1529150415,912,2132
1529236816,1259,1711
1529323215,953,1788
1529409615,1318,2149
1529496016,1306,1473
1529582414,1324,2266
1529668814,1069,1444
1529755217,1077,1184
1529841615,1027,1371
1529928015,1161,1779
1530014415,1330,1226
1530100815,1186,1623
1530187215,1195,1502
1530273615,1171,1096
1530360015,959,1180
1530446416,962,1192
1530532815,1194,1315
1530619215,1723,1506
1530705614,1429,1277
1530792016,1485,1158
1530878416,1340,1333
1530964816,1323,856
1531051215,1269,1213
1531137616,1453,1763
1531224016,1536,1558
1531310417,2004,1278
1531396817,1728,3125
1531483215,1471,1531
1531569615,1739,960
1531656017,1062,1066
1531742415,1509,1915
1531828816,1801,1366
1531915216,3498,1272
1532001616,3138,2024
1532088016,2782,1388
1532174417,2304,2009
1532260815,1276,1687
1532347216,1431,1357
1532433615,1831,1502
1532520015,1283,1481
1532606416,1896,1400
1532692815,1760,1032
1532779216,1967,1071
1532865616,1351,1214
1532952016,1678,1751
1533038416,2066,1625
1533124815,2640,1785
1533211216,2235,1513
1533297615,1851,1557
1533384015,1545,1249
1533470415,1656,1421
1533556816,1651,1849
1533643216,1699,1731
1533729615,2022,1531
1533816016,1820,1867
1533902415,2140,1369
1533988814,1628,1261
1534075214,1453,1903
1534161615,2057,1820
1534248015,1646,1899
1534334415,1749,1482
1534420815,1807,4127
1534507215,2070,7680
1534593615,2086,3360
1534680015,1458,5079
1534766416,2383,2114
1534852815,1942,1689
1534939215,1821,1540
1535025615,1654,1540
1535112015,2701,1697
1535198415,1882,1037
1535284815,1148,1168
1535371216,1580,1441
1535457616,1625,1668
1535544016,1685,1810
1535630416,2003,1178
1535716816,2005,1105
1535803215,2114,961
1535889615,1760,1101
1535976016,2189,1202
1536062415,2322,1158
1536148814,2742,1427
1536235215,2234,1215
1536321615,1848,1277
1536408015,1781,984
1536494416,1640,1124
1536580814,1875,2236
1536667215,2145,1299
1536753615,1973,1422
1536840016,1809,1288
1536926416,1919,975
1537012816,2156,778
1537099215,1701,935
1537185615,2381,1273
1537272016,1832,1282
1537358415,2589,1255
1537444816,2267,1109
1537531216,2343,1019
1537617616,1924,1033
1537704015,1436,1147
1537790415,1569,1417
1537876817,2318,1348
1537963216,2148,1148
1538049615,1646,1468
1538136016,1698,943
1538222416,1475,1291
1538308817,1513,1205
1538395217,1727,1245
1538481615,2468,1189
1538568016,1688,1455
1538654417,1752,1231
1538740815,1950,1241
1538827216,2711,1105
1538913615,1486,1343
1539000017,1769,1848
1539086416,1970,1959
1539172816,1853,1776
1539259215,2327,1560
1539345617,1994,1125
1539432017,1640,927
1539518416,1247,1384
1539604815,1596,1546
1539691216,1700,2673
1539777617,1826,2649
1539864016,2154,3085
1539950415,2394,2629
1540036815,1728,1461
1540123216,1622,1428
1540209615,2025,1924
1540296016,2195,1259
1540382416,2056,1663
1540468816,1850,1448
1540555216,2021,1359
1540641615,1430,1240
1540728015,1437,1579
