DateTime,AddedIPs,RemovedIPs
1551223237,2,2
1551230426,1,7
1551238535,2,6
1551244837,4,4
1551250247,1,0
1551252030,5,5
1551259231,1,3
1551263723,0,4
1551265675,0,2
1551266559,2,4
1551268228,8,0
1551273636,4,5
1551280827,2,4
1551288027,5,3
1551295222,3,2
1551302437,4,3
1551309635,5,3
1551316835,5,1
1551324043,3,4
1551326735,1,0
1551331226,5,9
1551338431,7,5
1551345629,3,3
1551349236,1,0
1551350139,10,1
1551352830,7,7
1551353732,0,14
1551360030,1,7
1551367237,5,2
1551374442,3,3
1551381626,4,3
1551388840,5,2
1551391530,1,0
1551396026,3,0
1551403233,7,1
1551410433,12,5
1551417640,3,7
1551425730,2,6
1551432039,6,3
1551436696,0,7
1551438454,0,1
1551439352,5,6
1551441937,10,0
1551446432,4,3
1551453640,8,2
1551460848,4,8
1551468040,3,3
1551475236,2,2
1551482442,3,4
1551489637,2,4
1551496839,5,4
1551504043,5,6
1551511237,6,3
1551518434,4,6
1551522948,2,0
1551523835,0,1
1551525638,2,6
1551526535,0,12
1551532826,2,6
1551540037,5,3
1551541838,1,0
1551549930,6,4
1551553536,0,1
1551554440,4,3
1551561635,2,1
1551568831,1,6
1551576051,1,2
1551582336,1,0
1551583237,2,1
1551590441,4,2
1551597640,4,5
1551604831,3,3
1551609486,0,8
1551612159,3,3
1551612936,4,0
1551619229,5,8
1551626437,1,1
1551629143,0,1
1551633633,4,4
1551635435,0,2
1551640830,2,3
1551648930,2,2
1551655233,3,4
1551659750,0,1
1551662437,2,12
1551669641,1,6
1551676838,3,4
1551684038,4,7
1551691239,5,1
1551695739,7,0
1551698441,14,2
1551699342,0,6
1551705632,4,4
1551712837,2,7
1551720043,4,4
1551727236,8,2
1551734443,8,2
1551741644,2,5
1551748841,1,2
1551756048,4,5
1551759647,2,0
1551763236,3,6
1551770451,4,4
1551777644,4,5
1551782283,0,5
1551786637,9,2
1551792042,3,1
1551799237,7,3
1551801942,0,1
1551806437,7,3
1551813647,6,4
1551820839,4,3
1551827141,1,0
1551828028,3,5
1551835239,4,2
1551842439,3,3
1551849637,4,10
1551856839,5,3
1551864049,2,4
1551868558,5,0
1551871239,2,1
1551873044,0,9
1551878442,2,4
1551881144,1,0
1551885635,2,7
1551892838,5,5
1551900041,7,2
1551907241,3,2
1551914440,4,3
1551921644,2,5
1551926135,1,0
1551928843,3,2
1551936041,5,6
1551943247,4,4
1551950457,4,0
1551955116,0,7
1551957751,3,3
1551958539,1,0
1551964838,4,5
1551972045,3,1
1551974737,9,0
1551979240,1,6
1551986440,5,2
1551993645,15,5
1552001737,2,0
1552008038,4,7
1552015241,1,5
1552022437,9,6
1552029644,5,6
1552036839,3,4
1552041334,1,0
1552044040,3,0
1552046741,0,7
1552051240,0,2
1552058436,5,4
1552065640,5,6
1552072836,2,2
1552080034,2,2
1552087235,3,2
1552094435,3,2
1552101635,5,3
1552108846,5,7
1552116047,5,3
1552123243,3,3
1552127924,0,4
1552130543,1,4
1552131340,6,2
1552137639,2,4
1552144845,2,0
1552152047,3,2
1552159245,4,3
1552166441,3,2
1552173635,5,6
1552180849,0,3
1552188044,3,3
1552195233,3,7
1552198831,2,2
1552202439,2,4
1552206042,2,2
1552209637,0,1
1552213246,5,0
1552216835,0,2
1552217726,0,4
1552221340,8,1
1552222241,0,1
1552224043,0,5
1552234852,5,0
1552238440,0,2
1552242043,3,1
1552245640,0,2
1552249239,4,1
1552252834,0,1
1552256443,4,0
1552260033,0,2
1552263640,1,1
1552267241,0,4
1552274446,0,6
1552278042,1,1
1552281638,0,5
1552285241,5,0
1552288835,0,1
1552292440,4,1
1552299640,1,0
1552300692,0,5
1552303341,0,2
1552304130,146,0
1552306837,2,1
1552310435,0,1
1552314043,4,0
1552317630,0,3
1552321248,2,1
1552324842,0,1
1552328442,3,0
1552332038,0,2
1552335632,5,1
1552339238,0,2
1552342830,2,1
1552346435,0,2
1552350042,3,1
1552353633,0,2
1552357233,0,2
1552360840,0,4
1552364436,3,0
1552368033,0,4
1552371643,2,3
1552376137,0,4
1552378845,3,1
1552386042,2,4
1552390537,0,6
1552394141,3,2
1552400503,4,3
1552401328,11,0
1552408535,4,3
1552413036,0,1
1552414840,2,4
1552422030,7,0
1552429242,4,2
1552430138,1,0
1552436443,3,2
1552443634,3,1
1552447235,0,1
1552450836,3,5
1552458065,4,3
1552465239,3,1
1552472437,2,2
1552473514,0,6
1552476948,16,0
1552479635,2,1
1552486845,9,3
1552490440,1,0
1552494038,4,3
