DateTime,AddedIPs,RemovedIPs
1551441777,2,0
1551452577,4,1
1551456177,0,1
1551459777,1,2
1551463378,1,3
1551466978,1,0
1551470583,1,1
1551474178,0,2
1551477778,1,0
1551484978,1,3
1551488578,1,0
1551492177,1,0
1551495778,2,1
1551499378,3,3
1551502979,2,1
1551506578,1,5
1551510178,4,0
1551513778,3,0
1551520979,0,5
1551524579,1,0
1551531778,1,0
1551535378,2,1
1551538979,1,1
1551542579,3,1
1551546183,3,3
1551549779,1,1
1551553379,2,1
1551560580,0,5
1551564179,1,0
1551567784,0,1
1551571378,1,1
1551578578,1,1
1551582178,1,1
1551585778,1,3
1551589384,1,0
1551592978,2,1
1551596583,2,4
1551600180,1,0
1551603778,1,0
1551610978,1,0
1551614582,2,5
1551618179,2,0
1551625380,0,1
1551632584,3,2
1551636184,1,4
1551643379,1,2
1551646985,0,1
1551654185,1,1
1551661380,1,1
1551664979,1,0
1551668579,0,1
1551672180,2,1
1551679379,0,1
1551682979,4,1
1551686579,1,0
1551690179,1,0
1551693781,0,1
1551697381,2,1
1551700980,1,0
1551704581,1,4
1551708185,1,2
1551715380,0,4
1551718980,2,0
1551722586,3,2
1551726187,2,2
1551729781,0,3
1551733388,1,0
1551736980,1,0
1551740588,1,2
1551747788,0,1
1551751380,1,0
1551754987,2,0
1551758580,1,4
1551762188,2,0
1551765780,1,5
1551769382,3,2
1551772981,1,0
1551776581,2,1
1551783786,1,3
1551787387,1,0
1551790981,1,0
1551794581,1,0
1551798181,5,1
1551801430,1,0
1551805331,4,6
1551808991,1,1
1551812591,4,0
1551819792,1,2
1551823392,2,0
1551826992,1,0
1551830532,0,1
1551834132,1,0
1551837733,1,3
1551844992,2,3
1551848601,1,1
1551852133,2,0
1551855792,2,6
1551862992,0,1
1551866599,0,1
1551870193,2,0
1551873792,1,0
1551877394,1,0
1551884592,1,2
1551888201,1,2
1551895392,2,3
1551898993,1,0
1551902533,2,2
1551909733,2,1
1551913393,1,2
1551920533,1,0
1551927794,1,4
1551931343,2,0
1551934994,1,2
1551938593,1,6
1551942142,3,0
1551945794,2,2
1551949399,1,3
1551956538,0,1
1551960134,1,1
1551967394,0,1
1551970993,3,0
1551974594,0,3
1551978133,0,2
1551981794,1,3
1551985354,3,1
1551988994,1,2
1551992593,0,1
1551999745,0,2
1552003394,1,0
1552006934,2,0
1552017794,3,9
1552021399,3,0
1552025001,1,5
1552028594,3,1
1552032195,1,1
1552035735,1,0
1552039335,0,1
1552042934,1,0
1552046595,0,1
1552053803,3,0
1552057395,2,2
1552060995,1,3
1552064597,2,5
1552068202,0,1
1552071795,2,0
1552075336,1,1
1552078999,0,1
1552082594,2,0
1552089734,1,5
1552093396,2,1
1552096995,2,0
1552100599,2,8
1552104200,3,0
1552107739,1,5
1552111395,0,4
1552114996,3,0
1552118596,2,0
1552125796,0,5
1552132935,1,0
1552136596,1,0
1552140196,1,3
1552147400,1,4
1552154536,2,0
1552158196,0,5
1552161795,1,2
1552165335,1,0
1552168995,2,2
1552172535,0,3
1552179736,0,1
1552186936,0,3
1552190596,2,0
1552194196,0,3
1552197796,2,2
1552201396,1,0
1552204996,2,1
1552208596,0,2
1552212196,2,1
1552214716,1,0
1552219397,2,3
1552222996,0,3
1552230197,2,0
1552233737,2,1
1552240996,3,1
1552244598,1,0
1552248137,2,1
1552251797,4,0
1552255397,0,2
1552258936,0,1
1552273398,0,2
1552280597,2,1
1552284197,1,1
1552287797,2,0
1552291398,1,3
1552298598,1,4
1552302139,2,0
1552305797,0,1
1552309398,2,1
1552312997,1,0
1552316597,1,1
1552327397,2,1
1552330939,2,0
1552334598,1,0
1552341798,1,2
1552348938,2,2
1552352538,0,1
1552356198,0,1
1552359798,0,2
1552363338,1,1
1552366998,0,4
1552374198,2,2
1552377799,0,3
1552381400,1,0
1552384999,0,2
1552388599,2,0
1552392199,1,2
1552395740,2,0
1552399398,0,3
1552402939,3,1
1552406539,1,0
1552410199,2,2
1552413799,0,4
1552417400,3,0
1552420999,3,3
1552424540,3,0
1552428200,0,1
1552431740,2,2
1552438999,1,1
1552442540,0,2
1552446199,2,2
1552449799,1,0
1552453339,2,3
1552456939,0,5
1552460599,3,1
1552471339,1,3
1552474999,1,0
1552478539,1,3
1552482200,2,2
1552485800,1,3
1552489400,4,0
1552492999,0,1
1552496539,1,3
1552500145,4,3
1552503741,1,0
1552507340,0,2
1552510941,1,1
1552514601,0,1
1552518139,1,2
1552521801,2,0
1552528940,2,3
1552532601,1,0
1552536200,2,3
1552539800,1,0
1552543340,0,2
1552546941,3,2
1552557800,2,1
1552561402,0,2
1552564941,2,5
1552568601,2,0
1552572141,2,1
1552575740,0,2
1552579401,0,2
1552582940,1,1
1552586601,2,3
1552590201,0,1
1552597401,1,1
1552601001,1,0
1552604602,1,3
1552608141,3,0
1552611801,1,0
1552615342,0,10
1552622602,3,2
1552626202,1,1
1552629801,1,4
1552633401,2,0
1552644201,1,2
1552651402,1,3
1552654942,0,2
1552658602,1,1
1552662201,1,4
1552669341,2,1
1552673002,0,3
1552676542,2,2
1552680201,3,5
1552683802,1,2
1552694542,3,2
1552701803,0,2
1552705343,3,0
1552709002,1,2
1552712543,2,3
1552716142,1,4
1552719743,1,0
1552723342,0,3
1552730604,1,2
1552734142,6,0
1552737743,2,6
1552745003,1,1
1552748603,0,1
1552752144,1,3
1552755802,3,0
1552759403,1,1
1552763005,1,1
1552766602,1,0
1552770202,1,1
1552777343,1,0
1552791751,1,1
1552795403,1,0
1552799003,1,3
1552802603,2,1
1552806143,3,0
1552809744,2,2
1552816944,1,2
1552820604,0,5
1552824203,1,1
1552831403,2,0
1552835004,1,0
1552838603,1,0
1552842144,1,3
1552853003,1,2
1552856604,3,0
1552860145,0,1
1552867343,1,0
1552874604,0,2
1552878204,1,1
1552881804,2,2
1552885404,2,0
1552889004,0,2
1552892606,4,2
1552896144,1,3
1552899806,1,1
1552903344,1,0
1552907004,2,1
1552910544,1,2
1552914204,2,0
1552917745,1,1
1552921344,1,0
1552928604,1,3
1552932204,1,1
1552939412,3,1
1552942946,3,0
1552946605,1,0
1552950145,0,2
1552953805,2,1
1552957405,1,0
1552960945,1,0
1552964613,1,0
1552968146,1,5
1552971746,3,1
1552975405,1,2
1552979005,3,0
1552982545,3,3
1552986209,1,0
1552989805,0,2
1552993352,0,1
1552997006,1,0
1553004146,1,1
1553007806,1,1
1553011405,0,2
1553015006,5,0
1553018606,1,1
1553022146,1,0
1553025754,3,0
1553029406,1,2
1553032946,1,0
1553036607,0,1
1553043754,1,2
1553047406,0,1
1553051006,2,0
1553054614,1,4
1553058206,2,1
1553061806,1,1
1553065406,2,0
1553069006,1,1
1553072546,1,0
1553079810,3,1
1553083356,1,3
1553086946,1,0
1553090606,2,3
1553094147,1,2
1553097807,3,0
1553101416,5,0
1553104953,1,3
1553108546,3,1
1553115807,0,1
1553119358,2,0
1553126547,0,1
1553130207,2,0
1553137407,3,0
1553140947,2,5
1553144550,1,0
1553151747,1,3
1553155407,3,1
1553159010,1,0
1553162607,0,2
1553166208,1,1
1553169747,1,0
1553180607,3,1
1553187807,2,2
1553194947,2,0
1553198608,1,0
1553202155,1,4
1553205808,0,1
1553212948,2,0
1553220208,1,1
1553223808,1,0
1553227408,1,3
1553231008,1,2
1553234608,1,0
1553238148,2,4
1553241808,2,4
1553249009,2,7
1553252548,2,0
1553256212,0,1
1553259749,1,0
1553263408,1,1
1553266956,1,0
1553274149,1,3
1553277808,2,1
1553285009,1,0
