DateTime,AddedIPs,RemovedIPs
1551711780,0,1
1551715380,0,2
1551718980,3,2
1551722586,3,4
1551726187,3,1
1551729781,0,1
1551733388,7,0
1551736980,1,2
1551740588,1,1
1551747788,0,2
1551751380,1,1
1551754987,2,4
1551758580,1,0
1551762188,2,3
1551765780,1,3
1551769382,3,3
1551772981,3,1
1551776581,4,7
1551783786,2,5
1551787387,2,0
1551790981,1,1
1551794581,1,1
1551798181,6,3
1551801430,1,0
1551801730,4,0
1551805331,4,0
1551808991,1,6
1551812591,12,1
1551816196,0,1
1551819792,1,0
1551823392,3,2
1551826992,1,3
1551830532,2,0
1551834132,2,1
1551837733,2,1
1551841392,0,4
1551844992,2,2
1551848601,1,2
1551852133,2,2
1551855792,2,5
1551859392,0,3
1551862992,0,2
1551870193,2,2
1551873792,1,0
1551877394,3,1
1551880993,1,0
1551884592,2,2
1551888201,5,3
1551891792,1,0
1551895392,3,3
1551898993,2,3
1551902533,2,1
1551906137,0,1
1551909733,2,0
1551913393,2,0
1551920533,2,3
1551924203,0,1
1551927794,1,1
1551931343,2,1
1551934994,3,1
1551938593,1,2
1551942142,3,3
1551945794,2,3
1551949399,1,1
1551952994,1,1
1551956538,0,2
1551960134,2,2
1551963794,1,2
1551967394,0,1
1551970993,3,2
1551981794,1,1
1551985354,3,1
1551988994,1,2
1551992593,3,1
1551996135,0,2
1552003394,2,3
1552006934,2,2
1552010595,1,0
1552014199,0,1
1552017794,4,1
1552021399,3,2
1552025001,1,2
1552028594,3,6
1552032195,2,1
1552035735,4,2
1552039335,0,1
1552042934,1,0
1552046595,0,1
1552050135,0,1
1552053803,3,4
1552057395,2,2
1552060995,2,1
1552064597,2,0
1552068202,0,1
1552071795,2,2
1552075336,1,1
1552078999,1,1
1552082594,2,1
1552089734,1,2
1552093396,3,1
1552096995,2,3
1552100599,2,2
1552104200,4,6
1552107739,1,0
1552111395,1,0
1552114996,3,6
1552118596,2,1
1552122195,1,0
1552132935,1,0
1552136596,1,3
1552140196,1,0
1552143800,1,2
1552147400,3,1
1552151001,1,2
1552154536,2,0
1552158196,1,2
1552161795,1,1
1552165335,1,1
1552168995,3,1
1552172535,0,1
1552176196,2,3
1552186936,0,2
1552190596,2,4
1552194196,1,2
1552197796,2,4
1552201396,1,1
1552204996,2,4
1552212196,2,1
1552214716,1,1
1552219397,2,4
1552222996,1,0
1552226597,0,1
1552230197,3,2
1552233737,2,4
1552237336,1,0
1552240996,3,1
1552244598,3,1
1552248137,2,3
1552251797,4,0
1552262597,0,2
1552266196,0,1
1552269797,2,1
1552273398,1,2
1552280597,2,3
1552284197,1,1
1552287797,2,3
1552291398,2,2
1552298598,2,0
1552302139,2,2
1552309398,2,2
1552312997,1,0
1552316597,1,1
1552320138,0,1
1552323797,1,3
1552327397,4,2
1552330939,4,2
1552334598,1,1
1552338139,2,0
1552341798,2,3
1552348938,2,2
1552352538,0,2
1552356198,0,1
1552363338,1,1
1552366998,1,1
1552370540,0,1
1552374198,2,2
1552377799,0,2
1552381400,1,1
1552384999,1,3
1552388599,3,2
1552392199,1,1
1552395740,3,1
1552399398,2,1
1552402939,3,0
1552406539,1,5
1552410199,3,0
1552417400,3,2
1552420999,4,3
1552424540,4,0
1552431740,2,0
1552435399,1,2
1552438999,2,2
1552446199,2,1
1552449799,1,1
1552453339,2,1
1552456939,0,4
1552460599,3,4
1552464200,0,1
1552467739,0,1
1552471339,1,0
1552474999,1,1
1552478539,1,0
1552482200,16,2
1552485800,1,3
1552489400,4,3
1552492999,0,1
1552496539,1,2
1552500145,4,2
1552503741,1,9
1552507340,0,1
1552510941,1,6
1552514601,2,2
1552518139,1,1
1552521801,2,5
1552525401,1,1
1552528940,2,2
1552532601,2,1
1552536200,2,1
1552539800,1,1
1552543340,0,1
1552546941,3,4
1552550600,1,0
1552557800,2,1
1552561402,1,1
1552564941,2,7
1552568601,3,1
1552572141,3,2
1552582940,1,2
1552586601,2,2
1552590201,1,0
1552593742,1,1
1552597401,1,1
1552601001,1,1
1552604602,1,0
1552608141,3,1
1552611801,13,2
1552615342,0,3
1552619002,0,1
1552622602,4,3
1552626202,1,1
1552629801,1,1
1552633401,2,3
1552644201,2,3
1552651402,1,2
1552658602,2,2
1552662201,1,1
1552665742,0,1
1552669341,2,1
1552673002,2,0
1552676542,2,0
1552680201,3,2
1552683802,1,2
1552687342,2,0
1552690942,0,1
1552694542,3,25
1552698142,1,0
1552701803,2,1
1552705343,3,2
1552709002,1,2
1552712543,2,1
1552716142,2,2
1552719743,1,3
1552723342,0,1
1552730604,2,0
1552734142,6,3
1552737743,2,4
1552741343,0,3
1552745003,1,0
1552748603,1,0
1552752144,1,1
1552755802,3,3
1552759403,1,0
1552763005,1,4
1552766602,4,1
1552770202,1,2
1552773744,1,2
1552777343,1,1
1552781003,1,1
1552788203,1,0
1552791751,1,1
1552795403,1,2
1552799003,2,1
1552802603,2,3
1552806143,5,2
1552809744,2,1
1552813410,0,1
1552816944,1,2
1552820604,0,4
1552824203,1,2
1552831403,2,2
1552835004,1,0
1552838603,1,2
1552842144,1,1
1552845803,1,1
1552849343,0,1
1552853003,1,2
1552856604,27,2
1552863804,0,1
1552867343,1,1
1552870944,1,1
1552874604,1,1
1552878204,1,1
1552881804,2,3
1552885404,2,3
1552892606,4,5
1552896144,1,1
1552899806,1,0
1552903344,1,2
1552907004,2,1
1552910544,1,0
1552914204,21,3
1552917745,3,1
1552921344,3,0
1552924945,1,0
1552928604,3,2
1552932204,1,0
1552935806,1,1
1552939412,3,4
1552942946,6,1
1552946605,2,0
1552953805,2,5
1552957405,1,0
1552960945,1,0
1552964613,1,2
1552968146,2,1
1552971746,3,4
1552975405,1,1
1552979005,4,2
1552982545,3,2
1552986209,1,2
1552989805,1,0
1552993352,1,0
1552997006,1,2
1553004146,3,2
1553007806,2,0
1553011405,0,4
1553015006,5,2
1553018606,2,2
1553022146,1,1
1553025754,5,3
1553029406,1,3
1553032946,1,1
1553036607,0,2
1553040207,0,2
1553043754,1,0
1553047406,2,2
1553051006,2,2
1553054614,1,4
1553058206,2,2
1553061806,1,21
1553065406,3,6
1553069006,3,0
1553072546,1,1
1553079810,5,3
1553083356,1,0
1553086946,1,0
1553090606,2,3
1553094147,2,0
1553097807,5,4
1553101416,5,3
1553104953,2,0
1553108546,23,4
1553112146,0,2
1553115807,2,4
1553119358,3,1
1553122946,1,0
1553126547,1,2
1553130207,2,2
1553133807,0,3
1553137407,3,4
1553140947,3,1
1553144550,1,2
1553148207,1,5
1553151747,1,1
1553155407,3,6
1553159010,4,2
1553162607,1,1
1553166208,2,0
1553169747,2,1
1553173347,1,2
1553176947,1,0
1553180607,5,7
1553184148,1,0
1553187807,2,3
1553191408,0,10
1553194947,3,2
1553198608,1,4
1553202155,1,1
1553205808,0,4
1553209408,0,1
1553212948,2,1
1553216615,1,1
1553220208,1,0
1553223808,2,3
1553227408,1,2
1553231008,2,4
1553234608,1,5
1553238148,2,4
1553241808,5,4
1553245348,1,0
